bridge_checkpoint_path,bridge_checkpoint_sha256,clip_stable,config_path,delta_non_explosive,kl_stable,max_grad_norm,moves_top1,normalize_advantages,online_entropy_coef,online_final_approx_kl,online_final_clip_fraction,online_final_policy_loss,online_final_rule_kl,online_lr,online_post_batch_size,online_post_neural_delta_abs_max,online_post_neural_delta_abs_mean,online_post_rule_agreement,online_post_top1_action_changed_rate,online_pre_batch_size,online_pre_neural_delta_abs_max,online_pre_neural_delta_abs_mean,online_pre_rule_agreement,online_pre_top1_action_changed_rate,online_rule_kl_coef,online_update_epochs,online_update_loss_count,opponent_mode,rank_coef,rerun_config_id,source_config_id,source_type,stabilization_status,value_coef
reports/keqingrl_fixed_online_bridge_20260426_step36d_learner_only/checkpoints/source_93_rerun_0_fixed_batch_overfit.pt,745eb3e921dc5f6eaf24093ac91ffc10ce3e95d7589d84e90ed381886dc68247,True,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,True,True,0.5,False,True,0.005,5.103594594402239e-05,0.0,-0.002174722496420145,0.024464409798383713,0.0001,248,2.278576135635376,1.3424403667449951,1.0,0.0,248,2.2829833030700684,1.3536312580108643,1.0,0.0,0.001,1,1,rulebase,0.0,0,93,fixed_batch_overfit_bridge_online_stabilization,STABLE_NO_MOVE,0.0
reports/keqingrl_fixed_online_bridge_20260426_step36d_learner_only/checkpoints/source_93_rerun_0_fixed_batch_overfit.pt,745eb3e921dc5f6eaf24093ac91ffc10ce3e95d7589d84e90ed381886dc68247,True,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,True,True,1.0,False,True,0.005,5.1035975047852844e-05,0.0,-0.002174725290387869,0.02446441352367401,0.0001,248,2.278576135635376,1.3424402475357056,1.0,0.0,248,2.2829833030700684,1.3536312580108643,1.0,0.0,0.001,1,1,rulebase,0.0,0,93,fixed_batch_overfit_bridge_online_stabilization,STABLE_NO_MOVE,0.0
reports/keqingrl_fixed_online_bridge_20260426_step36d_learner_only/checkpoints/source_93_rerun_0_fixed_batch_overfit.pt,745eb3e921dc5f6eaf24093ac91ffc10ce3e95d7589d84e90ed381886dc68247,True,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,True,True,0.25,False,True,0.0,5.0638289394555613e-05,0.0,-0.0021741476375609636,0.024409029632806778,0.0001,248,2.278170108795166,1.3425133228302002,1.0,0.0,248,2.2829833030700684,1.3536312580108643,1.0,0.0,0.005,1,1,rulebase,0.0,0,93,fixed_batch_overfit_bridge_online_stabilization,STABLE_NO_MOVE,0.0
reports/keqingrl_fixed_online_bridge_20260426_step36d_learner_only/checkpoints/source_93_rerun_0_fixed_batch_overfit.pt,745eb3e921dc5f6eaf24093ac91ffc10ce3e95d7589d84e90ed381886dc68247,True,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,True,True,0.5,False,True,0.0,5.063852950115688e-05,0.0,-0.00217417161911726,0.024409031495451927,0.0001,248,2.278167486190796,1.3425111770629883,1.0,0.0,248,2.2829833030700684,1.3536312580108643,1.0,0.0,0.005,1,1,rulebase,0.0,0,93,fixed_batch_overfit_bridge_online_stabilization,STABLE_NO_MOVE,0.0
reports/keqingrl_fixed_online_bridge_20260426_step36d_learner_only/checkpoints/source_93_rerun_0_fixed_batch_overfit.pt,745eb3e921dc5f6eaf24093ac91ffc10ce3e95d7589d84e90ed381886dc68247,True,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,True,True,1.0,False,True,0.0,5.06385913467966e-05,0.0,-0.0021741678938269615,0.024409031495451927,0.0001,248,2.278167724609375,1.3425111770629883,1.0,0.0,248,2.2829833030700684,1.3536312580108643,1.0,0.0,0.005,1,1,rulebase,0.0,0,93,fixed_batch_overfit_bridge_online_stabilization,STABLE_NO_MOVE,0.0
reports/keqingrl_fixed_online_bridge_20260426_step36d_learner_only/checkpoints/source_93_rerun_0_fixed_batch_overfit.pt,745eb3e921dc5f6eaf24093ac91ffc10ce3e95d7589d84e90ed381886dc68247,True,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,True,True,0.25,False,True,0.005,5.055257861386053e-05,0.0,-0.0021743003744632006,0.024422090500593185,0.0001,248,2.278292655944824,1.3425002098083496,1.0,0.0,248,2.2829833030700684,1.3536312580108643,1.0,0.0,0.005,1,1,rulebase,0.0,0,93,fixed_batch_overfit_bridge_online_stabilization,STABLE_NO_MOVE,0.0
reports/keqingrl_fixed_online_bridge_20260426_step36d_learner_only/checkpoints/source_93_rerun_0_fixed_batch_overfit.pt,745eb3e921dc5f6eaf24093ac91ffc10ce3e95d7589d84e90ed381886dc68247,True,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,True,True,0.5,False,True,0.005,5.055322253610939e-05,0.0,-0.0021743245888501406,0.024422118440270424,0.0001,248,2.2782928943634033,1.3424999713897705,1.0,0.0,248,2.2829833030700684,1.3536312580108643,1.0,0.0,0.005,1,1,rulebase,0.0,0,93,fixed_batch_overfit_bridge_online_stabilization,STABLE_NO_MOVE,0.0
reports/keqingrl_fixed_online_bridge_20260426_step36d_learner_only/checkpoints/source_93_rerun_0_fixed_batch_overfit.pt,745eb3e921dc5f6eaf24093ac91ffc10ce3e95d7589d84e90ed381886dc68247,True,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,True,True,1.0,False,True,0.005,5.055305882706307e-05,0.0,-0.0021743234246969223,0.024422120302915573,0.0001,248,2.2782928943634033,1.3424999713897705,1.0,0.0,248,2.2829833030700684,1.3536312580108643,1.0,0.0,0.005,1,1,rulebase,0.0,0,93,fixed_batch_overfit_bridge_online_stabilization,STABLE_NO_MOVE,0.0
reports/keqingrl_fixed_online_bridge_20260426_step36d_learner_only/checkpoints/source_93_rerun_0_fixed_batch_overfit.pt,745eb3e921dc5f6eaf24093ac91ffc10ce3e95d7589d84e90ed381886dc68247,True,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,True,True,0.25,False,True,0.0,0.00020697808940894902,0.008064515888690948,-0.004294587764889002,0.025148294866085052,0.0001,248,2.2737386226654053,1.3310601711273193,1.0,0.0,248,2.2829833030700684,1.3536312580108643,1.0,0.0,0.0,2,2,rulebase,0.0,0,93,fixed_batch_overfit_bridge_online_stabilization,STABLE_NO_MOVE,0.0
reports/keqingrl_fixed_online_bridge_20260426_step36d_learner_only/checkpoints/source_93_rerun_0_fixed_batch_overfit.pt,745eb3e921dc5f6eaf24093ac91ffc10ce3e95d7589d84e90ed381886dc68247,True,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,True,True,0.5,False,True,0.0,0.00020710044191218913,0.008064515888690948,-0.0042958748526871204,0.025148052722215652,0.0001,248,2.273730993270874,1.3310554027557373,1.0,0.0,248,2.2829833030700684,1.3536312580108643,1.0,0.0,0.0,2,2,rulebase,0.0,0,93,fixed_batch_overfit_bridge_online_stabilization,STABLE_NO_MOVE,0.0
