rerun_config_id,source_config_id,source_report,config_key,config_key_label,config_id,opponent_mode,rule_kl_coef,entropy_coef,lr,rulebase_fallback_count,rulebase_chosen_missing_count,rulebase_chosen_not_found_count,rulebase_batch_unsupported_count,iteration,seed,approx_kl,clip_fraction,entropy,rule_kl,rule_agreement,neural_delta_abs_mean,neural_delta_abs_max,top1_action_changed_rate,rank_pt,fourth_rate,deal_in_rate,batch_size,episode_count,illegal_action_rate,fallback_rate,forced_terminal_missed,illegal_action_rate_fail_closed,fallback_rate_fail_closed,forced_terminal_missed_fail_closed,illegal_attempt_count,fallback_policy_count,forced_terminal_preempt_count,forced_terminal_missed_count,autopilot_terminal_count
2,46,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":0.0001,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.02}",rule_prior_greedy/rule_kl=0.02/entropy=0.01/lr=0.0001,0,rule_prior_greedy,0.02,0.01,0.0001,0,0,0,0,0,24860425,0.0,0.0,1.3873827457427979,1.037609109744153e-09,1.0,5.7220840972149745e-05,0.0001852888090070337,0.0,-0.375,0.5,0.0,117,8,0.0,0.0,0,0.0,0.0,0,,,,,
2,46,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":0.0001,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.02}",rule_prior_greedy/rule_kl=0.02/entropy=0.01/lr=0.0001,0,rule_prior_greedy,0.02,0.01,0.0001,0,0,0,0,1,24870425,5.432846880704112e-12,0.0,1.448606252670288,7.218834419120412e-09,1.0,0.00013836566358804703,0.00039359304355457425,0.0,-0.125,0.375,0.0,117,8,0.0,0.0,0,0.0,0.0,0,,,,,
2,46,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":0.0001,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.02}",rule_prior_greedy/rule_kl=0.02/entropy=0.01/lr=0.0001,0,rule_prior_greedy,0.02,0.01,0.0001,0,0,0,0,2,24880425,8.266146447888367e-12,0.0,1.407481074333191,-8.442743393288765e-09,1.0,0.00022901076590642333,0.00048285245429724455,0.0,-0.3125,0.5,0.0,116,8,0.0,0.0,0,0.0,0.0,0,,,,,
2,46,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":0.0001,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.02}",rule_prior_greedy/rule_kl=0.02/entropy=0.01/lr=0.0001,0,rule_prior_greedy,0.02,0.01,0.0001,0,0,0,0,3,24890425,7.3793141736056e-12,0.0,1.3949620723724365,-1.7467820967453918e-08,1.0,0.00027771206805482507,0.0005330655258148909,0.0,-0.0625,0.375,0.0,111,8,0.0,0.0,0,0.0,0.0,0,,,,,
2,46,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":0.0001,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.02}",rule_prior_greedy/rule_kl=0.02/entropy=0.01/lr=0.0001,0,rule_prior_greedy,0.02,0.01,0.0001,0,0,0,0,4,24900425,1.7706860283572823e-11,0.0,1.476533055305481,-2.019065092895289e-08,1.0,0.00027437400422059,0.000539162487257272,0.0,-0.6875,0.625,0.0,118,8,0.0,0.0,0,0.0,0.0,0,,,,,
3,57,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.05}",rule_prior_greedy/rule_kl=0.05/entropy=0.01/lr=3e-05,0,rule_prior_greedy,0.05,0.01,3e-05,0,0,0,0,0,25960425,0.0,0.0,1.373516321182251,-1.7296769572183734e-10,1.0,5.414471888798289e-05,0.00011035234638256952,0.0,0.0,0.375,0.0,125,8,0.0,0.0,0,0.0,0.0,0,,,,,
3,57,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.05}",rule_prior_greedy/rule_kl=0.05/entropy=0.01/lr=3e-05,0,rule_prior_greedy,0.05,0.01,3e-05,0,0,0,0,1,25970425,8.616747723330653e-13,0.0,1.3087365627288818,-1.88297857306452e-08,1.0,8.381933002965525e-05,0.0001842359924921766,0.0,0.1875,0.25,0.0,94,8,0.0,0.0,0,0.0,0.0,0,,,,,
3,57,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.05}",rule_prior_greedy/rule_kl=0.05/entropy=0.01/lr=3e-05,0,rule_prior_greedy,0.05,0.01,3e-05,0,0,0,0,2,25980425,1.4104959604813172e-12,0.0,1.4539655447006226,-8.946392959785499e-09,1.0,0.0001015507077681832,0.0002113212540280074,0.0,-0.6875,0.625,0.0,123,8,0.0,0.0,0,0.0,0.0,0,,,,,
3,57,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.05}",rule_prior_greedy/rule_kl=0.05/entropy=0.01/lr=3e-05,0,rule_prior_greedy,0.05,0.01,3e-05,0,0,0,0,3,25990425,2.14420820508765e-12,0.0,1.4959865808486938,-1.596563237171722e-08,1.0,9.14598349481821e-05,0.00020303350174799562,0.0,0.0,0.375,0.0,113,8,0.0,0.0,0,0.0,0.0,0,,,,,
3,57,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.05}",rule_prior_greedy/rule_kl=0.05/entropy=0.01/lr=3e-05,0,rule_prior_greedy,0.05,0.01,3e-05,0,0,0,0,4,26000425,1.9522161665008753e-12,0.0,1.3938078880310059,1.6162927662932702e-09,1.0,9.804568253457546e-05,0.0003065199707634747,0.0,-0.0625,0.375,0.0,98,8,0.0,0.0,0,0.0,0.0,0,,,,,
