actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,advantage_mean,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,count,delta_clip,delta_clip_coef,delta_l2_coef,delta_support_margin_threshold,delta_support_mode,delta_support_topk,entropy_coef,iteration,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,negative_advantage_count,opponent_mode,outside_support_delta_mode,pilot_config_id,positive_advantage_count,ratio_mode,rerun_config_id,return_mean,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_prior_rank,source_config_id,support_policy_mode,teacher_contract_version,teacher_source,teacher_target_type,teacher_temperature,teacher_topk,teacher_version,terminal_reward_mean,topk_ranking_aux_coef,topk_ranking_aux_mode,topk_ranking_k,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold,zero_advantage_count
0.75,all,3,0.26213456666658796,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,63,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,18,rulebase,zero,1,45,tempered_current_logits,0,0.00916451546880934,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,keqingrl_topk_teacher_v1,rule-prior-topk,topk_distribution,1.0,3,rule_prior_topk_v1,0.16666666666666666,0.01,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.15897889913253063,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,53,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,19,rulebase,zero,1,34,tempered_current_logits,0,-0.08775503314890952,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,support-only-topk,keqingrl_topk_teacher_v1,rule-prior-topk,topk_distribution,1.0,3,rule_prior_topk_v1,0.04716981132075472,0.01,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,-0.05256087390276102,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,104,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.003,37,rulebase,zero,1,67,tempered_current_logits,0,0.08504572568031457,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,keqingrl_topk_teacher_v1,rule-prior-topk,topk_distribution,1.0,3,rule_prior_topk_v1,0.0673076923076923,0.01,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.13169550065134392,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,61,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.003,17,rulebase,zero,1,44,tempered_current_logits,0,0.23771371216070455,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,keqingrl_topk_teacher_v1,rule-prior-topk,topk_distribution,1.0,3,rule_prior_topk_v1,0.2459016393442623,0.01,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,-0.21981616125952813,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,62,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.003,26,rulebase,zero,1,36,tempered_current_logits,0,-0.021312252648415103,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,support-only-topk,keqingrl_topk_teacher_v1,rule-prior-topk,topk_distribution,1.0,3,rule_prior_topk_v1,-0.08870967741935484,0.01,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.6796977460974514,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,101,0.0,0.0,0.0,0.75,topk,3,0.01,2,0.0,3,0.003,36,rulebase,zero,1,65,tempered_current_logits,0,-0.30402283650813716,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,keqingrl_topk_teacher_v1,rule-prior-topk,topk_distribution,1.0,3,rule_prior_topk_v1,0.04455445544554455,0.01,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.6904561307394144,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,66,0.0,0.0,0.0,0.75,topk,3,0.01,2,0.0,3,0.003,24,rulebase,zero,1,42,tempered_current_logits,0,-0.324177307387193,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,keqingrl_topk_teacher_v1,rule-prior-topk,topk_distribution,1.0,3,rule_prior_topk_v1,0.06818181818181818,0.01,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.5802177222389163,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,66,0.0,0.0,0.0,0.75,topk,3,0.01,2,0.0,3,0.003,25,rulebase,zero,1,41,tempered_current_logits,0,-0.38509411613146466,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,support-only-topk,keqingrl_topk_teacher_v1,rule-prior-topk,topk_distribution,1.0,3,rule_prior_topk_v1,0.007575757575757576,0.01,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,-0.050332667249621765,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,99,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,46,rulebase,zero,2,53,tempered_current_logits,0,-0.2955348886775248,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,keqingrl_topk_teacher_v1,rule-prior-topk,topk_distribution,1.0,3,rule_prior_topk_v1,-0.29797979797979796,0.03,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.10957474584849376,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,53,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,17,rulebase,zero,2,36,tempered_current_logits,0,-0.11686033966406337,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,keqingrl_topk_teacher_v1,rule-prior-topk,topk_distribution,1.0,3,rule_prior_topk_v1,0.0,0.03,teacher-ce,3,8,0.0,0.75,0
