source_config_id,primary_blocker,checkpoint_path,checkpoint_sha256,diagnostic_seed_hash,batch_size,advantage_std,selected_non_top1_positive_advantage_count,mean_delta_needed_to_flip_top1,learner_deal_in_rate,best_top1_action_changed_rate,best_neural_delta_abs_max,pass_actor_can_move,gradient_dead,prior_margin_too_large,illegal_action_rate_fail_closed,fallback_rate_fail_closed,forced_terminal_missed_fail_closed
93,BATCH_OVERFITS_BUT_ROLLOUT_FAILS,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0f42628c88353290,771,0.7110069990158081,36,3.0005693435668945,0.125,0.046692606061697006,9.475725173950195,True,False,False,0.0,0.0,0
57,BATCH_OVERFITS_BUT_ROLLOUT_FAILS,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_001_source_57/policy_final.pt,2d5c4cc89f71d05a950c07e153da02ed7943eea80161e9f54d06530ec3c96994,0f42628c88353290,771,0.7266200184822083,44,3.000666618347168,0.0625,0.032425422221422195,4.477757930755615,True,False,False,0.0,0.0,0
84,BATCH_OVERFITS_BUT_ROLLOUT_FAILS,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_002_source_84/policy_final.pt,d19031dc8d7ffaf649d811961698102b8bb6b05c06b68f09cb090f65341923fb,0f42628c88353290,795,0.6905773878097534,21,3.0004756450653076,0.25,0.02012578584253788,5.226823806762695,True,False,False,0.0,0.0,0
8,BATCH_OVERFITS_BUT_ROLLOUT_FAILS,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_003_source_8/policy_final.pt,09f2aa9a65639583a79695c5eca26f8361c4d60ca447cb1e037aae0a0360268a,0f42628c88353290,749,0.7329370975494385,40,3.000539541244507,0.1875,0.04005340486764908,4.79098653793335,True,False,False,0.0,0.0,0
