config_label,seed_count,iterations,rule_kl_coef,delta_l2_coef,delta_clip,delta_clip_coef,pass_count,movement_pass_count,stability_pass_count,eval_sanity_pass_count,top1_changed_mean,top1_changed_min,top1_changed_max,tempered_kl_mean,tempered_clip_mean,untempered_clip_mean,delta_abs_mean_mean,delta_abs_max_mean,delta_abs_max_max,eval_fourth_mean,learner_deal_in_mean
iter3_rulekl0.0075_l20.001_dclip0_dclipcoef0,4,3,0.0075,0.001,0.0,0.0,3,3,4,4,0.1016210038214922,0.0,0.15981735289096832,0.005659219357767142,0.07302225939929485,0.16980022192001343,0.14792356081306934,0.6107225520536304,0.9331887364387512,0.328125,0.09375
iter3_rulekl0.005_l20.001_dclip0_dclipcoef0,4,3,0.005,0.001,0.0,0.0,3,3,4,4,0.10273211635649204,0.0,0.15981735289096832,0.005576950963586569,0.07527492195367813,0.17095034196972847,0.14751242846250534,0.6094718193635345,0.940406858921051,0.328125,0.09375
iter3_rulekl0.0095_l20.001_dclip0_dclipcoef0,4,3,0.0095,0.001,0.0,0.0,3,3,4,4,0.10165144689381123,0.0,0.16438356041908264,0.005658545283949934,0.07416381128132343,0.17202244699001312,0.14788106549531221,0.6087866807356477,0.9426735639572144,0.328125,0.09375
iter3_rulekl0.009_l20.001_dclip0_dclipcoef0,4,3,0.009,0.001,0.0,0.0,2,2,4,4,0.06302057462744415,0.0,0.1666666716337204,0.006561291083926335,0.08669254067353904,0.1965706399641931,0.1665538838133216,0.6959539968520403,0.9908844828605652,0.34375,0.078125
iter3_rulekl0.01_l20.001_dclip0_dclipcoef0,4,3,0.01,0.001,0.0,0.0,2,2,4,4,0.11858371086418629,0.0,0.33796295523643494,0.006447363062761724,0.08187300339341164,0.18173382990062237,0.19710956700146198,0.7749290019273758,1.1686809062957764,0.34375,0.09375
