decision,step_id,actor,selected,legal_actions
132,132,1,打7m,打2p | 打6s | 打7m | 打7p | 打8p | 打北 | 打白 | 打南 | 打西
133,133,2,过,过
134,134,3,过,过
135,135,0,过,过
136,136,2,打5p,打1m | 打1p | 打2m | 打3p | 打5p | 打7m | 打7s | 打8m | 打8s | 打9m | 打9s | 打西
137,137,3,过,过
138,138,0,过,过
139,139,1,过,过
140,140,3,打3p,打1p | 打2p | 打3p | 打3s | 打4s | 打5m | 打5p | 打5p | 打5s | 打6m | 打7s | 打8s
141,141,0,过,过
142,142,1,过,过
143,143,2,过,过
144,144,0,打1s,打1s | 打6m | 打6p | 打8m | 打8p | 打8s | 打9s | 打中 | 打东 | 打北 | 打白
145,145,1,过,过
146,146,2,过,过
147,147,3,过,过
148,148,1,打7s,打2p | 打6s | 打7p | 打7s | 打8p | 打北 | 打白 | 打南 | 打西
149,149,2,过,过
150,150,3,过,过
151,151,0,过,过
152,152,2,打白,打1m | 打1p | 打2m | 打3p | 打7m | 打7s | 打8m | 打8s | 打9m | 打9s | 打白 | 打西
153,153,3,过,过
154,154,0,过,过
155,155,1,过,过
156,156,3,立直打3s,打1p | 打2p | 打3p | 打3s | 打4s | 打5m | 打5p | 打5p | 打5s | 打6m | 打6s | 打7s | 打8s | 立直打3s | 立直打4s | 立直打5m | 立直打6m | 立直打6s | 立直打7s
157,157,0,过,过
158,158,1,过,过
159,159,2,过,过
160,160,0,打中,打6m | 打6p | 打8m | 打8p | 打8s | 打9p | 打9s | 打中 | 打东 | 打北 | 打白
161,161,1,过,过
162,162,2,过,过
163,163,3,过,过
164,164,1,打3s,打2p | 打3s | 打6s | 打7p | 打8p | 打北 | 打白 | 打南 | 打西
165,165,2,过,过
166,166,3,过,过
167,167,0,过,过
168,168,2,打7m,打1m | 打1p | 打2m | 打3p | 打7m | 打7s | 打8m | 打8s | 打9m | 打9s | 打西
169,169,3,过,过
170,170,0,过,过
171,171,1,过,过
172,172,3,打3m,打3m
173,173,0,过,过
174,174,1,过,过
175,175,2,过,过
176,176,0,打6p,打6m | 打6p | 打8m | 打8p | 打8s | 打9p | 打9s | 打东 | 打北 | 打白
177,177,1,过,过
178,178,2,过,过
179,179,3,过,过
180,180,1,打白,打2p | 打6s | 打7p | 打8p | 打9s | 打北 | 打白 | 打南 | 打西
181,181,2,过,过
182,182,3,过,过
183,183,0,过,过
184,184,2,打5p,打1m | 打1p | 打2m | 打3p | 打5p | 打7m | 打7s | 打8m | 打8s | 打9m | 打9s | 打西
185,185,3,过,过
186,186,0,过,过
187,187,1,过,过
188,188,3,打发,打发
189,189,0,过,过
190,190,1,过,过
191,191,2,过,过
192,192,0,打6m,打6m | 打7m | 打8m | 打8p | 打8s | 打9p | 打9s | 打东 | 打北 | 打白
193,193,1,过,过
194,194,2,过,过
195,195,3,过,过
196,196,1,打2m,打2m | 打2p | 打6s | 打7p | 打8p | 打9s | 打北 | 打南 | 打西
197,197,2,过,过
198,198,3,过,过
199,199,0,过,过
200,200,2,打南,打1m | 打1p | 打2m | 打3p | 打7m | 打7s | 打8m | 打8s | 打9m | 打9s | 打南 | 打西
201,201,3,过,过
202,202,0,过,过
203,203,1,过,过
204,204,3,打4p,打4p
205,205,0,过,过
206,206,1,过,过
207,207,2,过,过
208,208,0,打7m,打6m | 打6p | 打7m | 打8m | 打8p | 打8s | 打9p | 打9s | 打东 | 打北 | 打白
209,209,1,过,过
210,210,2,过,过
211,211,3,过,过
212,212,1,打南,打2p | 打4m | 打6s | 打7p | 打8p | 打9s | 打北 | 打南 | 打西
213,213,2,过,过
214,214,3,过,过
215,215,0,过,过
216,216,2,打9m,打1m | 打1p | 打2m | 打3p | 打7m | 打7s | 打8m | 打8s | 打9m | 打9s | 打西
217,217,3,过,过
218,218,0,过,过
219,219,1,过,过
220,220,3,打4p,打4p
221,221,0,过,过
222,222,1,过,过
223,223,2,过,过
224,224,0,打3m,打3m | 打6m | 打6p | 打8m | 打8p | 打8s | 打9p | 打9s | 打东 | 打北 | 打白
225,225,1,过,过
226,226,2,过,过
227,227,3,过,过
228,228,1,打中,打2p | 打4m | 打6s | 打7p | 打8p | 打9s | 打中 | 打北 | 打西
229,229,2,过,过
230,230,3,过,过
231,231,0,过,过
232,232,2,打白,打1m | 打1p | 打2m | 打3p | 打7m | 打7s | 打8m | 打8s | 打9m | 打9s | 打白 | 打西
233,233,3,过,过
234,234,0,过,过
235,235,1,过,过
236,236,3,打7p,打7p
237,237,0,过,过
238,238,1,过,过
239,239,2,过,过
240,240,0,打6p,打6m | 打6p | 打8m | 打8p | 打8s | 打9p | 打9s | 打东 | 打北 | 打白
241,241,1,过,过
242,242,2,过,过
243,243,3,过,过
244,244,1,打5s,打2p | 打4m | 打5s | 打6s | 打7p | 打8p | 打9s | 打北 | 打西
245,245,2,过,过
246,246,3,过,过
247,247,0,过,过
248,248,2,打发,打1m | 打1p | 打2m | 打3p | 打7m | 打7s | 打8m | 打8s | 打9m | 打9s | 打发 | 打西
249,249,3,过,过
250,250,0,过,过
251,251,1,过,过
252,252,3,打9p,打9p
253,253,0,过,过
254,254,1,过,过
255,255,2,过,过
256,256,0,打8m,打2m | 打6m | 打8m | 打8p | 打8s | 打9p | 打9s | 打东 | 打北 | 打白
257,257,1,过,过
258,258,2,过,过
259,259,3,过,过
260,260,1,打1p,打1p | 打2p | 打4m | 打6s | 打7p | 打8p | 打9s | 打北 | 打西
261,261,2,过,过
262,262,3,过,过
263,263,0,过,过
264,264,2,打4s,打1m | 打1p | 打2m | 打3p | 打4s | 打7m | 打7s | 打8m | 打8s | 打9m | 打9s | 打西
265,265,3,过,过
266,266,0,过,过
267,267,1,过,过
268,268,3,打2m,打2m
269,269,0,过,过
270,270,1,过,过
271,271,2,过,过
272,272,0,打白,打2m | 打6m | 打8p | 打8s | 打9p | 打9s | 打东 | 打北 | 打白
273,273,1,过,过
274,274,2,过,过
275,275,3,过,过
276,276,1,打1m,打1m | 打2p | 打4m | 打6s | 打7p | 打8p | 打9s | 打北 | 打西
277,277,2,过,过
278,278,3,过,过
279,279,0,过,过
