batch_row_count,build_batch_sec,changed_rank_mean,checkpoint_path,checkpoint_sec,checkpoint_sha256,clip_like_logit_delta_max,config_key,config_key_label,config_path,defer_mortal_observation_bridge,delta_support_mode,delta_support_topk,device_transfer_sec,entropy_coef,episode_count,extra_mortal_count,fail_closed_count,forced_autopilot_action_types,iteration,iteration_sec,lr,mapping_available_count,mapping_available_rate,mapping_row_count,metrics_sec,missing_legal_count,mortal_obs_bridge_sec,mortal_teacher_checkpoint,mortal_teacher_eval_batch_size,mortal_teacher_strict_extra_mask,opponent_mode,pilot_config_id,policy_top1_vs_rule_top1_rate,policy_top1_vs_teacher_top1_rate,rank_ge5_rate,rerun_config_id,response_action_types,rollout_sec,rollout_seed,rows_per_sec,rule_kl_coef,rule_score_scale,rule_score_scale_version,self_turn_action_types,source_config_id,support_policy_mode,teacher_cache_sec,teacher_ce,teacher_contract_version,teacher_entropy,teacher_eval_sec,teacher_kl,teacher_loss,teacher_margin,teacher_policy_agreement,teacher_prior_agreement,teacher_row_valid_count,teacher_source,teacher_support,teacher_temperature,teacher_topk,top1_changed_vs_parent_rate,top1_changed_vs_source_rate,torch_seed,update_epochs,update_sec
5399,0.36625235000246903,2.2497824194952134,reports/keqingrl_mortal_action_q_imitation_train_20260430_source93_step20000_allseats_lr003_cont1/checkpoint_config_000/policy_iter_0004.pt,0.02602961600496201,0e2acefc502472e804afebd272a8fb0e30093434a69125b9ec09c19ac17ad1a2,1.8056960105895996,{},{},reports/keqingrl_mortal_action_q_imitation_train_20260430_source93_step20000_allseats_lr003_cont1/checkpoint_config_000/config_iter_0004.json,True,topk,3,3.552999987732619e-05,,64,64,0,"TSUMO,RON,RYUKYOKU",0,94.30075049200241,0.003,5399,1.0,5399,0.7757741890018224,0,6.739976969001873,artifacts/mortal_training/mortal.pth,256,False,rule_prior_greedy,0,0.7871828079223633,0.6848170161247253,0.0017406440382941688,0,"PASS,RON,PON,CHI",69.05047270100476,202604330000,57.252990796270346,,0.25,keqingrl_rule_score_scale_v1,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",93,support-only-topk,2.364751867004088,0.7983518838882446,mortal_action_teacher_v1,0.3809548020362854,13.394452546999673,0.4173971116542816,0.7983518838882446,3.153890371322632,0.6848170161247253,0.6443741321563721,4426.0,mortal-action-q,topk,1.0,3,0.07760696113109589,0.23615483939647675,202604330000,3,1.4540498880014638
5370,0.5256961889972445,2.264786169244768,reports/keqingrl_mortal_action_q_imitation_train_20260430_source93_step20000_allseats_lr003_cont1/checkpoint_config_000/policy_iter_0004.pt,0.026453771999513265,0e2acefc502472e804afebd272a8fb0e30093434a69125b9ec09c19ac17ad1a2,2.130751132965088,{},{},reports/keqingrl_mortal_action_q_imitation_train_20260430_source93_step20000_allseats_lr003_cont1/checkpoint_config_000/config_iter_0004.json,True,topk,3,3.413399826968089e-05,,64,74,0,"TSUMO,RON,RYUKYOKU",1,107.38719432299695,0.003,5370,1.0,5370,0.811784669996996,0,7.48123229599878,artifacts/mortal_training/mortal.pth,256,False,rule_prior_greedy,0,0.7953445017337799,0.6985176801681519,0.0,0,"PASS,RON,PON,CHI",78.78283563700097,202604330064,50.00596238549847,,0.25,keqingrl_rule_score_scale_v1,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",93,support-only-topk,2.3098986670011072,0.8018167614936829,mortal_action_teacher_v1,0.39904701709747314,15.832565591001185,0.4027698040008545,0.8018167614936829,3.0029685497283936,0.6985176801681519,0.6326111555099487,4385.0,mortal-action-q,topk,1.0,3,0.06834264099597931,0.21080075204372406,202604330001,3,1.6118913430036628
5592,0.5411568779964,2.2864583333333335,reports/keqingrl_mortal_action_q_imitation_train_20260430_source93_step20000_allseats_lr003_cont1/checkpoint_config_000/policy_iter_0004.pt,0.004512100000283681,0e2acefc502472e804afebd272a8fb0e30093434a69125b9ec09c19ac17ad1a2,1.7198576927185059,{},{},reports/keqingrl_mortal_action_q_imitation_train_20260430_source93_step20000_allseats_lr003_cont1/checkpoint_config_000/config_iter_0004.json,True,topk,3,3.712699981406331e-05,,64,56,0,"TSUMO,RON,RYUKYOKU",2,114.43308331300068,0.003,5592,1.0,5592,0.7778491049975855,0,8.367719164998562,artifacts/mortal_training/mortal.pth,256,False,rule_prior_greedy,0,0.8626609444618225,0.6863085031509399,0.0013020833333333333,0,"PASS,RON,PON,CHI",84.55931752899778,202604330128,48.86698704695914,,0.25,keqingrl_rule_score_scale_v1,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",93,support-only-topk,2.533682282002701,0.8029139637947083,mortal_action_teacher_v1,0.39172136783599854,16.061532138002804,0.41119253635406494,0.8029139637947083,3.0892419815063477,0.6863085031509399,0.6544627547264099,4616.0,mortal-action-q,topk,1.0,3,0.07188840955495834,0.22997139394283295,202604330002,3,1.5823614179971628
5459,0.5170893300019088,2.248826291079812,reports/keqingrl_mortal_action_q_imitation_train_20260430_source93_step20000_allseats_lr003_cont1/checkpoint_config_000/policy_iter_0004.pt,0.003936713997973129,0e2acefc502472e804afebd272a8fb0e30093434a69125b9ec09c19ac17ad1a2,1.3455357551574707,{},{},reports/keqingrl_mortal_action_q_imitation_train_20260430_source93_step20000_allseats_lr003_cont1/checkpoint_config_000/config_iter_0004.json,True,topk,3,3.810199996223673e-05,,64,73,0,"TSUMO,RON,RYUKYOKU",3,114.68376763199922,0.003,5459,1.0,5459,0.7445998889961629,0,8.081104788005177,artifacts/mortal_training/mortal.pth,256,False,rule_prior_greedy,0,0.8439274579286575,0.6988005042076111,0.004694835680751174,0,"PASS,RON,PON,CHI",87.03974044299684,202604330192,47.60045918195682,,0.25,keqingrl_rule_score_scale_v1,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",93,support-only-topk,2.390025038002932,0.792342483997345,mortal_action_teacher_v1,0.38007307052612305,14.336485493004147,0.4122694432735443,0.792342483997345,3.171344518661499,0.6988005042076111,0.6670368909835815,4502.0,mortal-action-q,topk,1.0,3,0.039934054017066956,0.20827990770339966,202604330003,3,1.5637517139984993
