config_label,seed_count,iterations,rule_kl_coef,delta_l2_coef,adaptive_recovery_enabled,recovery_max_extra_epochs,pass_count,movement_pass_count,stability_pass_count,eval_sanity_pass_count,top1_changed_mean,top1_changed_min,top1_changed_max,tempered_kl_mean,tempered_clip_mean,untempered_clip_mean,delta_abs_mean_mean,delta_abs_max_mean,delta_abs_max_max,eval_fourth_mean,learner_deal_in_mean,total_recovery_extra_epochs,total_recovery_attempted_epochs,total_recovery_rejected_epochs
adaptive_gate_rulekl0.005_l20.001_extra4,4,3,0.005,0.001,True,4,4,4,4,4,0.12991044484078884,0.032258063554763794,0.22705313563346863,0.007089834893126763,0.11863507330417633,0.16033160069491714,0.22801249846816063,1.0569283068180084,1.9561200141906738,0.390625,0.09375,15,16,17
iter3_rulekl0.005_l20.001_dclip0_dclipcoef0,4,3,0.005,0.001,False,0,3,3,4,4,0.10273211635649204,0.0,0.15981735289096832,0.005576950963586569,0.07527492195367813,0.17095034196972847,0.14751242846250534,0.6094718193635345,0.940406858921051,0.328125,0.09375,0,0,0
