config_label,seed_base,iteration,top1_changed,tempered_kl,tempered_clip,untempered_clip,delta_abs_max,recovery_extra_epochs,recovery_attempted_epochs,recovery_rejected_epochs,recovery_stop_reason,recovery_pre_top1_changed,recovery_pre_tempered_kl,recovery_pre_tempered_clip,recovery_pre_untempered_clip
adaptive_gate_rulekl0.005_l20.001_extra4,202604300000,0,0.009009009227156639,0.008168529719114304,0.11711711436510086,0.21621622145175934,0.46575382351875305,3,4,1,rejected_unstable_or_overmove,0.0,0.00013856626173947006,0.0,0.0
adaptive_gate_rulekl0.005_l20.001_extra4,202604300000,1,0.11836734414100647,0.010466651991009712,0.1795918345451355,0.24081632494926453,0.8749785423278809,0,0,0,not_needed,0.11836734414100647,0.010466651991009712,0.1795918345451355,0.24081632494926453
adaptive_gate_rulekl0.005_l20.001_extra4,202604300000,2,0.22705313563346863,0.015681512653827667,0.28502416610717773,0.4396135210990906,1.9561200141906738,0,0,0,not_needed,0.22705313563346863,0.015681512653827667,0.28502416610717773,0.4396135210990906
adaptive_gate_rulekl0.005_l20.001_extra4,202604310000,0,0.056338027119636536,0.012818045914173126,0.1690140813589096,0.3239436745643616,0.9140664935112,4,4,0,target_reached,0.0,6.406238389899954e-05,0.0,0.0
adaptive_gate_rulekl0.005_l20.001_extra4,202604310000,1,0.1317073106765747,1.0398186624889158e-14,0.0,0.004878048785030842,0.9968659281730652,0,0,4,base_rejected_unstable_or_overmove,0.3365853726863861,0.008984789252281189,0.16585366427898407,0.28780487179756165
adaptive_gate_rulekl0.005_l20.001_extra4,202604310000,2,0.16115702688694,1.0746224839619425e-14,0.0,0.0,0.9950863718986511,0,0,4,base_rejected_unstable_or_overmove,0.25206610560417175,0.008548390120267868,0.11157024651765823,0.3140496015548706
adaptive_gate_rulekl0.005_l20.001_extra4,202604320000,0,0.05263157933950424,0.010751957073807716,0.15311004221439362,0.24880382418632507,0.7167802453041077,4,4,0,target_reached,0.0,8.28122065286152e-05,0.0,0.0
adaptive_gate_rulekl0.005_l20.001_extra4,202604320000,1,0.1347150206565857,5.411905681761012e-15,0.0,0.005181347019970417,0.7247096300125122,0,0,4,base_rejected_unstable_or_overmove,0.3316062092781067,0.008860253728926182,0.12953367829322815,0.3316062092781067
adaptive_gate_rulekl0.005_l20.001_extra4,202604320000,2,0.09917355328798294,7.046704680950229e-15,0.0,0.00413223123177886,0.713245689868927,0,0,4,base_rejected_unstable_or_overmove,0.2933884263038635,0.004300790838897228,0.012396694160997868,0.23140496015548706
adaptive_gate_rulekl0.005_l20.001_extra4,202604330000,0,0.03913043439388275,0.01420733705163002,0.20434781908988953,0.2956521809101105,0.9901140332221985,4,4,0,target_reached,0.0,0.00013249520270619541,0.0,0.0
adaptive_gate_rulekl0.005_l20.001_extra4,202604330000,1,0.24056604504585266,0.011671931482851505,0.19811320304870605,0.38679245114326477,1.4274836778640747,0,0,0,not_needed,0.24056604504585266,0.011671931482851505,0.19811320304870605,0.38679245114326477
adaptive_gate_rulekl0.005_l20.001_extra4,202604330000,2,0.032258063554763794,0.012677826918661594,0.1895161271095276,0.19758065044879913,0.5632611513137817,0,0,0,not_needed,0.032258063554763794,0.012677826918661594,0.1895161271095276,0.19758065044879913
