actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,advantage_mean,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,count,delta_clip,delta_clip_coef,delta_l2_coef,delta_support_margin_threshold,delta_support_mode,delta_support_topk,entropy_coef,iteration,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,negative_advantage_count,opponent_mode,outside_support_delta_mode,pilot_config_id,positive_advantage_count,ratio_mode,rerun_config_id,return_mean,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_prior_rank,source_config_id,support_policy_mode,teacher_confidence_gate,teacher_contract_version,teacher_entropy_max,teacher_margin_min,teacher_prior_agree_min,teacher_source,teacher_target_type,teacher_temperature,teacher_topk,teacher_version,terminal_reward_mean,topk_ranking_aux_coef,topk_ranking_aux_mode,topk_ranking_k,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold,zero_advantage_count
0.75,topk,3,0.48636761576980697,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,324,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.01,27,rulebase,zero,0,297,tempered_current_logits,0,0.23645086002386648,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,False,keqingrl_topk_teacher_v1,1000000000.0,0.0,0.0,mortal-action-q,topk_distribution,1.0,3,mortal_action_teacher_v1,0.5941358024691358,10.0,teacher-ce,3,4,0.0,0.75,0
0.75,topk,3,0.44059515279092776,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,152,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.01,20,rulebase,zero,0,132,tempered_current_logits,0,0.19809550066527568,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,False,keqingrl_topk_teacher_v1,1000000000.0,0.0,0.0,mortal-action-q,topk_distribution,1.0,3,mortal_action_teacher_v1,0.47368421052631576,10.0,teacher-ce,3,4,0.0,0.75,0
0.75,topk,3,0.5035946881325226,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,127,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.01,14,rulebase,zero,0,113,tempered_current_logits,0,0.24591449683341454,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,support-only-topk,False,keqingrl_topk_teacher_v1,1000000000.0,0.0,0.0,mortal-action-q,topk_distribution,1.0,3,mortal_action_teacher_v1,0.594488188976378,10.0,teacher-ce,3,4,0.0,0.75,0
0.75,topk,3,0.39657438432949843,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,245,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.01,40,rulebase,zero,1,205,tempered_current_logits,0,0.1473052425804187,0.001,0.1,keqingrl_rule_score_scale_v1,1,93,support-only-topk,False,keqingrl_topk_teacher_v1,1000000000.0,0.0,0.0,mortal-action-q,topk_distribution,1.0,3,mortal_action_teacher_v1,0.3836734693877551,10.0,teacher-ce,3,4,0.0,0.75,0
0.75,topk,3,0.40348944072670573,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,158,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.01,22,rulebase,zero,1,136,tempered_current_logits,0,0.15557886829859094,0.001,0.1,keqingrl_rule_score_scale_v1,2,93,support-only-topk,False,keqingrl_topk_teacher_v1,1000000000.0,0.0,0.0,mortal-action-q,topk_distribution,1.0,3,mortal_action_teacher_v1,0.4651898734177215,10.0,teacher-ce,3,4,0.0,0.75,0
0.75,topk,3,0.34160239098033285,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,123,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.01,24,rulebase,zero,1,99,tempered_current_logits,0,0.09745774442345147,0.001,0.1,keqingrl_rule_score_scale_v1,3,93,support-only-topk,False,keqingrl_topk_teacher_v1,1000000000.0,0.0,0.0,mortal-action-q,topk_distribution,1.0,3,mortal_action_teacher_v1,0.34146341463414637,10.0,teacher-ce,3,4,0.0,0.75,0
0.75,topk,3,0.6629075010617574,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,3,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.01,0,rulebase,zero,1,3,tempered_current_logits,0,0.3419227997461955,0.001,0.1,keqingrl_rule_score_scale_v1,4,93,support-only-topk,False,keqingrl_topk_teacher_v1,1000000000.0,0.0,0.0,mortal-action-q,topk_distribution,1.0,3,mortal_action_teacher_v1,0.6666666666666666,10.0,teacher-ce,3,4,0.0,0.75,0
