actor,control_action_types,episode_id,events_tail_json,extra_mortal_action_ids_json,hand_json,iteration,last_discard_json,legal_action_count,legal_action_keys_json,legal_action_types_json,mismatch_kind,missing_legal_keys_json,missing_legal_types_json,mortal_mask_true_ids_json,pilot_config_id,replay_hint,rollout_seed,source_action_ids_json,step_index,torch_seed
0,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",76f0326b,[],[42],"""""",0,"""""",8,"[""0|tile=10|consumed=|from=-1|flags=0"",""0|tile=12|consumed=|from=-1|flags=1"",""0|tile=21|consumed=|from=-1|flags=0"",""0|tile=4|consumed=|from=-1|flags=0"",""0|tile=23|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=8|consumed=|from=-1|flags=0"",""0|tile=29|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[4,8,10,12,16,21,23,29,42]",0,,202604330000,"[[10],[12],[21],[4,34],[23],[16],[8],[29]]",68,202604330000
0,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",76f0326b,[],[42],"""""",0,"""""",8,"[""0|tile=10|consumed=|from=-1|flags=0"",""0|tile=21|consumed=|from=-1|flags=0"",""0|tile=4|consumed=|from=-1|flags=0"",""0|tile=4|consumed=|from=-1|flags=1"",""0|tile=23|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=8|consumed=|from=-1|flags=0"",""0|tile=29|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[4,8,10,16,21,23,29,34,42]",0,,202604330000,"[[10],[21],[4,34],[4,34],[23],[16],[8],[29]]",84,202604330000
0,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",76f0326b,[],[42],"""""",0,"""""",8,"[""0|tile=10|consumed=|from=-1|flags=0"",""0|tile=11|consumed=|from=-1|flags=1"",""0|tile=21|consumed=|from=-1|flags=0"",""0|tile=4|consumed=|from=-1|flags=0"",""0|tile=4|consumed=|from=-1|flags=0"",""0|tile=23|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=8|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[4,8,10,11,16,21,23,34,42]",0,,202604330000,"[[10],[11],[21],[4,34],[4,34],[23],[16],[8]]",100,202604330000
2,"PASS,RON,PON,CHI",76f0326b,[],[42],"""""",0,"""""",2,"[""5|tile=17|consumed=17,17|from=3|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",129,202604330000
0,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",76f0326b,[],[42],"""""",0,"""""",5,"[""0|tile=21|consumed=|from=-1|flags=0"",""0|tile=4|consumed=|from=-1|flags=0"",""0|tile=4|consumed=|from=-1|flags=0"",""0|tile=5|consumed=|from=-1|flags=1"",""0|tile=23|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[4,5,21,23,34,42]",0,,202604330000,"[[21],[4,34],[4,34],[5],[23]]",130,202604330000
0,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",76f0326b,[],[42],"""""",0,"""""",5,"[""0|tile=21|consumed=|from=-1|flags=0"",""0|tile=4|consumed=|from=-1|flags=0"",""0|tile=4|consumed=|from=-1|flags=0"",""0|tile=23|consumed=|from=-1|flags=0"",""0|tile=32|consumed=|from=-1|flags=1""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[4,21,23,32,34,42]",0,,202604330000,"[[21],[4,34],[4,34],[23],[32]]",144,202604330000
3,"PASS,RON,PON,CHI",0a8941db,[],[42],"""""",0,"""""",2,"[""5|tile=23|consumed=23,23|from=2|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",153,202604330000
0,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",ee78ebb7,[],[42],"""""",0,"""""",8,"[""0|tile=12|consumed=|from=-1|flags=0"",""0|tile=5|consumed=|from=-1|flags=0"",""0|tile=6|consumed=|from=-1|flags=0"",""0|tile=24|consumed=|from=-1|flags=0"",""0|tile=7|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=1"",""0|tile=17|consumed=|from=-1|flags=0"",""0|tile=29|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[5,6,7,12,16,17,24,29,42]",0,,202604330000,"[[12],[5],[6],[24],[7],[16],[17],[29]]",260,202604330000
0,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",ee78ebb7,[],[42],"""""",0,"""""",8,"[""0|tile=12|consumed=|from=-1|flags=0"",""0|tile=5|consumed=|from=-1|flags=0"",""0|tile=24|consumed=|from=-1|flags=0"",""0|tile=7|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=17|consumed=|from=-1|flags=0"",""0|tile=33|consumed=|from=-1|flags=1"",""0|tile=29|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[5,7,12,16,17,24,29,33,42]",0,,202604330000,"[[12],[5],[24],[7],[16],[17],[33],[29]]",276,202604330000
2,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",aeabf406,[],[42],"""""",0,"""""",8,"[""0|tile=13|consumed=|from=-1|flags=0"",""0|tile=25|consumed=|from=-1|flags=0"",""0|tile=8|consumed=|from=-1|flags=0"",""0|tile=17|consumed=|from=-1|flags=0"",""0|tile=26|consumed=|from=-1|flags=0"",""0|tile=33|consumed=|from=-1|flags=0"",""0|tile=32|consumed=|from=-1|flags=1"",""0|tile=28|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[8,13,17,25,26,28,32,33,42]",0,,202604330000,"[[13,35],[25],[8],[17],[26],[33],[32],[28]]",180,202604330000
