behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,entropy_coef,episodes,eval_episodes,eval_fourth_rate,eval_learner_deal_in_rate,eval_learner_win_rate,eval_mean_rank,eval_rank_pt,eval_seed_hash,eval_seed_registry_id,fallback_rate_fail_closed,final_advantage_max,final_advantage_mean,final_advantage_min,final_advantage_std,final_batch_size,final_non_top1_positive_advantage_count,final_non_top1_selected_count,final_positive_advantage_count,final_positive_advantage_non_top1_count,final_positive_advantage_top1_count,final_selected_prior_top1_rate,final_tempered_post_update_approx_kl,final_tempered_post_update_clip_fraction,final_tempered_post_update_policy_loss,final_tempered_post_update_rule_kl,final_untempered_post_neural_delta_abs_max,final_untempered_post_neural_delta_abs_mean,final_untempered_post_rule_agreement,final_untempered_post_top1_action_changed_rate,final_untempered_post_update_approx_kl,final_untempered_post_update_clip_fraction,forced_terminal_missed_fail_closed,illegal_action_rate_fail_closed,iterations,lr,opponent_mode,pilot_config_id,ratio_mode,rerun_config_id,rule_kl_coef,source_checkpoint_sha256,source_config_id
1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.01,16,16,0.375,0.125,0.25,2.3125,-0.03125,0a023780fd4aa5d1,base=202604310000:stride=1:count=16,0.0,1.4079854488372803,-0.30480897426605225,-1.2699593305587769,0.8261481523513794,215,40,102,84,40,44,0.5255813953488372,1.6258507040678438e-10,0.0,-1.7010888768709265e-06,0.04414598271250725,0.0004293719830457121,8.526243618689477e-05,1.0,0.0,0.0457698293030262,1.0,0,0.0,3,0.0001,rulebase,0,tempered_current_logits,0,0.01,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93
1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.01,16,16,0.375,0.125,0.25,2.3125,-0.03125,0a023780fd4aa5d1,base=202604310000:stride=1:count=16,0.0,1.5427206754684448,0.21813318133354187,-1.304298996925354,0.8423633575439453,244,71,118,166,71,95,0.5163934426229508,1.046108061286688e-10,0.0,-2.1242703951429576e-06,0.043906230479478836,0.00037461728788912296,0.00010669741459423676,1.0,0.0,0.04583287239074707,0.9999999403953552,0,0.0,3,0.0001,rulebase,1,tempered_current_logits,0,0.01,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93
1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.01,16,16,0.375,0.125,0.25,2.3125,-0.03125,0a023780fd4aa5d1,base=202604310000:stride=1:count=16,0.0,1.470296025276184,0.2476528137922287,-1.2766755819320679,0.8181437849998474,223,82,112,159,82,77,0.4977578475336323,2.5235675771284605e-09,0.0,-6.919484803802334e-06,0.043554071336984634,0.0029815896414220333,0.0010304134339094162,1.0,0.0,0.04671543091535568,1.0,0,0.0,3,0.0003,rulebase,2,tempered_current_logits,0,0.01,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93
1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.01,16,16,0.375,0.125,0.25,2.3125,-0.03125,0a023780fd4aa5d1,base=202604310000:stride=1:count=16,0.0,1.4974557161331177,-0.15130577981472015,-1.2951757907867432,0.8526948094367981,219,51,99,105,51,54,0.547945205479452,1.2127131521211254e-09,0.0,-7.511817784688901e-06,0.04379110410809517,0.0010235985973849893,0.0002578810090199113,1.0,0.0,0.04481058195233345,0.9999999403953552,0,0.0,3,0.0003,rulebase,3,tempered_current_logits,0,0.01,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93
