checkpoint_path,checkpoint_sha256,config_id,config_path,fail_closed_count,mapping_available_count,mapping_row_count,optimizer_path,optimizer_sha256,rerun_config_id,rule_score_scale,rule_score_scale_version,source_config_id,teacher_ce,teacher_kl,teacher_policy_agreement,teacher_source,teacher_support,teacher_temperature,teacher_topk,top1_changed_vs_parent_rate
reports/keqingrl_mortal_action_q_imitation_train_20260430_source93_step20000_allseats_lr0025_from_lr003_best/checkpoint_config_000/policy_iter_0001.pt,79e8fd301eccaf32332c21cb92b04c52a609b531e8a11d6476a716a6749b67c1,0,reports/keqingrl_mortal_action_q_imitation_train_20260430_source93_step20000_allseats_lr0025_from_lr003_best/checkpoint_config_000/config_iter_0001.json,0,5399,5399,reports/keqingrl_mortal_action_q_imitation_train_20260430_source93_step20000_allseats_lr0025_from_lr003_best/checkpoint_config_000/optimizer_iter_0001.pt,c94cfb1b074f741a3add8eb6a544786a416e459e6434c45496f64ecc7a2fb3d1,0,0.25,keqingrl_rule_score_scale_v1,93,0.7973465323448181,0.41639167070388794,0.6882060766220093,mortal-action-q,topk,1.0,3,0.07390257716178894
reports/keqingrl_mortal_action_q_imitation_train_20260430_source93_step20000_allseats_lr0025_from_lr003_best/checkpoint_config_000/policy_iter_0002.pt,cbad20400bef97159a87de389c7779e6c76f38d3bf1b05014153c744ea0753c2,0,reports/keqingrl_mortal_action_q_imitation_train_20260430_source93_step20000_allseats_lr0025_from_lr003_best/checkpoint_config_000/config_iter_0002.json,0,5521,5521,reports/keqingrl_mortal_action_q_imitation_train_20260430_source93_step20000_allseats_lr0025_from_lr003_best/checkpoint_config_000/optimizer_iter_0002.pt,223221631c1a8001e42a7b6dd1442320c0ae10db2ca8bd9288b4d9671e2c2a00,0,0.25,keqingrl_rule_score_scale_v1,93,0.8134078979492188,0.4049776494503021,0.675514280796051,mortal-action-q,topk,1.0,3,0.05868501961231232
reports/keqingrl_mortal_action_q_imitation_train_20260430_source93_step20000_allseats_lr0025_from_lr003_best/checkpoint_config_000/policy_iter_0003.pt,495f5871c7a4de4a6367edff20b8aa3dc6831c02a87b9b7739240636f22edc0a,0,reports/keqingrl_mortal_action_q_imitation_train_20260430_source93_step20000_allseats_lr0025_from_lr003_best/checkpoint_config_000/config_iter_0003.json,0,5400,5400,reports/keqingrl_mortal_action_q_imitation_train_20260430_source93_step20000_allseats_lr0025_from_lr003_best/checkpoint_config_000/optimizer_iter_0003.pt,613f5865f599f2c3fbdb7ec4f087a08503a00606b0d173642c9d241f8d702c6e,0,0.25,keqingrl_rule_score_scale_v1,93,0.7899960279464722,0.4024408161640167,0.7017698884010315,mortal-action-q,topk,1.0,3,0.043703705072402954
reports/keqingrl_mortal_action_q_imitation_train_20260430_source93_step20000_allseats_lr0025_from_lr003_best/checkpoint_config_000/policy_iter_0004.pt,c6ce3784036c3230aeaa261316618987fdc5a83c37a9a9f78ca5bf9df4aff768,0,reports/keqingrl_mortal_action_q_imitation_train_20260430_source93_step20000_allseats_lr0025_from_lr003_best/checkpoint_config_000/config_iter_0004.json,0,5442,5442,reports/keqingrl_mortal_action_q_imitation_train_20260430_source93_step20000_allseats_lr0025_from_lr003_best/checkpoint_config_000/optimizer_iter_0004.pt,4879ba6d6dcfe52f3ba2ae287efb0008d76cd741d8e8e92a3fdd4f38725e1ce8,0,0.25,keqingrl_rule_score_scale_v1,93,0.7910730838775635,0.4129672646522522,0.6996685266494751,mortal-action-q,topk,1.0,3,0.024990811944007874
