decision,step_id,actor,selected,legal_actions
115,115,2,打1m,打1m | 打1p | 打2p | 打3p | 打4m | 打6m | 打6p | 打6s | 打7p | 打7s | 打8m | 打8p | 打9m
116,116,3,过,过
117,117,0,过,过
118,118,1,过,过
119,119,3,打2s,打1p | 打2s | 打3p | 打4p | 打7p | 打9p | 打东 | 打白
120,120,0,过,过
121,121,1,过,过
122,122,2,过,过
123,123,0,打4m,打3m | 打4m | 打5s | 打6p | 打6s | 打7s | 打8m | 打8s | 打9m | 打发 | 打北 | 打南
124,124,1,过,"PON 4m consumed=[4m,4m] from P0 | 过"
125,125,2,过,过
126,126,3,过,过
127,127,1,打白,打1s | 打2m | 打2p | 打3s | 打4m | 打5s | 打6m | 打6s | 打7m | 打8m | 打8s | 打9m | 打白
128,128,2,过,过
129,129,3,过,过
130,130,0,过,过
131,131,2,立直打4m,打1p | 打2p | 打3p | 打4m | 打5s | 打6m | 打6p | 打6s | 打7p | 打7s | 打8m | 打8p | 打9m | 立直打4m | 立直打5s | 立直打8m
132,132,3,过,过
133,133,0,过,过
134,134,1,过,"PON 4m consumed=[4m,4m] from P2 | 过"
135,135,3,打4s,打1p | 打3p | 打4p | 打4s | 打7p | 打9p | 打东 | 打白
136,136,0,过,"CHI 4s consumed=[5s,6s] from P3 | 过"
137,137,1,过,过
138,138,2,过,过
139,139,0,打发,打3m | 打3p | 打5s | 打6p | 打6s | 打7s | 打8m | 打8s | 打9m | 打发 | 打北 | 打南
140,140,1,过,过
141,141,2,过,过
142,142,3,过,过
143,143,1,打1s,打1s | 打2m | 打2p | 打3s | 打4m | 打5s | 打6m | 打6s | 打7m | 打8m | 打8s | 打9m
144,144,2,过,过
145,145,3,过,过
146,146,0,过,过
147,147,2,打6m,打6m
148,148,3,过,过
149,149,0,过,过
150,150,1,过,过
151,151,3,打2m,打1p | 打2m | 打3p | 打4p | 打7p | 打9p | 打东 | 打白
152,152,0,过,过
153,153,1,过,过
154,154,2,过,过
155,155,0,打3m,打3m | 打3p | 打5s | 打6p | 打6s | 打7s | 打8m | 打8s | 打9m | 打北 | 打南
156,156,1,过,"CHI 3m consumed=[2m,4m] from P0 | 过"
157,157,2,过,过
158,158,3,过,过
159,159,1,打4m,打2m | 打2p | 打3s | 打4m | 打5s | 打6m | 打6s | 打7m | 打8m | 打8s | 打9m | 打北
160,160,2,过,过
161,161,3,过,过
162,162,0,过,过
163,163,2,打4p,打4p
164,164,3,过,过
165,165,0,过,过
166,166,1,过,过
167,167,3,打9s,打1p | 打3p | 打4p | 打7p | 打9p | 打9s | 打东 | 打白
168,168,0,过,"CHI 9s consumed=[7s,8s] from P3 | 过"
169,169,1,过,过
170,170,2,过,过
171,171,0,打3p,打3p | 打5s | 打6p | 打6s | 打7s | 打8m | 打8p | 打8s | 打9m | 打北 | 打南
172,172,1,过,过
173,173,2,过,过
174,174,3,过,过
175,175,1,打3s,打2m | 打2p | 打3s | 打4m | 打5m | 打5s | 打6m | 打6s | 打7m | 打8m | 打8s | 打9m | 打北
176,176,2,过,过
177,177,3,过,过
178,178,0,过,过
179,179,2,打4s,打4s
180,180,3,过,过
181,181,0,过,过
182,182,1,过,过
183,183,3,打2m,打1p | 打2m | 打3p | 打4p | 打7p | 打9p | 打东 | 打白
184,184,0,过,过
185,185,1,过,过
186,186,2,过,过
187,187,0,打5s,打3m | 打5s | 打6p | 打6s | 打7s | 打8m | 打8p | 打8s | 打9m | 打北 | 打南
188,188,1,过,过
189,189,2,过,过
190,190,3,过,过
191,191,1,打3s,打2m | 打2p | 打3s | 打4m | 打5m | 打5s | 打6m | 打6s | 打7m | 打8m | 打8s | 打9m | 打北
192,192,2,过,过
193,193,3,过,过
194,194,0,过,过
195,195,2,打7p,打7p
196,196,3,过,过
197,197,0,过,过
198,198,1,过,过
199,199,3,打8m,打1p | 打3p | 打4p | 打7p | 打8m | 打9p | 打东 | 打白
200,200,0,过,过
201,201,1,过,过
202,202,2,过,过
203,203,0,打3m,打3m | 打6p | 打6s | 打7s | 打8m | 打8p | 打8s | 打9m | 打北 | 打南
204,204,1,过,"CHI 3m consumed=[2m,4m] from P0 | CHI 3m consumed=[4m,5m] from P0 | 过"
205,205,2,过,过
206,206,3,过,过
207,207,1,打2s,打2m | 打2p | 打2s | 打4m | 打5m | 打5s | 打6m | 打6s | 打7m | 打8m | 打8s | 打9m | 打北
208,208,2,过,过
209,209,3,过,过
210,210,0,过,过
211,211,2,自摸,自摸
