actor_update_dropped_count,actor_update_dropped_non_top1_positive_advantage_count,actor_update_dropped_positive_advantage_count,actor_update_dropped_prior_margin_mean,actor_update_dropped_rate,actor_update_dropped_selected_prior_rank_mean,actor_update_kept_count,actor_update_kept_non_top1_positive_advantage_count,actor_update_kept_positive_advantage_count,actor_update_kept_prior_margin_mean,actor_update_kept_rate,actor_update_kept_selected_prior_rank_mean,actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,adaptive_recovery_enabled,advantage_max,advantage_mean,advantage_min,advantage_negative_rate,advantage_positive_rate,advantage_std,advantage_zero_rate,batch_size,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,delta_clip,delta_clip_coef,delta_l2_coef,delta_support_margin_threshold,delta_support_mode,delta_support_topk,entropy_coef,episodes,iteration,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,max_grad_norm,mean_delta_needed_to_flip_top1,movement_quality_gate_enabled,non_top1_positive_advantage_count,non_top1_selected_count,non_top1_selected_rate,opponent_mode,outside_support_delta_mode,p10_delta_needed_to_flip_top1,p50_delta_needed_to_flip_top1,p90_delta_needed_to_flip_top1,pilot_config_id,positive_advantage_count,positive_advantage_non_top1_count,positive_advantage_top1_count,quality_max_changed_prior_rank_mean,quality_max_prior_margin_p50,quality_max_rank_ge5_rate,rank_coef,ratio_mode,recovery_attempted_epochs,recovery_extra_epochs,recovery_max_tempered_clip,recovery_max_tempered_kl,recovery_max_top1_changed,recovery_max_untempered_clip,recovery_min_top1_changed,recovery_pre_tempered_clip,recovery_pre_tempered_kl,recovery_pre_top1_changed,recovery_pre_untempered_clip,recovery_rejected_epochs,recovery_stop_reason,rerun_config_id,return_max,return_mean,return_min,return_std,reward_max,reward_mean,reward_min,reward_nonzero_count,reward_std,rollout_seed,rule_kl_coef,rule_score_scale,rule_score_scale_values,rule_score_scale_version,sample_entropy_mean,seed_hash,seed_registry_id,selected_non_top1_positive_advantage_count,selected_prior_prob_mean,selected_prior_prob_p90,selected_prior_rank_histogram,selected_prior_rank_mean,selected_prior_top1_rate,source_config_id,support_policy_mode,teacher_audit_agree_return_mean,teacher_audit_confidence_keep_rate,teacher_audit_disagree_positive_advantage_count,teacher_audit_disagree_return_mean,teacher_audit_entropy_mean,teacher_audit_entropy_p50,teacher_audit_margin_mean,teacher_audit_margin_p50,teacher_audit_prior_agree_rate,teacher_confidence_gate,teacher_contract_version,teacher_entropy_max,teacher_margin_min,teacher_prior_agree_min,teacher_source,teacher_target_type,teacher_temperature,teacher_topk,teacher_version,tempered_post_update_approx_kl,tempered_post_update_clip_fraction,tempered_post_update_low_rank_flip_penalty,tempered_post_update_policy_loss,tempered_post_update_rule_kl,tempered_post_update_topk_ranking_aux_loss,tempered_post_update_topk_ranking_kept_count,tempered_post_update_topk_ranking_teacher_agreement,tempered_post_update_topk_ranking_teacher_confidence_kept_count,tempered_post_update_topk_ranking_teacher_confidence_kept_rate,tempered_post_update_topk_ranking_teacher_entropy,tempered_post_update_topk_ranking_teacher_kl,tempered_post_update_topk_ranking_teacher_margin,tempered_post_update_topk_ranking_teacher_prior_agreement,tempered_post_update_topk_ranking_teacher_rule_top1_rank,tempered_post_update_weak_margin_flip_penalty,topk_ranking_aux_coef,topk_ranking_aux_mode,topk_ranking_k,torch_sample_seed,train_movement_quality_pass,untempered_post_batch_size,untempered_post_changed_action_prior_rank_mean,untempered_post_changed_action_prior_rank_p50,untempered_post_changed_action_prior_rank_p90,untempered_post_changed_state_prior_margin_mean,untempered_post_changed_state_prior_margin_p50,untempered_post_changed_state_prior_margin_p90,untempered_post_changed_state_prior_margin_top1_to_top2_mean,untempered_post_changed_state_prior_margin_top1_to_top2_p50,untempered_post_changed_state_prior_margin_top1_to_top2_p90,untempered_post_changed_state_prior_top1_prob_mean,untempered_post_changed_state_selected_prior_prob_mean,untempered_post_changed_to_rank_ge5_rate,untempered_post_changed_to_top2_rate,untempered_post_changed_to_top3_rate,untempered_post_changed_to_top5_rate,untempered_post_effective_margin_to_flip_mean,untempered_post_effective_margin_to_flip_p50,untempered_post_effective_margin_to_flip_p90,untempered_post_neural_delta_abs_max,untempered_post_neural_delta_abs_mean,untempered_post_rule_agreement,untempered_post_scaled_prior_margin_mean,untempered_post_scaled_prior_margin_p50,untempered_post_top1_action_changed_rate,untempered_post_update_approx_kl,untempered_post_update_clip_fraction,untempered_pre_batch_size,untempered_pre_changed_action_prior_rank_mean,untempered_pre_changed_action_prior_rank_p50,untempered_pre_changed_action_prior_rank_p90,untempered_pre_changed_state_prior_margin_mean,untempered_pre_changed_state_prior_margin_p50,untempered_pre_changed_state_prior_margin_p90,untempered_pre_changed_state_prior_margin_top1_to_top2_mean,untempered_pre_changed_state_prior_margin_top1_to_top2_p50,untempered_pre_changed_state_prior_margin_top1_to_top2_p90,untempered_pre_changed_state_prior_top1_prob_mean,untempered_pre_changed_state_selected_prior_prob_mean,untempered_pre_changed_to_rank_ge5_rate,untempered_pre_changed_to_top2_rate,untempered_pre_changed_to_top3_rate,untempered_pre_changed_to_top5_rate,untempered_pre_effective_margin_to_flip_mean,untempered_pre_effective_margin_to_flip_p50,untempered_pre_effective_margin_to_flip_p90,untempered_pre_neural_delta_abs_max,untempered_pre_neural_delta_abs_mean,untempered_pre_rule_agreement,untempered_pre_scaled_prior_margin_mean,untempered_pre_scaled_prior_margin_p50,untempered_pre_top1_action_changed_rate,update_epochs,value_coef,weak_margin_flip_penalty_coef,weak_margin_threshold
0,0,0,0.0,0.0,0.0,213,55,108,3.000178337097168,1.0,1.7652581930160522,0.75,all,3,False,1.5056233406066895,-0.09077581763267517,-1.2171478271484375,0.49295774647887325,0.5070422535211268,0.8669508099555969,0.0,213,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,0.75,topk,3,0.005,16,0,0.0,3,0.003,1.0,3.000436305999756,True,55,110,0.5164319248826291,rulebase,zero,3.0,3.0,3.000999927520752,0,108,55,53,3.0,3.1,0.1,0.0,tempered_current_logits,0,0,0.3,0.03,0.25,0.8,0.02,0.24413146078586578,0.01511527132242918,0.08920187503099442,0.30985915660858154,0,disabled,0,1.0,-0.335105299949646,-1.5,0.8675328493118286,1.0,-0.028169013559818268,-1.5,16,0.32739537954330444,202604360000,0.001,0.25,[0.25],keqingrl_rule_score_scale_v1,0.0,080515d48a60cb76,config=0:iter=0:base=202604360000:stride=1:count=16,55,0.34046208767543934,0.6916345953941345,"{""1"":103,""2"":57,""3"":53}",1.7652582159624413,0.4835680751173709,93,support-only-topk,-0.36476384247502974,0.0,47.0,-0.2937832920069105,1.0259805419635324,1.042687177658081,0.4804996460536276,0.3999999761581421,0.5821596244131455,True,keqingrl_topk_teacher_v1,0.8,0.2,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,0.01511527132242918,0.24413146078586578,0.0,-0.027258211746811867,1.0009766817092896,0.0,213.0,0.5586854219436646,0.0,0.0,1.0259805917739868,0.0,0.48049965500831604,0.5821596384048462,1.5492957830429077,0.548108696937561,0.03,teacher-ce,3,202604360000,True,213,2.526315789473684,3.0,3.0,3.000736801247848,3.000999927520752,3.000999927520752,3.0002105110570003,3.0,3.000999927520752,0.6697262305962411,0.03331931670637507,0.0,0.47368421052631576,1.0,1.0,0.48053866624832153,0.485750287771225,0.8606893420219421,0.9197107553482056,0.057770051062107086,0.9107981324195862,0.750044584274292,0.75,0.08920187503099442,0.023105008527636528,0.30985915660858154,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7500329613685608,0.7499973773956299,0.7502384781837463,0.0002371947921346873,3.205150642315857e-05,1.0,0.750044584274292,0.75,0.0,8,0.0,0.0,0.75
0,0,0,0.0,0.0,0.0,197,104,184,3.000213146209717,1.0,1.8680202960968018,0.75,all,3,False,4.901232719421387,2.1116418838500977,-1.0635548830032349,0.06598984771573604,0.934010152284264,1.3471566438674927,0.0,197,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,0.75,topk,3,0.005,16,1,0.0,3,0.003,1.0,3.0005226135253906,True,104,112,0.5685279187817259,rulebase,zero,3.0,3.0,3.000999927520752,0,184,104,80,3.0,3.1,0.1,0.0,tempered_current_logits,0,0,0.3,0.03,0.25,0.8,0.02,0.1878172606229782,0.012708434835076332,0.11167512834072113,0.39593908190727234,0,disabled,0,1.0,-0.6823707818984985,-2.4178617000579834,0.8359758853912354,1.0,0.010152284055948257,-1.5,16,0.27575182914733887,202604360016,0.001,0.25,[0.25],keqingrl_rule_score_scale_v1,0.0,0a98951263fe8cad,config=0:iter=1:base=202604360016:stride=1:count=16,104,0.307501050941457,0.6916107535362244,"{""1"":85,""2"":53,""3"":59}",1.868020304568528,0.43147208121827413,93,support-only-topk,-0.7610941415323931,0.0,60.0,-0.5068566300829903,1.0301568275175723,1.035933494567871,0.4507795280308893,0.40357130765914917,0.6903553299492385,True,keqingrl_topk_teacher_v1,0.8,0.2,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,0.012708434835076332,0.1878172606229782,0.0,-0.03735501319169998,0.9701395034790039,0.0,197.0,0.6649746298789978,0.0,0.0,1.0301568508148193,0.0,0.450779527425766,0.6903553009033203,1.4111675024032593,0.5345264673233032,0.03,teacher-ce,3,202604360001,True,197,2.727272727272727,3.0,3.0,3.0012727325612847,3.000999927520752,3.002000093460083,3.000499963760376,3.000499963760376,3.000999927520752,0.6796173074028709,0.0337933711707592,0.0,0.2727272727272727,1.0,1.0,0.5637373924255371,0.6125562787055969,1.0983740091323853,0.8746020197868347,0.0727706328034401,0.8883248567581177,0.7500532865524292,0.75,0.11167512834072113,0.023193666711449623,0.39593908190727234,197,2.7333333333333334,3.0,3.0,3.001199992497762,3.000999927520752,3.002000093460083,3.0004666328430174,3.0,3.000999927520752,0.6696300427118937,0.03329887526730697,0.0,0.26666666666666666,1.0,1.0,0.5872417688369751,0.5912231206893921,0.9824475646018982,0.8567509651184082,0.05530017986893654,0.9238578677177429,0.7500532865524292,0.75,0.07614213228225708,8,0.0,0.0,0.75
0,0,0,0.0,0.0,0.0,259,133,245,3.0002856254577637,1.0,1.84555983543396,0.75,all,3,False,6.83401346206665,2.9969027042388916,-1.5948429107666016,0.05405405405405406,0.9459459459459459,1.8498493432998657,0.0,259,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,0.75,topk,3,0.005,16,2,0.0,3,0.003,1.0,3.000610113143921,True,133,141,0.5444015444015444,rulebase,zero,3.0,3.0,3.002000093460083,0,245,133,112,3.0,3.1,0.1,0.0,tempered_current_logits,0,0,0.3,0.03,0.25,0.8,0.02,0.21235521137714386,0.012760018929839134,0.2239382266998291,0.33590734004974365,0,disabled,0,1.0,-1.0830875635147095,-2.8305001258850098,0.9630625247955322,1.0,0.025096524506807327,-1.5,16,0.25306516885757446,202604360032,0.001,0.25,[0.25],keqingrl_rule_score_scale_v1,0.0,70692adfa3c7ec90,config=0:iter=2:base=202604360032:stride=1:count=16,133,0.3183578354195048,0.6688328385353088,"{""1"":118,""2"":63,""3"":78}",1.8455598455598456,0.4555984555984556,93,support-only-topk,-1.0536627467940836,0.003861003861003861,85.0,-1.1392924852585524,1.0267370301784235,1.0408544540405273,0.4789437230489429,0.42499998211860657,0.6563706563706564,True,keqingrl_topk_teacher_v1,0.8,0.2,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,0.012760018929839134,0.21235521137714386,0.0,-0.043651800602674484,1.0191731452941895,0.8766117095947266,259.0,0.5019304752349854,1.0,0.0038610037881881,1.026737093925476,0.11981014162302017,0.47894376516342163,0.6563706398010254,1.451737403869629,0.5443560481071472,0.03,teacher-ce,3,202604360002,False,259,2.5517241379310347,3.0,3.0,3.001103429958738,3.000999927520752,3.002000093460083,3.0004827236307077,3.0,3.000999927520752,0.6658818516237982,0.033115723041881776,0.0,0.4482758620689655,1.0,1.0,0.5150430202484131,0.43243634700775146,1.1727045774459839,1.6416748762130737,0.10200726985931396,0.7760617733001709,0.7500714063644409,0.75,0.2239382266998291,0.023737933486700058,0.33590734004974365,259,2.5142857142857142,3.0,3.0,3.0011142662593295,3.000999927520752,3.002000093460083,3.0005142484392437,3.000999927520752,3.000999927520752,0.6712872505187988,0.03338395612580436,0.0,0.4857142857142857,1.0,1.0,0.5030369758605957,0.45545387268066406,1.0255614519119263,0.8877975344657898,0.07052768021821976,0.8648648858070374,0.7500714063644409,0.75,0.13513512909412384,8,0.0,0.0,0.75
0,0,0,0.0,0.0,0.0,232,89,154,3.0002238750457764,1.0,1.7887930870056152,0.75,all,3,False,1.4459807872772217,0.13552647829055786,-1.2278622388839722,0.33620689655172414,0.6637931034482759,0.8428731560707092,0.0,232,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,0.75,topk,3,0.005,16,0,0.0,3,0.003,1.0,3.000469923019409,True,89,128,0.5517241379310345,rulebase,zero,3.0,3.0,3.000999927520752,1,154,89,65,3.0,3.1,0.1,0.0,tempered_current_logits,0,0,0.3,0.03,0.25,0.8,0.02,0.2844827473163605,0.01762497052550316,0.08620689809322357,0.3448275923728943,0,disabled,0,1.0,-0.11941738426685333,-1.5,0.814289391040802,1.0,-0.01508620660752058,-1.5,16,0.30581432580947876,202604460000,0.001,0.25,[0.25],keqingrl_rule_score_scale_v1,0.0,9ca2c67bc1516ee5,config=1:iter=0:base=202604460000:stride=1:count=16,89,0.3136783069449252,0.6688328385353088,"{""1"":104,""2"":73,""3"":55}",1.7887931034482758,0.4482758620689655,93,support-only-topk,-0.04758284773819054,0.2413793103448276,43.0,-0.2727938254137297,1.02329002654758,1.0374486446380615,0.49642855699720057,0.4249999523162842,0.6810344827586207,True,keqingrl_topk_teacher_v1,1.0,0.2,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,0.01762497052550316,0.2844827473163605,0.0,-0.01571086421608925,1.0084950923919678,1.032222867012024,232.0,0.6163793206214905,56.0,0.24137930572032928,1.0232900381088257,0.10640718787908554,0.49642857909202576,0.681034505367279,1.409482717514038,0.5500213503837585,0.03,teacher-ce,3,202604460000,True,232,2.45,2.0,3.0,3.0007499933242796,3.000999927520752,3.002000093460083,3.0002999782562254,3.0,3.000999927520752,0.6641859740018845,0.03304294571280479,0.0,0.55,1.0,1.0,0.4847792983055115,0.4946860671043396,0.856336772441864,0.8792845010757446,0.06086430326104164,0.9137930870056152,0.7500559687614441,0.75,0.08620689809322357,0.026221612468361855,0.3448275923728943,232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7500442266464233,0.7499974966049194,0.7502442598342896,0.0001999005617108196,3.22283995046746e-05,1.0,0.7500559687614441,0.75,0.0,8,0.0,0.0,0.75
0,0,0,0.0,0.0,0.0,240,108,214,3.000258207321167,1.0,1.7583333253860474,0.75,all,3,False,4.182086944580078,1.3567649126052856,-1.1212267875671387,0.10833333333333334,0.8916666666666667,1.2092846632003784,0.0,240,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,0.75,topk,3,0.005,16,1,0.0,3,0.003,1.0,3.000537633895874,True,108,119,0.49583333333333335,rulebase,zero,3.0,3.0,3.000999927520752,1,214,108,106,3.0,3.1,0.1,0.0,tempered_current_logits,0,0,0.3,0.03,0.25,0.8,0.02,0.21666666865348816,0.012441101484000683,0.1666666716337204,0.375,0,disabled,0,1.0,-0.8020113110542297,-1.9732768535614014,0.8891911506652832,1.0,-0.012500000186264515,-1.5,16,0.3059309422969818,202604460016,0.001,0.25,[0.25],keqingrl_rule_score_scale_v1,0.0,a5a1b901c1d598b3,config=1:iter=1:base=202604460016:stride=1:count=16,108,0.35289689640824995,0.6915395259857178,"{""1"":121,""2"":56,""3"":63}",1.7583333333333333,0.5041666666666667,93,support-only-topk,-0.7533221218321059,0.29583333333333334,49.0,-0.9480790823698044,1.0175781312088172,1.0297532081604004,0.5482291482388973,0.4999999403953552,0.75,True,keqingrl_topk_teacher_v1,1.0,0.2,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,0.012441101484000683,0.21666666865348816,0.0,-0.04214329645037651,0.980038583278656,1.0573310852050781,240.0,0.625,71.0,0.2958333194255829,1.017578125,0.122617706656456,0.5482291579246521,0.75,1.3208333253860474,0.5334498286247253,0.03,teacher-ce,3,202604460001,False,240,2.65,3.0,3.0,3.0008749783039095,3.000999927520752,3.002000093460083,3.0001499891281127,3.0,3.000999927520752,0.6669105976819992,0.03317436040379107,0.0,0.35,1.0,1.0,0.5296558737754822,0.4730353057384491,1.234473466873169,1.3872458934783936,0.10132788866758347,0.8333333134651184,0.7500645518302917,0.75,0.1666666716337204,0.022546622902154922,0.375,240,2.5,2.5,3.0,3.0007857254573276,3.000499963760376,3.002000093460083,3.0000714233943393,3.0,3.0,0.6819333434104919,0.033924512032951624,0.0,0.5,1.0,1.0,0.5490346550941467,0.5755714178085327,0.8972970247268677,0.8185646533966064,0.058168768882751465,0.9416666626930237,0.7500645518302917,0.75,0.05833333358168602,8,0.0,0.0,0.75
0,0,0,0.0,0.0,0.0,233,105,214,3.000248908996582,1.0,1.7553647756576538,0.75,all,3,False,4.1645708084106445,1.4728220701217651,-0.8292813897132874,0.0815450643776824,0.9184549356223176,1.1454977989196777,0.0,233,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,0.75,topk,3,0.005,16,2,0.0,3,0.003,1.0,3.0005106925964355,True,105,117,0.5021459227467812,rulebase,zero,3.0,3.0,3.000999927520752,1,214,105,109,3.0,3.1,0.1,0.0,tempered_current_logits,0,0,0.3,0.03,0.25,0.8,0.02,0.22746780514717102,0.014957556501030922,0.22317597270011902,0.3819742500782013,0,disabled,0,1.0,-0.6908019185066223,-1.9212428331375122,0.859114408493042,1.0,-0.010729613713920116,-1.5,16,0.3157060146331787,202604460032,0.001,0.25,[0.25],keqingrl_rule_score_scale_v1,0.0,d40216e9f91591bb,config=1:iter=2:base=202604460032:stride=1:count=16,105,0.3485275333339564,0.6914448738098145,"{""1"":116,""2"":58,""3"":59}",1.7553648068669527,0.4978540772532189,93,support-only-topk,-0.6842300507443897,0.23605150214592274,56.0,-0.7081558974459767,1.0240457909813254,1.0381817817687988,0.4740343242244147,0.4249999523162842,0.7253218884120172,True,keqingrl_topk_teacher_v1,1.0,0.2,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,0.014957556501030922,0.22746780514717102,0.0,-0.042877111583948135,0.996902346611023,1.0462473630905151,233.0,0.5922746658325195,55.0,0.2360514998435974,1.0240458250045776,0.11409740149974823,0.47403430938720703,0.725321888923645,1.3776824474334717,0.5336459279060364,0.03,teacher-ce,3,202604460002,False,233,2.5384615384615383,3.0,3.0,3.00092305128391,3.000999927520752,3.002000093460083,3.0003653581325826,3.0,3.000999927520752,0.6726979533067117,0.03346085114977681,0.0,0.46153846153846156,1.0,1.0,0.5987533330917358,0.4536679983139038,1.427116870880127,1.3455615043640137,0.11392421275377274,0.7768239974975586,0.7500622272491455,0.75,0.22317597270011902,0.0311296209692955,0.3819742500782013,233,2.5,2.5,3.0,3.00095650424128,3.000999927520752,3.002000093460083,3.000434751095979,3.0,3.000999927520752,0.6721017788285795,0.033429994814745755,0.0,0.5,1.0,1.0,0.5052963495254517,0.4480418562889099,1.1808686256408691,1.0586806535720825,0.10042712092399597,0.8025751113891602,0.7500622272491455,0.75,0.19742488861083984,8,0.0,0.0,0.75
