config_id,source_type,rerun_config_id,source_config_id,source_report,config_key,config_key_label,iteration,seed,rule_kl_coef,entropy_coef,lr,opponent_mode,update_epochs,value_coef,rank_coef,normalize_advantages,approx_kl,clip_fraction,entropy,rule_kl,rule_agreement,neural_delta_abs_mean,neural_delta_abs_max,top1_action_changed_rate,rank_pt,fourth_rate,learner_win_rate,learner_deal_in_rate,learner_call_rate,learner_riichi_rate,deal_in_rate,batch_size,episode_count,illegal_action_rate_fail_closed,fallback_rate_fail_closed,forced_terminal_missed_fail_closed,illegal_attempt_count,fallback_policy_count,forced_terminal_preempt_count,forced_terminal_missed_count,autopilot_terminal_count,learner_seat_step_count,learner_controlled_step_count,rulebase_fallback_count,rulebase_chosen_missing_count,rulebase_chosen_not_found_count,rulebase_batch_unsupported_count,pre_update_advantage_mean,pre_update_advantage_std,pre_update_advantage_min,pre_update_advantage_max,pre_update_return_mean,pre_update_return_std,pre_update_return_min,pre_update_return_max,pre_update_selected_non_top1_positive_advantage_count,pre_update_mean_delta_needed_to_flip_top1,pre_update_actor_grad_norm,pre_update_policy_mlp_final_grad_norm,diagnostic_seed_registry_id,diagnostic_seed_hash,actual_update_probe_lr,actual_update_probe_update_epochs,actual_update_probe_post_update_kl_vs_old,actual_update_probe_top1_changed_rate,actual_update_probe_neural_delta_abs_max,actual_update_probe_ratio_std,actual_update_probe_clip_fraction,standard_probe_lr3e_4_epoch1_lr,standard_probe_lr3e_4_epoch1_update_epochs,standard_probe_lr3e_4_epoch1_post_update_kl_vs_old,standard_probe_lr3e_4_epoch1_top1_changed_rate,standard_probe_lr3e_4_epoch1_neural_delta_abs_max,standard_probe_lr3e_4_epoch1_ratio_std,standard_probe_lr3e_4_epoch1_clip_fraction,post_update_advantage_mean,post_update_advantage_std,post_update_advantage_min,post_update_advantage_max,post_update_return_mean,post_update_return_std,post_update_return_min,post_update_return_max,post_update_selected_non_top1_positive_advantage_count,post_update_mean_delta_needed_to_flip_top1,post_update_actor_grad_norm,post_update_policy_mlp_final_grad_norm,post_update_kl_vs_old,post_update_ratio_mean,post_update_ratio_std,post_update_clip_fraction,post_update_top1_action_changed_rate,post_update_rule_agreement,advantage_mean,advantage_std,advantage_min,advantage_max,return_mean,return_std,return_min,return_max,selected_non_top1_positive_advantage_count,mean_delta_needed_to_flip_top1,actor_grad_norm_total,policy_mlp_final_grad_norm,pre_update_probe_top1_changed_rate,illegal_action_rate,fallback_rate,forced_terminal_missed
0,retrained_config,0,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,"{""entropy_coef"":0.0,""lr"":0.0003,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0/lr=0.0003,0,20260425,0.0,0.0,0.0003,rulebase,1,0.5,0.05,True,0.0643683671951294,0.7423529028892517,1.4263931512832642,1.0694694019264261e-09,0.9999999403953552,0.00037365543539635837,0.0007908265106379986,0.0,0.34375,0.1875,0.0625,0.0625,0.0,0.0,0.0625,850,16,0.0,0.0,0,,,10,0,10,847,219,0,0,0,0,0.0014970565680414438,0.6940035223960876,-1.5553756952285767,1.0385122299194336,-0.0021693578455597162,0.6912249326705933,-1.5,1.0,58,3.0005481243133545,0.0014923311936181685,0.0014923311935995697,base=202604250000:stride=1:count=16,0f42628c88353290,0.0003,1,0.06436578184366226,0.0,0.0007810620591044426,0.15029458701610565,0.7423529028892517,0.0003,1,0.06436578184366226,0.0,0.0007810620591044426,0.15029458701610565,0.7423529028892517,0.0014970565680414438,0.6940035223960876,-1.5553756952285767,1.0385122299194336,-0.0021693578455597162,0.6912249326705933,-1.5,1.0,58,3.0005481243133545,0.001498473180843441,0.0014984024821001404,0.06436575949192047,0.7489310503005981,0.15029455721378326,0.7423529028892517,0.0,0.9999999403953552,0.0014970565680414438,0.6940035223960876,-1.5553756952285767,1.0385122299194336,-0.0021693578455597162,0.6912249326705933,-1.5,1.0,58,3.0005481243133545,0.0014923311936181685,0.0014923311935995697,0.0,0.0,0.0,0
0,retrained_config,0,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,"{""entropy_coef"":0.0,""lr"":0.0003,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0/lr=0.0003,1,20270425,0.0,0.0,0.0003,rulebase,1,0.5,0.05,True,0.06098170205950737,0.7416666746139526,1.3905014991760254,-1.591953346924413e-09,1.0,0.000723525823559612,0.0014399152714759111,0.0,0.25,0.25,0.125,0.0625,0.0,0.0,0.0625,840,16,0.0,0.0,0,,,10,0,10,837,217,0,0,0,0,-0.0026628903578966856,0.6985982656478882,-1.5733131170272827,1.0714508295059204,-0.0012019203277304769,0.6981331706047058,-1.5,1.0,59,3.0006511211395264,0.0019419033788173371,0.0019418120574127417,base=202604250000:stride=1:count=16,0f42628c88353290,0.0003,1,0.0609796904027462,0.0,0.0014078330714255571,0.14759604632854462,0.7416666746139526,0.0003,1,0.0609796904027462,0.0,0.001407833187840879,0.14759604632854462,0.7416666746139526,-0.0026628903578966856,0.6985982656478882,-1.5733131170272827,1.0714508295059204,-0.0012019203277304769,0.6981331706047058,-1.5,1.0,59,3.0006511211395264,0.0019402997103784884,0.0019400799395858145,0.06097964569926262,0.7549648880958557,0.1475955694913864,0.7416666746139526,0.0,1.0,-0.0026628903578966856,0.6985982656478882,-1.5733131170272827,1.0714508295059204,-0.0012019203277304769,0.6981331706047058,-1.5,1.0,59,3.0006511211395264,0.0019419033788173371,0.0019418120574127417,0.0,0.0,0.0,0
0,retrained_config,0,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,"{""entropy_coef"":0.0,""lr"":0.0003,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0/lr=0.0003,2,20280425,0.0,0.0,0.0003,rulebase,1,0.5,0.05,True,0.06179623678326607,0.7430167198181152,1.4177998304367065,-3.0276587903443897e-09,1.0,0.0010333285899832845,0.0019601923413574696,0.0,0.3125,0.1875,0.0625,0.125,0.0,0.0,0.125,895,16,0.0,0.0,0,,,11,0,11,893,230,0,0,0,0,-0.00798466894775629,0.6894468069076538,-1.5462327003479004,1.0199590921401978,0.002264253096655011,0.6922765374183655,-1.5,1.0,65,3.000575304031372,0.0014986625733628277,0.0014984721310047507,base=202604250000:stride=1:count=16,0f42628c88353290,0.0003,1,0.06179404631257057,0.0,0.001676364103332162,0.14764441549777985,0.7430167198181152,0.0003,1,0.06179404631257057,0.0,0.001676364103332162,0.14764441549777985,0.7430167198181152,-0.00798466894775629,0.6894468069076538,-1.5462327003479004,1.0199590921401978,0.002264253096655011,0.6922765374183655,-1.5,1.0,65,3.000575304031372,0.0015218475280766633,0.0015215095905398495,0.06179433315992355,0.7528678178787231,0.14764361083507538,0.7430167198181152,0.0,1.0,-0.00798466894775629,0.6894468069076538,-1.5462327003479004,1.0199590921401978,0.002264253096655011,0.6922765374183655,-1.5,1.0,65,3.000575304031372,0.0014986625733628277,0.0014984721310047507,0.0,0.0,0.0,0
0,retrained_config,0,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,"{""entropy_coef"":0.0,""lr"":0.0003,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0/lr=0.0003,3,20290425,0.0,0.0,0.0003,rulebase,1,0.5,0.05,True,0.06131746992468834,0.7418967485427856,1.4007244110107422,3.7352525517064805e-09,0.9999999403953552,0.0013643561396747828,0.0024795481003820896,0.0,-0.28125,0.4375,0.0,0.125,0.0,0.0,0.125,833,16,0.0,0.0,0,,,13,0,13,830,215,0,0,0,0,-0.01689162664115429,0.7116698622703552,-1.5781259536743164,1.025675654411316,-0.002188189886510372,0.7064186930656433,-1.5,1.0,51,3.0006792545318604,0.002034899100637739,0.002034540275430465,base=202604250000:stride=1:count=16,0f42628c88353290,0.0003,1,0.06131695210933685,0.0,0.0020283975172787905,0.14753159880638123,0.7418967485427856,0.0003,1,0.06131695210933685,0.0,0.002028397750109434,0.14753159880638123,0.7418967485427856,-0.01689162664115429,0.7116698622703552,-1.5781259536743164,1.025675654411316,-0.002188189886510372,0.7064186930656433,-1.5,1.0,51,3.0006792545318604,0.002051955065954779,0.0020514396869263977,0.06131602078676224,0.7539603114128113,0.1475294977426529,0.7418967485427856,0.0,0.9999999403953552,-0.01689162664115429,0.7116698622703552,-1.5781259536743164,1.025675654411316,-0.002188189886510372,0.7064186930656433,-1.5,1.0,51,3.0006792545318604,0.002034899100637739,0.002034540275430465,0.0,0.0,0.0,0
0,retrained_config,0,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,"{""entropy_coef"":0.0,""lr"":0.0003,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0/lr=0.0003,4,20300425,0.0,0.0,0.0003,rulebase,1,0.5,0.05,True,0.06367145478725433,0.7430911064147949,1.4251450300216675,2.7454498674472916e-09,1.0,0.0015843607252463698,0.0030151393730193377,0.0,0.40625,0.1875,0.0625,0.0,0.0,0.0,0.0,977,16,0.0,0.0,0,,,8,0,8,975,251,0,0,0,0,-0.010681448504328728,0.6722058653831482,-1.5945311784744263,1.0050779581069946,0.006336829159408808,0.6804584860801697,-1.5,1.0,64,3.000504493713379,0.0020549796792393516,0.0020544148102163273,base=202604250000:stride=1:count=16,0f42628c88353290,0.0003,1,0.06366840749979019,0.0,0.002974049188196659,0.1492220163345337,0.7430911064147949,0.0003,1,0.06366840749979019,0.0,0.002974049188196659,0.1492220163345337,0.7430911064147949,-0.010681448504328728,0.6722058653831482,-1.5945311784744263,1.0050779581069946,0.006336829159408808,0.6804584860801697,-1.5,1.0,64,3.000504493713379,0.0021056066386148375,0.0021047819021408494,0.06366940587759018,0.7496160268783569,0.14922356605529785,0.7430911064147949,0.0,1.0,-0.010681448504328728,0.6722058653831482,-1.5945311784744263,1.0050779581069946,0.006336829159408808,0.6804584860801697,-1.5,1.0,64,3.000504493713379,0.0020549796792393516,0.0020544148102163273,0.0,0.0,0.0,0
1,retrained_config,1,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,"{""entropy_coef"":0.0,""lr"":0.001,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0/lr=0.001,0,20360425,0.0,0.0,0.001,rulebase,1,0.5,0.05,True,0.06313390284776688,0.7410358786582947,1.4278274774551392,-4.397632924479922e-09,1.0,0.00024894304806366563,0.0014223302714526653,0.0,-0.09375,0.375,0.0625,0.25,0.0,0.0,0.25,753,16,0.0,0.0,0,,,12,0,12,752,195,0,0,0,0,0.0505245067179203,0.7220045328140259,-1.5,1.3065931797027588,-0.023422282189130783,0.7177560329437256,-1.5,1.0,44,3.000593662261963,0.0032576961869999616,0.0032576961869992876,base=202604250000:stride=1:count=16,0f42628c88353290,0.001,1,0.0631161704659462,0.0,0.001576421782374382,0.14925521612167358,0.7410358786582947,0.0003,1,0.06312856823205948,0.0,0.0004729265929199755,0.14926208555698395,0.7410358786582947,0.0505245067179203,0.7220045328140259,-1.5,1.3065931797027588,-0.023422282189130783,0.7177560329437256,-1.5,1.0,44,3.000593662261963,0.0031443661625626886,0.003142996883482732,0.06311701238155365,0.7509350776672363,0.14925581216812134,0.7410358786582947,0.0,1.0,0.0505245067179203,0.7220045328140259,-1.5,1.3065931797027588,-0.023422282189130783,0.7177560329437256,-1.5,1.0,44,3.000593662261963,0.0032576961869999616,0.0032576961869992876,0.0,0.0,0.0,0
1,retrained_config,1,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,"{""entropy_coef"":0.0,""lr"":0.001,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0/lr=0.001,1,20370425,0.0,0.0,0.001,rulebase,1,0.5,0.05,True,0.06215774267911911,0.7409440279006958,1.4013758897781372,2.830616274707154e-08,1.0,0.0004257274267729372,0.002283640205860138,0.0,0.09375,0.3125,0.0,0.0,0.0,0.0,0.0,911,16,0.0,0.0,0,,,9,0,9,908,236,0,0,0,0,0.029752662405371666,0.6967552900314331,-1.5,1.188254952430725,-0.014996632002294064,0.6852916479110718,-1.5,1.0,63,3.0005970001220703,0.0015001013354118593,0.0014993110776693396,base=202604250000:stride=1:count=16,0f42628c88353290,0.001,1,0.06213545799255371,0.0,0.0023116846568882465,0.14870022237300873,0.7409440279006958,0.0003,1,0.06215163692831993,0.0,0.0015527841169387102,0.1487109214067459,0.7409440279006958,0.029752662405371666,0.6967552900314331,-1.5,1.188254952430725,-0.014996632002294064,0.6852916479110718,-1.5,1.0,63,3.0005970001220703,0.001693814455721716,0.0016912087758723998,0.062141939997673035,0.7530003786087036,0.1487080454826355,0.7409440279006958,0.0,1.0,0.029752662405371666,0.6967552900314331,-1.5,1.188254952430725,-0.014996632002294064,0.6852916479110718,-1.5,1.0,63,3.0005970001220703,0.0015001013354118593,0.0014993110776693396,0.0,0.0,0.0,0
1,retrained_config,1,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,"{""entropy_coef"":0.0,""lr"":0.001,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0/lr=0.001,2,20380425,0.0,0.0,0.001,rulebase,1,0.5,0.05,True,0.05808107554912567,0.7412883043289185,1.3782628774642944,8.94442777621407e-08,1.0,0.0006335194921121001,0.004000875633209944,0.0,0.375,0.1875,0.0,0.125,0.0,0.0,0.125,947,16,0.0,0.0,0,,,8,0,8,943,245,0,0,0,0,0.015014026314020157,0.6913202404975891,-1.5,1.143068552017212,-0.006643148139119148,0.6792513132095337,-1.5,1.0,67,3.000556707382202,0.004059572079454125,0.0040554560468868735,base=202604250000:stride=1:count=16,0f42628c88353290,0.001,1,0.05804930999875069,0.0,0.003897464368492365,0.14475806057453156,0.7412883043289185,0.0003,1,0.05807233229279518,0.0,0.0028450414538383484,0.1447673887014389,0.7412883043289185,0.015014026314020157,0.6913202404975891,-1.5,1.143068552017212,-0.006643148139119148,0.6792513132095337,-1.5,1.0,67,3.000556707382202,0.004465704835312026,0.0044574570237230545,0.05805833265185356,0.7598424553871155,0.14476098120212555,0.7412883043289185,0.0,1.0,0.015014026314020157,0.6913202404975891,-1.5,1.143068552017212,-0.006643148139119148,0.6792513132095337,-1.5,1.0,67,3.000556707382202,0.004059572079454125,0.0040554560468868735,0.0,0.0,0.0,0
1,retrained_config,1,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,"{""entropy_coef"":0.0,""lr"":0.001,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0/lr=0.001,3,20390425,0.0,0.0,0.001,rulebase,1,0.5,0.05,True,0.062325481325387955,0.7426778078079224,1.4082562923431396,2.16981717926501e-07,1.0,0.0009038365678861737,0.0066257044672966,0.0,0.53125,0.125,0.0625,0.0625,0.0,0.0,0.0625,956,16,0.0,0.0,0,,,8,0,8,954,246,0,0,0,0,0.001893089385703206,0.6821709871292114,-1.5072672367095947,1.0644856691360474,0.0015690935542806983,0.681016743183136,-1.5,1.0,65,3.0005199909210205,0.0047187723818796394,0.004709503333539108,base=202604250000:stride=1:count=16,0f42628c88353290,0.001,1,0.062284357845783234,0.0,0.007480640430003405,0.14822620153427124,0.7426778078079224,0.0003,1,0.06231436878442764,0.0,0.005358789581805468,0.14824043214321136,0.7426778078079224,0.001893089385703206,0.6821709871292114,-1.5072672367095947,1.0644856691360474,0.0015690935542806983,0.681016743183136,-1.5,1.0,65,3.0005199909210205,0.00522157538019831,0.005205198800081935,0.062296751886606216,0.7521424889564514,0.14822925627231598,0.7426778078079224,0.0,1.0,0.001893089385703206,0.6821709871292114,-1.5072672367095947,1.0644856691360474,0.0015690935542806983,0.681016743183136,-1.5,1.0,65,3.0005199909210205,0.0047187723818796394,0.004709503333539108,0.0,0.0,0.0,0
1,retrained_config,1,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,"{""entropy_coef"":0.0,""lr"":0.001,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.0}",rulebase/rule_kl=0/entropy=0/lr=0.001,4,20400425,0.0,0.0,0.001,rulebase,1,0.5,0.05,True,0.06264417618513107,0.7417218685150146,1.4159640073776245,4.652661687032378e-07,1.0,0.0011637179413810372,0.007440382614731789,0.0,-0.375,0.5,0.0625,0.1875,0.0,0.0,0.1875,906,16,0.0,0.0,0,,,13,0,13,904,234,0,0,0,0,-0.019951114431023598,0.7029132843017578,-1.590338110923767,1.0,0.00014248273510020226,0.6948103308677673,-1.5,1.0,42,3.00057053565979,0.002805445541970196,0.0027897221727350833,base=202604250000:stride=1:count=16,0f42628c88353290,0.001,1,0.06260889023542404,0.0,0.007336236536502838,0.1490829885005951,0.7417218685150146,0.0003,1,0.0626344159245491,0.0,0.00610224436968565,0.14911720156669617,0.7417218685150146,-0.019951114431023598,0.7029132843017578,-1.590338110923767,1.0,0.00014248273510020226,0.6948103308677673,-1.5,1.0,42,3.00057053565979,0.0030327679875737494,0.0030081131439623774,0.0626136064529419,0.7522339224815369,0.14908337593078613,0.7417218685150146,0.0,1.0,-0.019951114431023598,0.7029132843017578,-1.590338110923767,1.0,0.00014248273510020226,0.6948103308677673,-1.5,1.0,42,3.00057053565979,0.002805445541970196,0.0027897221727350833,0.0,0.0,0.0,0
