normalize_advantages,lr,target_update_epochs,actor_only,entropy_coef,epoch,total_loss,policy_loss,actor_grad_norm_total,policy_mlp_final_grad_norm,neural_delta_abs_mean,neural_delta_abs_max,top1_action_changed_rate
True,0.0003,16,True,0.0,1,2.473863336405202e-09,2.473863336405202e-09,0.003027463543368732,0.0030274622119137455,0.00023886891722213477,0.0007159393280744553,0.0
True,0.0003,16,True,0.0,2,-3.833869868685724e-06,-3.833869868685724e-06,0.0028810632361279255,0.0028808518549550233,0.0006906621856614947,0.001726718619465828,0.0
True,0.0003,16,True,0.0,3,-8.478857125737704e-06,-8.478857125737704e-06,0.0031469499296368783,0.003146106815278813,0.0011537076206877828,0.002803922863677144,0.0
True,0.0003,16,True,0.0,4,-1.4251462744141463e-05,-1.4251462744141463e-05,0.0034902303813460415,0.0034883438084017193,0.001628255588002503,0.003955644555389881,0.0
True,0.0003,16,True,0.0,5,-2.1301200831658207e-05,-2.1301200831658207e-05,0.0038820933046731123,0.003878743164346869,0.002146640792489052,0.0052228267304599285,0.0
True,0.0003,16,True,0.0,6,-2.9753155104117468e-05,-2.9753155104117468e-05,0.0043152524649138135,0.0043099672972393265,0.002710933331400156,0.006615800783038139,0.0
True,0.0003,16,True,0.0,7,-3.980554174631834e-05,-3.980554174631834e-05,0.004790381335806966,0.004782635335847985,0.003316574962809682,0.008142534643411636,0.0
True,0.0003,16,True,0.0,8,-5.1626437198137864e-05,-5.1626437198137864e-05,0.00530549134843291,0.005294740715026938,0.004028882831335068,0.009885587729513645,0.0
True,0.0003,16,True,0.0,9,-6.538173329317942e-05,-6.538173329317942e-05,0.005861857770135152,0.0058473174886361215,0.004801997449249029,0.011828995309770107,0.0
True,0.0003,16,True,0.0,10,-8.132516813930124e-05,-8.132516813930124e-05,0.006463201550636061,0.006444107413973043,0.005646168254315853,0.01399210188537836,0.0
True,0.0003,16,True,0.0,11,-9.974277054425329e-05,-9.974277054425329e-05,0.0071134983756065365,0.0070888735958626915,0.0066053178161382675,0.016433045268058777,0.0
True,0.0003,16,True,0.0,12,-0.00012091393728042021,-0.00012091393728042021,0.007818478053030866,0.007787189424568322,0.007647600956261158,0.019148143008351326,0.0
True,0.0003,16,True,0.0,13,-0.0001452241267543286,-0.0001452241267543286,0.008583811476709845,0.008544444172993958,0.008804862387478352,0.022196941077709198,0.0
True,0.0003,16,True,0.0,14,-0.0001730402436805889,-0.0001730402436805889,0.009412406353042352,0.009363668067028525,0.010099020786583424,0.025631310418248177,0.0
True,0.0003,16,True,0.0,15,-0.00020477712678257376,-0.00020477712678257376,0.010309706969552659,0.010249744788473883,0.011554780416190624,0.02949404902756214,0.0
True,0.0003,16,True,0.0,16,-0.00024090666556730866,-0.00024090666556730866,0.011280689648758257,0.011207324129602562,0.01317551825195551,0.03381188213825226,0.0
True,0.0003,16,True,0.001,1,-0.0014254468260332942,2.473863336405202e-09,0.0030192390269380993,0.0030192376975443198,0.0003246275009587407,0.0008026549476198852,0.0
True,0.0003,16,True,0.001,2,-0.001429269788786769,-3.834797553281533e-06,0.002873049117806626,0.0028728381014777034,0.0008222898468375206,0.0018583225319162011,0.0
True,0.0003,16,True,0.001,3,-0.001433900324627757,-8.481021723127924e-06,0.0031382049686478493,0.0031373641330999513,0.0013612880138680339,0.003011909546330571,0.0
True,0.0003,16,True,0.001,4,-0.001439658342860639,-1.4256255781219807e-05,0.003480745532727727,0.003478865087399837,0.0019354422111064196,0.004264454822987318,0.0
True,0.0003,16,True,0.001,5,-0.0014466720167547464,-2.1290068616508506e-05,0.0038717908654256816,0.0038684525275482257,0.002554865786805749,0.005634133704006672,0.0
True,0.0003,16,True,0.001,6,-0.0014551018830388784,-2.9742950573563576e-05,0.004304046669490835,0.004298781527739943,0.003215073375031352,0.007124545052647591,0.0
True,0.0003,16,True,0.001,7,-0.001465119537897408,-3.978698805440217e-05,0.004778185107816781,0.0047704674882926915,0.0039336299523711205,0.00876577664166689,0.0
True,0.0003,16,True,0.001,8,-0.0014768916880711913,-5.158932617632672e-05,0.00529226047025424,0.005281545659495384,0.004715607035905123,0.010580003261566162,0.0
True,0.0003,16,True,0.001,9,-0.00149062043055892,-6.535236025229096e-05,0.005847455607827239,0.005832978983379467,0.005543628707528114,0.012580596841871738,0.0
True,0.0003,16,True,0.001,10,-0.0015065164770931005,-8.128712943289429e-05,0.006447534047827182,0.006428508828689879,0.00645717466250062,0.01481453888118267,0.0
True,0.0003,16,True,0.001,11,-0.0015248735435307026,-9.968803351512179e-05,0.007096400210007514,0.0070718736219262555,0.007474088575690985,0.017314810305833817,0.0
True,0.0003,16,True,0.001,12,-0.0015459824353456497,-0.00012084636546205729,0.007799994323322049,0.0077687909011246534,0.008596878498792648,0.020111439749598503,0.0
True,0.0003,16,True,0.001,13,-0.00157022918574512,-0.00014514898066408932,0.008564033843192907,0.008524826807864806,0.00982790905982256,0.02323463000357151,0.0
True,0.0003,16,True,0.001,14,-0.001597963273525238,-0.00017294577264692634,0.009391115024751961,0.009342545237529967,0.011192511767148972,0.026739103719592094,0.0
True,0.0003,16,True,0.001,15,-0.0016296119429171085,-0.00020466519345063716,0.01028683874073924,0.010227076733497735,0.012705553323030472,0.030658749863505363,0.0
True,0.0003,16,True,0.001,16,-0.0016656595980748534,-0.00024079224385786802,0.011255735403795318,0.011182672961026586,0.014362441375851631,0.03501138463616371,0.0
True,0.0003,16,False,0.0,1,0.19657835364341736,2.473863336405202e-09,0.0666782275817958,0.0030274622119137455,0.00022335027460940182,0.0006874539540149271,0.0
True,0.0003,16,False,0.0,2,0.19534260034561157,-3.922928954125382e-06,0.05286608875811296,0.0029709945944511387,0.000679380027577281,0.0016432771226391196,0.0
True,0.0003,16,False,0.0,3,0.19436612725257874,-8.241057003033347e-06,0.04941487433148022,0.0030921267244102993,0.001118607702665031,0.002586276037618518,0.0
True,0.0003,16,False,0.0,4,0.1934838593006134,-1.3055813724349719e-05,0.05079189423730467,0.003230168539131039,0.0015553174307569861,0.0035448335111141205,0.0
True,0.0003,16,False,0.0,5,0.19258517026901245,-1.8408325558993965e-05,0.05257049895111791,0.0033758919098169616,0.00200746045447886,0.004546255338937044,0.0
True,0.0003,16,False,0.0,6,0.1916368305683136,-2.433013651170768e-05,0.05266020693022826,0.003528920107115484,0.002474995795637369,0.005593167617917061,0.0
True,0.0003,16,False,0.0,7,0.1906552016735077,-3.08595881506335e-05,0.05235118200118238,0.003688746055277251,0.0029561014380306005,0.00668662553653121,0.0
True,0.0003,16,False,0.0,8,0.18965193629264832,-3.8051421142881736e-05,0.05276123223078336,0.003856041261693872,0.0034811883233487606,0.007859398610889912,0.0
True,0.0003,16,False,0.0,9,0.18862812221050262,-4.595603240886703e-05,0.05400292233922134,0.004032484840584344,0.004037274047732353,0.009120278060436249,0.0
True,0.0003,16,False,0.0,10,0.18758490681648254,-5.4694333812221885e-05,0.056589911321350175,0.004221896272124992,0.004613796714693308,0.010485820472240448,0.0
