actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,advantage_mean,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,count,delta_clip,delta_clip_coef,delta_l2_coef,delta_support_margin_threshold,delta_support_mode,delta_support_topk,entropy_coef,iteration,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,negative_advantage_count,opponent_mode,outside_support_delta_mode,pilot_config_id,positive_advantage_count,ratio_mode,rerun_config_id,return_mean,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_prior_rank,source_config_id,terminal_reward_mean,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold,zero_advantage_count
0.75,all,3,0.1416875533759594,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,16,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,6,rulebase,zero,0,10,tempered_current_logits,0,-0.1528770923614502,0.001,0.25,keqingrl_rule_score_scale_v1,11,93,-0.03125,8,0.0,0.75,0
0.75,all,3,0.12842856533825397,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,16,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,6,rulebase,zero,0,10,tempered_current_logits,0,-0.11789934383705258,0.001,0.25,keqingrl_rule_score_scale_v1,12,93,-0.09375,8,0.0,0.75,0
0.75,all,3,0.2082202322781086,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,8,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,3,rulebase,zero,0,5,tempered_current_logits,0,-0.09373815357685089,0.001,0.25,keqingrl_rule_score_scale_v1,13,93,-0.125,8,0.0,0.75,0
0.75,all,3,0.8364853858947754,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,1,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,0,rulebase,zero,0,1,tempered_current_logits,0,0.5585600137710571,0.001,0.25,keqingrl_rule_score_scale_v1,14,93,1.0,8,0.0,0.75,0
0.75,all,3,1.0858250533954965,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,45,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,7,rulebase,zero,0,38,tempered_current_logits,0,-0.6490020222134061,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,-0.1111111111111111,8,0.0,0.75,0
0.75,all,3,1.2923953462053428,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,22,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,3,rulebase,zero,0,19,tempered_current_logits,0,-0.5500244958834215,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,0.0,8,0.0,0.75,0
0.75,all,3,1.292068442526775,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,26,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,6,rulebase,zero,0,20,tempered_current_logits,0,-0.5280969280462998,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,-0.057692307692307696,8,0.0,0.75,0
0.75,all,3,1.0400564640083096,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,11,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,1,rulebase,zero,0,10,tempered_current_logits,0,-0.5533124669031664,0.001,0.25,keqingrl_rule_score_scale_v1,4,93,0.09090909090909091,8,0.0,0.75,0
0.75,all,3,1.1662183820456267,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,25,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,5,rulebase,zero,0,20,tempered_current_logits,0,-0.46661834955215453,0.001,0.25,keqingrl_rule_score_scale_v1,5,93,0.04,8,0.0,0.75,0
0.75,all,3,0.7298120435546426,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,17,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,1,rulebase,zero,0,16,tempered_current_logits,0,-0.9592050419134253,0.001,0.25,keqingrl_rule_score_scale_v1,6,93,-0.2647058823529412,8,0.0,0.75,0
0.75,all,3,1.0438516665907467,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,17,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,3,rulebase,zero,0,14,tempered_current_logits,0,-0.7107835306840784,0.001,0.25,keqingrl_rule_score_scale_v1,7,93,-0.20588235294117646,8,0.0,0.75,0
0.75,all,3,0.5157125326139587,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,14,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,4,rulebase,zero,0,10,tempered_current_logits,0,-1.0469950011798315,0.001,0.25,keqingrl_rule_score_scale_v1,8,93,-0.5,8,0.0,0.75,0
0.75,all,3,1.2080758528576956,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,18,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,2,rulebase,zero,0,16,tempered_current_logits,0,-0.5386631422572665,0.001,0.25,keqingrl_rule_score_scale_v1,9,93,0.1388888888888889,8,0.0,0.75,0
0.75,all,3,1.0127049032598734,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,14,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,1,rulebase,zero,0,13,tempered_current_logits,0,-0.5884338191577366,0.001,0.25,keqingrl_rule_score_scale_v1,10,93,0.17857142857142858,8,0.0,0.75,0
0.75,all,3,1.4214645028114319,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,14,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,1,rulebase,zero,0,13,tempered_current_logits,0,-0.3341423571109772,0.001,0.25,keqingrl_rule_score_scale_v1,11,93,0.5,8,0.0,0.75,0
0.75,all,3,1.235331717464659,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,9,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,2,rulebase,zero,0,7,tempered_current_logits,0,-0.3312082688013713,0.001,0.25,keqingrl_rule_score_scale_v1,12,93,0.3333333333333333,8,0.0,0.75,0
0.75,all,3,1.2249404873166765,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,7,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,0,rulebase,zero,0,7,tempered_current_logits,0,-0.5320921199662345,0.001,0.25,keqingrl_rule_score_scale_v1,13,93,0.14285714285714285,8,0.0,0.75,0
0.75,all,3,-0.4601547569036484,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,2,0.0,0.0,0.0,0.75,all,3,0.01,1,0.0,3,0.003,1,rulebase,zero,0,1,tempered_current_logits,0,-1.5784559845924377,0.001,0.25,keqingrl_rule_score_scale_v1,14,93,-1.5,8,0.0,0.75,0
0.75,all,3,1.0518231130007543,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,33,0.0,0.0,0.0,0.75,all,3,0.01,2,0.0,3,0.003,9,rulebase,zero,0,24,tempered_current_logits,0,-0.30959290898207464,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,0.2878787878787879,8,0.0,0.75,0
0.75,all,3,0.8804331166403634,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,21,0.0,0.0,0.0,0.75,all,3,0.01,2,0.0,3,0.003,7,rulebase,zero,0,14,tempered_current_logits,0,-0.486381600300471,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,0.023809523809523808,8,0.0,0.75,0
0.75,all,3,1.109694902226329,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,20,0.0,0.0,0.0,0.75,all,3,0.01,2,0.0,3,0.003,3,rulebase,zero,0,17,tempered_current_logits,0,-0.44652533531188965,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,0.05,8,0.0,0.75,0
0.75,all,3,1.2528038839499156,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,15,0.0,0.0,0.0,0.75,all,3,0.01,2,0.0,3,0.003,3,rulebase,zero,0,12,tempered_current_logits,0,-0.23319942951202394,0.001,0.25,keqingrl_rule_score_scale_v1,4,93,0.43333333333333335,8,0.0,0.75,0
0.75,all,3,1.7194332395281111,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,14,0.0,0.0,0.0,0.75,all,3,0.01,2,0.0,3,0.003,1,rulebase,zero,0,13,tempered_current_logits,0,0.18056777119636536,0.001,0.25,keqingrl_rule_score_scale_v1,5,93,0.75,8,0.0,0.75,0
0.75,all,3,0.7723338399082422,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,18,0.0,0.0,0.0,0.75,all,3,0.01,2,0.0,3,0.003,5,rulebase,zero,0,13,tempered_current_logits,0,-0.5741661522123549,0.001,0.25,keqingrl_rule_score_scale_v1,6,93,0.027777777777777776,8,0.0,0.75,0
0.75,all,3,1.0766871627420187,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,20,0.0,0.0,0.0,0.75,all,3,0.01,2,0.0,3,0.003,3,rulebase,zero,0,17,tempered_current_logits,0,-0.3254583939909935,0.001,0.25,keqingrl_rule_score_scale_v1,7,93,0.2,8,0.0,0.75,0
