actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,advantage_mean,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,count,delta_clip,delta_clip_coef,delta_l2_coef,delta_support_margin_threshold,delta_support_mode,delta_support_topk,entropy_coef,iteration,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,negative_advantage_count,opponent_mode,outside_support_delta_mode,pilot_config_id,positive_advantage_count,ratio_mode,rerun_config_id,return_mean,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_prior_rank,source_config_id,support_policy_mode,teacher_source,teacher_temperature,terminal_reward_mean,topk_ranking_aux_coef,topk_ranking_aux_mode,topk_ranking_k,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold,zero_advantage_count
0.75,all,3,0.16410246803875891,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,62,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,22,rulebase,zero,1,40,tempered_current_logits,0,-0.08638914013581891,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,rule-components,1.0,0.04032258064516129,0.01,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.1359699323773384,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,70,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,27,rulebase,zero,1,43,tempered_current_logits,0,-0.12794003539851734,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,support-only-topk,rule-components,1.0,0.02142857142857143,0.01,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.2962583494127581,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,95,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.003,47,rulebase,zero,1,48,tempered_current_logits,0,-0.5578880673176364,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,rule-components,1.0,-0.3684210526315789,0.01,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.3366140565666996,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,61,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.003,28,rulebase,zero,1,33,tempered_current_logits,0,-0.5288546129328305,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,rule-components,1.0,-0.29508196721311475,0.01,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.30566711878547304,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,65,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.003,33,rulebase,zero,1,32,tempered_current_logits,0,-0.5465918955894616,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,support-only-topk,rule-components,1.0,-0.36153846153846153,0.01,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.6879561078616084,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,106,0.0,0.0,0.0,0.75,topk,3,0.01,2,0.0,3,0.003,35,rulebase,zero,1,71,tempered_current_logits,0,-0.5137367636527655,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,rule-components,1.0,-0.08490566037735849,0.01,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.629854119518915,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,65,0.0,0.0,0.0,0.75,topk,3,0.01,2,0.0,3,0.003,28,rulebase,zero,1,37,tempered_current_logits,0,-0.6082601726055146,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,rule-components,1.0,-0.27692307692307694,0.01,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.509118459428902,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,54,0.0,0.0,0.0,0.75,topk,3,0.01,2,0.0,3,0.003,24,rulebase,zero,1,30,tempered_current_logits,0,-0.6118723650773367,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,support-only-topk,rule-components,1.0,-0.25,0.01,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.2802303546667099,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,100,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,24,rulebase,zero,2,76,tempered_current_logits,0,0.034284059554338456,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,rule-components,1.0,0.23,0.05,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.3753464154221795,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,55,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,10,rulebase,zero,2,45,tempered_current_logits,0,0.13755114430730994,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,rule-components,1.0,0.33636363636363636,0.05,teacher-ce,3,8,0.0,0.75,0
