config_id,iteration,seed,rule_kl_coef,entropy_coef,lr,approx_kl,clip_fraction,entropy,rule_kl,rule_agreement,neural_delta_abs_mean,neural_delta_abs_max,top1_action_changed_rate,rank_pt,fourth_rate,deal_in_rate,batch_size,episode_count,illegal_action_rate,fallback_rate,forced_terminal_missed
7,2,20980425,0.0,0.005,0.0001,1.3688085387375537e-11,0.0,1.3373514413833618,-2.485449068778678e-10,1.0,0.00020473130280151963,0.0005275777657516301,0.0,-0.25,0.5,0.0,29,2,0.0,0.0,0
8,0,21060425,0.0,0.005,0.0003,0.0,0.0,1.382883906364441,-7.652764644205945e-09,1.0,0.0001996087667066604,0.000450184044893831,0.0,-1.5,1.0,0.0,28,2,0.0,0.0,0
8,1,21070425,0.0,0.005,0.0003,3.708692034032346e-11,0.0,1.5711053609848022,-2.9423388170357612e-08,1.0,0.00028955191373825073,0.0007724851602688432,0.0,-0.5,0.5,0.0,25,2,0.0,0.0,0
8,2,21080425,0.0,0.005,0.0003,3.456469832574527e-11,0.0,1.4891453981399536,-5.3919970710580856e-09,1.0,0.0002895162033382803,0.0007852876442484558,0.0,-0.5,0.5,0.0,32,2,0.0,0.0,0
9,0,21160425,0.0,0.01,3e-05,0.0,0.0,1.4079087972640991,2.5043030760230067e-08,1.0,5.144503666087985e-05,9.931540989782661e-05,0.0,-0.5,0.5,0.0,24,2,0.0,0.0,0
9,1,21170425,0.0,0.01,3e-05,6.079417026218226e-13,0.0,1.445465326309204,-1.956183304230308e-08,1.0,6.149996625026688e-05,0.00013523836969397962,0.0,-1.5,1.0,0.0,27,2,0.0,0.0,0
9,2,21180425,0.0,0.01,3e-05,1.2054734380845256e-12,0.0,1.405948281288147,2.658406117461709e-08,1.0,7.230169285321608e-05,0.0001648134784772992,0.0,0.75,0.0,0.0,33,2,0.0,0.0,0
10,0,21260425,0.0,0.01,0.0001,0.0,0.0,1.4067190885543823,1.736301213917102e-09,1.0,2.9979557439219207e-05,0.00011040866957046092,0.0,1.0,0.0,0.0,36,2,0.0,0.0,0
10,1,21270425,0.0,0.01,0.0001,1.4081763099332845e-12,0.0,1.370076060295105,-1.8048906369472206e-08,1.0,4.754780820803717e-05,0.00018913950771093369,0.0,-1.5,1.0,0.0,29,2,0.0,0.0,0
10,2,21280425,0.0,0.01,0.0001,3.914658527892634e-12,0.0,1.4285800457000732,1.47069147971024e-08,1.0,0.00010743126040324569,0.00039524471503682435,0.0,-0.25,0.5,0.0,36,2,0.0,0.0,0
11,0,21360425,0.0,0.01,0.0003,0.0,0.0,1.3331025838851929,-4.392354213678118e-08,1.0,0.0005402030074037611,0.0012160302139818668,0.0,0.75,0.0,0.0,27,2,0.0,0.0,0
11,1,21370425,0.0,0.01,0.0003,3.225647526861053e-11,0.0,1.4424248933792114,-1.347356115566356e-09,1.0,0.0011324153747409582,0.0022198427468538284,0.0,-0.5,0.5,0.0,33,2,0.0,0.0,0
11,2,21380425,0.0,0.01,0.0003,5.036844274997065e-10,0.0,1.5630097389221191,-3.1904860975373595e-08,1.0,0.0016526073450222611,0.003482153872027993,0.0,-1.5,1.0,0.0,25,2,0.0,0.0,0
12,0,21460425,0.001,0.0,3e-05,0.0,0.0,1.4583797454833984,-2.9171853821452487e-09,1.0,3.567485327948816e-05,6.807575846323743e-05,0.0,-0.5,0.5,0.0,24,2,0.0,0.0,0
12,1,21470425,0.001,0.0,3e-05,1.8062276934543986e-12,0.0,1.3095611333847046,-3.675579174355903e-09,1.0,6.982890045037493e-05,0.00011388584243832156,0.0,-0.25,0.5,0.0,19,2,0.0,0.0,0
12,2,21480425,0.001,0.0,3e-05,8.335267697411053e-13,0.0,1.5877025127410889,-4.625346861075741e-08,1.0,9.410305210622028e-05,0.00014264596393331885,0.0,-0.25,0.5,0.0,31,2,0.0,0.0,0
13,0,21560425,0.001,0.0,0.0001,0.0,0.0,1.4091726541519165,-1.4634063405516429e-10,1.0,0.00020645299809984863,0.00033984624315053225,0.0,0.75,0.0,0.0,31,2,0.0,0.0,0
13,1,21570425,0.001,0.0,0.0001,1.5981179921076283e-11,0.0,1.5018230676651,-1.180183062388096e-09,1.0,0.0003784435975831002,0.0006723828846588731,0.0,-0.5,0.5,0.0,12,2,0.0,0.0,0
13,2,21580425,0.001,0.0,0.0001,5.752104695333493e-11,0.0,1.4033185243606567,-2.0581104820394103e-08,1.0,0.0004666801542043686,0.0009247239795513451,0.0,-0.5,0.5,0.0,25,2,0.0,0.0,0
14,0,21660425,0.001,0.0,0.0003,0.0,0.0,1.4273242950439453,-1.2137537197531856e-08,1.0,0.00011310079571558163,0.00034502032212913036,0.0,0.75,0.0,0.0,22,2,0.0,0.0,0
14,1,21670425,0.001,0.0,0.0003,3.096339504238266e-11,0.0,1.2749544382095337,-3.233617817954837e-08,1.0,0.0003260622324887663,0.0008870525634847581,0.0,0.75,0.0,0.0,27,2,0.0,0.0,0
14,2,21680425,0.001,0.0,0.0003,4.2861679483419124e-11,0.0,1.466827392578125,-1.240671232416446e-09,1.0,0.00038231341750361025,0.0009464790928177536,0.0,-0.5,0.5,0.0,25,2,0.0,0.0,0
15,0,21760425,0.001,0.001,3e-05,0.0,0.0,1.4977480173110962,2.8475332314314983e-08,1.0,6.12060830462724e-06,2.3411281290464103e-05,0.0,-0.5,0.5,0.0,24,2,0.0,0.0,0
15,1,21770425,0.001,0.001,3e-05,1.6715517587705814e-13,0.0,1.4494050741195679,-2.982662294925831e-08,1.0,3.5746012144954875e-05,8.785927639110014e-05,0.0,-0.5,0.5,0.0,25,2,0.0,0.0,0
15,2,21780425,0.001,0.001,3e-05,4.532882044976788e-13,0.0,1.4862844944000244,-8.02312882797196e-09,1.0,8.151507063303143e-05,0.00014071051555220038,0.0,-0.5,0.5,0.0,21,2,0.0,0.0,0
16,0,21860425,0.001,0.001,0.0001,0.0,0.0,1.4909111261367798,-3.1239896003398826e-08,1.0,4.5149510697228834e-05,0.00015276478370651603,0.0,-0.5,0.5,0.0,27,2,0.0,0.0,0
16,1,21870425,0.001,0.001,0.0001,1.6964207816272392e-12,0.0,1.441147804260254,-3.5013243859793874e-08,1.0,3.63924955308903e-05,0.00012291943130549043,0.0,-0.25,0.5,0.0,31,2,0.0,0.0,0
16,2,21880425,0.001,0.001,0.0001,5.157976476488635e-12,0.0,1.3337788581848145,-7.75522668305939e-09,1.0,8.493188943248242e-05,0.00023150102060753852,0.0,0.5,0.0,0.0,26,2,0.0,0.0,0
17,0,21960425,0.001,0.001,0.0003,0.0,0.0,1.2329509258270264,1.0409962669655215e-08,1.0,9.034526738105342e-05,0.00029128562891855836,0.0,1.0,0.0,0.0,36,2,0.0,0.0,0
17,1,21970425,0.001,0.001,0.0003,1.2371676599842729e-11,0.0,1.5574793815612793,6.31311314336358e-09,1.0,0.0004033533623442054,0.0009412460494786501,0.0,-1.5,1.0,0.0,26,2,0.0,0.0,0
17,2,21980425,0.001,0.001,0.0003,1.8064398935035975e-11,0.0,1.3859832286834717,-1.527670967504946e-08,1.0,0.0007499397033825517,0.0012540202587842941,0.0,-0.25,0.5,0.0,34,2,0.0,0.0,0
18,0,22060425,0.001,0.005,3e-05,0.0,0.0,1.4500832557678223,-5.961434679235822e-10,1.0,3.137370367767289e-05,7.017450116109103e-05,0.0,0.75,0.0,0.0,30,2,0.0,0.0,0
18,1,22070425,0.001,0.005,3e-05,1.465034961834616e-13,0.0,1.4496053457260132,6.915296026782647e-12,1.0,5.7611396186985075e-05,0.00011231044481974095,0.0,0.75,0.0,0.0,29,2,0.0,0.0,0
18,2,22080425,0.001,0.005,3e-05,9.428806476904916e-13,0.0,1.402048945426941,4.832884314964758e-09,1.0,9.236921323463321e-05,0.00018282129894942045,0.0,0.75,0.0,0.0,28,2,0.0,0.0,0
19,0,22160425,0.001,0.005,0.0001,0.0,0.0,1.368939995765686,2.337251814310548e-08,1.0,0.00010111464507644996,0.0002626794739626348,0.0,-0.25,0.5,0.0,31,2,0.0,0.0,0
19,1,22170425,0.001,0.005,0.0001,1.4280219368112412e-11,0.0,1.4296238422393799,6.8919927542765436e-09,1.0,0.00022133129823487252,0.0006025937618687749,0.0,1.0,0.0,0.0,36,2,0.0,0.0,0
19,2,22180425,0.001,0.005,0.0001,3.005181867243856e-11,0.0,1.5789614915847778,-1.9871924106240613e-09,1.0,0.00017166859470307827,0.0004983805119991302,0.0,-0.5,0.5,0.0,25,2,0.0,0.0,0
20,0,22260425,0.001,0.005,0.0003,0.0,0.0,1.4545416831970215,-1.68366764974337e-09,1.0,0.00022219237871468067,0.0006401338032446802,0.0,-0.25,0.5,0.0,33,2,0.0,0.0,0
20,1,22270425,0.001,0.005,0.0003,1.6176249575949875e-11,0.0,1.3467841148376465,5.859822849174634e-09,1.0,0.0003527164808474481,0.0010295300744473934,0.0,-1.5,1.0,0.0,31,2,0.0,0.0,0
20,2,22280425,0.001,0.005,0.0003,4.131056885459117e-10,0.0,1.3768036365509033,4.626502736471139e-09,1.0,0.0002760195638984442,0.000905665336176753,0.0,-1.5,1.0,0.0,27,2,0.0,0.0,0
