config_id,seed,rule_kl_coef,entropy_coef,lr,iterations,rollout_episodes,eval_episodes,approx_kl,clip_fraction,entropy,rule_kl,rule_agreement,neural_delta_abs_mean,neural_delta_abs_max,top1_action_changed_rate,train_rank_pt,train_fourth_rate,train_deal_in_rate,eval_rank_pt,eval_mean_rank,eval_fourth_rate,eval_deal_in_rate,eval_win_rate,illegal_action_rate,fallback_rate,forced_terminal_missed
11,21360425,0.0,0.01,0.0003,3,2,2,5.036844274997065e-10,0.0,1.5630097389221191,-3.1904860975373595e-08,1.0,0.0016526073450222611,0.003482153872027993,0.0,-1.5,1.0,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
12,21460425,0.001,0.0,3e-05,3,2,2,8.335267697411053e-13,0.0,1.5877025127410889,-4.625346861075741e-08,1.0,9.410305210622028e-05,0.00014264596393331885,0.0,-0.25,0.5,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
13,21560425,0.001,0.0,0.0001,3,2,2,5.752104695333493e-11,0.0,1.4033185243606567,-2.0581104820394103e-08,1.0,0.0004666801542043686,0.0009247239795513451,0.0,-0.5,0.5,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
14,21660425,0.001,0.0,0.0003,3,2,2,4.2861679483419124e-11,0.0,1.466827392578125,-1.240671232416446e-09,1.0,0.00038231341750361025,0.0009464790928177536,0.0,-0.5,0.5,0.0,0.75,1.5,0.0,0.0,0.5,0.0,0.0,0
15,21760425,0.001,0.001,3e-05,3,2,2,4.532882044976788e-13,0.0,1.4862844944000244,-8.02312882797196e-09,1.0,8.151507063303143e-05,0.00014071051555220038,0.0,-0.5,0.5,0.0,0.75,1.5,0.0,0.0,0.5,0.0,0.0,0
16,21860425,0.001,0.001,0.0001,3,2,2,5.157976476488635e-12,0.0,1.3337788581848145,-7.75522668305939e-09,1.0,8.493188943248242e-05,0.00023150102060753852,0.0,0.5,0.0,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
17,21960425,0.001,0.001,0.0003,3,2,2,1.8064398935035975e-11,0.0,1.3859832286834717,-1.527670967504946e-08,1.0,0.0007499397033825517,0.0012540202587842941,0.0,-0.25,0.5,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
18,22060425,0.001,0.005,3e-05,3,2,2,9.428806476904916e-13,0.0,1.402048945426941,4.832884314964758e-09,1.0,9.236921323463321e-05,0.00018282129894942045,0.0,0.75,0.0,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
19,22160425,0.001,0.005,0.0001,3,2,2,3.005181867243856e-11,0.0,1.5789614915847778,-1.9871924106240613e-09,1.0,0.00017166859470307827,0.0004983805119991302,0.0,-0.5,0.5,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0
20,22260425,0.001,0.005,0.0003,3,2,2,4.131056885459117e-10,0.0,1.3768036365509033,4.626502736471139e-09,1.0,0.0002760195638984442,0.000905665336176753,0.0,-1.5,1.0,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
21,22360425,0.001,0.01,3e-05,3,2,2,1.6211158934339998e-12,0.0,1.4841883182525635,-3.353462929567286e-08,1.0,3.057156573049724e-05,9.399563714396209e-05,0.0,-0.25,0.5,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,0
22,22460425,0.001,0.01,0.0001,3,2,2,5.281700857923122e-12,0.0,1.4737486839294434,-2.3971566065483785e-08,1.0,0.00047125539276748896,0.0005930962506681681,0.0,-1.5,1.0,0.0,0.75,1.5,0.0,0.0,0.5,0.0,0.0,0
23,22560425,0.001,0.01,0.0003,3,2,2,9.888899699106446e-10,0.0,1.4600143432617188,-3.702336659472394e-09,1.0,0.001568643725477159,0.003078668611124158,0.0,-0.5,0.5,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,0
24,22660425,0.01,0.0,3e-05,3,2,2,1.1470190032156213e-12,0.0,1.5243253707885742,-1.7459711898482055e-08,1.0,3.171806747559458e-05,0.00012863482697866857,0.0,0.75,0.0,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
25,22760425,0.01,0.0,0.0001,3,2,2,4.953679393765453e-12,0.0,1.5337144136428833,-1.7970535282074707e-08,1.0,0.00013684666191693395,0.0002712426648940891,0.0,1.0,0.0,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
26,22860425,0.01,0.0,0.0003,3,2,2,1.133148991305788e-10,0.0,1.526048183441162,-7.424461045957287e-09,1.0,0.001618867856450379,0.002211514860391617,0.0,0.75,0.0,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
27,22960425,0.01,0.001,3e-05,3,2,2,1.8094118868147713e-12,0.0,1.3990898132324219,-1.612130873240858e-08,1.0,4.080784856341779e-05,9.665190009400249e-05,0.0,-0.5,0.5,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0
28,23060425,0.01,0.001,0.0001,3,2,2,6.172201638676711e-11,0.0,1.482274055480957,4.102298944985705e-09,1.0,0.00037142966175451875,0.0007385070202872157,0.0,-1.5,1.0,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
29,23160425,0.01,0.001,0.0003,3,2,2,8.898258518907909e-11,0.0,1.4685771465301514,-6.864127044536872e-10,1.0,0.0008258278830908239,0.0014810439897701144,0.0,-1.5,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0
30,23260425,0.01,0.005,3e-05,3,2,2,4.1267401822142613e-13,0.0,1.4293664693832397,-2.0088547714181004e-08,1.0,2.3170534404926002e-05,7.01016397215426e-05,0.0,-0.25,0.5,0.0,0.75,1.5,0.0,0.0,0.5,0.0,0.0,0
31,23360425,0.01,0.005,0.0001,3,2,2,9.73164691192574e-12,0.0,1.340844750404358,-7.31166416301221e-09,1.0,0.00026123266434296966,0.0005507831228896976,0.0,-0.5,0.5,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0
32,23460425,0.01,0.005,0.0003,3,2,2,4.921356031029056e-11,0.0,1.2184592485427856,1.4990011010240778e-08,1.0,0.0004044717352371663,0.0007818618323653936,0.0,1.0,0.0,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,0
33,23560425,0.01,0.01,3e-05,3,2,2,3.2440001206113234e-13,0.0,1.3563646078109741,1.4031551920368202e-08,1.0,2.6060943127959035e-05,8.0645433627069e-05,0.0,-0.25,0.5,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
34,23660425,0.01,0.01,0.0001,3,2,2,3.8371896805833305e-12,0.0,1.564598560333252,-1.8153590630731742e-08,1.0,6.700730591546744e-05,0.0002171751402784139,0.0,-0.25,0.5,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
35,23760425,0.01,0.01,0.0003,3,2,2,6.120118301033983e-11,0.0,1.467685341835022,1.61249751329251e-08,1.0,0.0008800506475381553,0.001279474119655788,0.0,-0.25,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
36,23860425,0.02,0.0,3e-05,3,2,2,1.4323596562310081e-12,0.0,1.5385175943374634,-1.0654334303694668e-08,1.0,1.9767046978813596e-05,6.36338590993546e-05,0.0,0.75,0.0,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
37,23960425,0.02,0.0,0.0001,3,2,2,1.0925645804737982e-11,0.0,1.4421449899673462,1.136134741841488e-08,1.0,0.00038936949567869306,0.0006422980804927647,0.0,0.75,0.0,0.0,-1.5,4.0,1.0,0.0,0.0,0.0,0.0,0
