decision,step_id,actor,selected,legal_actions
0,0,0,打1p,打1p | 打1s | 打2m | 打5p | 打6m | 打7s | 打8m | 打9m | 打9s | 打中 | 打东 | 打白 | 打西
1,1,1,过,过
2,2,2,过,过
3,3,3,过,过
4,4,1,打中,打1m | 打1s | 打4m | 打4p | 打5m | 打5m | 打5s | 打6p | 打7m | 打9p | 打中 | 打发 | 打西
5,5,2,过,过
6,6,3,过,过
7,7,0,过,过
8,8,2,打发,打1p | 打1s | 打3s | 打4m | 打4p | 打4s | 打6m | 打6p | 打7m | 打7p | 打发 | 打白 | 打南
9,9,3,过,过
10,10,0,过,过
11,11,1,过,过
12,12,3,打南,打2m | 打2p | 打2s | 打3m | 打4m | 打6p | 打7s | 打8m | 打8p | 打9p | 打南 | 打西
13,13,0,过,过
14,14,1,过,过
15,15,2,过,过
16,16,0,打中,打1s | 打2m | 打2p | 打5p | 打6m | 打7s | 打8m | 打9m | 打9s | 打中 | 打东 | 打白 | 打西
17,17,1,过,过
18,18,2,过,过
19,19,3,过,过
20,20,1,打发,打1m | 打1s | 打4m | 打4p | 打5m | 打5m | 打5s | 打6p | 打7m | 打8s | 打9p | 打发 | 打西
21,21,2,过,过
22,22,3,过,过
23,23,0,过,过
24,24,2,打1p,打1p | 打1s | 打3s | 打4m | 打4p | 打4s | 打6m | 打6p | 打7m | 打7p | 打白 | 打南
25,25,3,过,过
26,26,0,过,过
27,27,1,过,过
28,28,3,打西,打2m | 打2p | 打2s | 打3m | 打4m | 打6p | 打7p | 打7s | 打8m | 打8p | 打9p | 打西
29,29,0,过,过
30,30,1,过,过
31,31,2,过,过
32,32,0,打西,打1s | 打2m | 打2p | 打5p | 打5s | 打6m | 打7s | 打8m | 打9m | 打9s | 打东 | 打白 | 打西
33,33,1,过,过
34,34,2,过,过
35,35,3,过,过
36,36,1,打1m,打1m | 打1s | 打4m | 打4p | 打5m | 打5m | 打5s | 打6p | 打6s | 打7m | 打8s | 打9p | 打西
37,37,2,过,过
38,38,3,过,过
39,39,0,过,过
40,40,2,打1s,打1s | 打3s | 打4m | 打4p | 打4s | 打6m | 打6p | 打7m | 打7p | 打发 | 打白 | 打南
41,41,3,过,过
42,42,0,过,过
43,43,1,过,过
44,44,3,打2p,打2m | 打2p | 打2s | 打3m | 打3s | 打4m | 打6p | 打7p | 打7s | 打8m | 打8p | 打9p
45,45,0,过,过
46,46,1,过,过
47,47,2,过,过
