decision,step_id,actor,selected,legal_actions
60,60,3,打3p,打2m | 打3p | 打3s | 打4p | 打5m | 打5p | 打5s | 打6p | 打7p | 打7s | 打9s | 打东 | 打白
61,61,0,过,过
62,62,1,过,过
63,63,2,过,过
64,64,0,打3s,打2p | 打3s | 打5m | 打5s | 打6s | 打8m | 打8s | 打9p | 打9s | 打北 | 打南 | 打西
65,65,1,过,过
66,66,2,过,过
67,67,3,过,过
68,68,1,打3s,打2p | 打3s | 打4s | 打6m | 打6s | 打7m | 打7s | 打8p | 打8s | 打9s | 打中 | 打白 | 打南
69,69,2,过,"CHI 3s consumed=[4s,5s] from P1 | 过"
70,70,3,过,过
71,71,0,过,过
72,72,2,打9m,打1p | 打3p | 打4m | 打4s | 打5m | 打5s | 打6m | 打6s | 打7p | 打7s | 打8s | 打9m
73,73,3,过,过
74,74,0,过,过
75,75,1,过,过
76,76,3,打3s,打2m | 打3s | 打4p | 打5m | 打5p | 打5s | 打6p | 打7p | 打7s | 打9s | 打东 | 打白
77,77,0,过,过
78,78,1,过,过
79,79,2,过,过
80,80,0,打2s,打2p | 打2s | 打5m | 打5s | 打6s | 打8m | 打8s | 打9p | 打9s | 打北 | 打南 | 打西
81,81,1,过,过
82,82,2,过,过
83,83,3,过,过
84,84,1,打中,打2p | 打4s | 打6m | 打6s | 打7m | 打7s | 打8p | 打8s | 打9s | 打中 | 打白 | 打南
85,85,2,过,过
86,86,3,过,过
87,87,0,过,过
88,88,2,打3p,打1p | 打3p | 打4m | 打4s | 打5m | 打5s | 打6m | 打6s | 打7p | 打7s | 打8s | 打白
89,89,3,过,"CHI 3p consumed=[4p,5p] from P2 | 过"
90,90,0,过,过
91,91,1,过,过
92,92,3,打2m,打1p | 打2m | 打4p | 打5m | 打5p | 打5s | 打6p | 打7p | 打7s | 打9s | 打东 | 打白
93,93,0,过,过
94,94,1,过,过
95,95,2,过,过
96,96,0,打4p,打2p | 打4p | 打5m | 打5s | 打6s | 打8m | 打8s | 打9p | 打9s | 打北 | 打南 | 打西
97,97,1,过,过
98,98,2,过,过
99,99,3,过,过
100,100,1,打白,打2p | 打4s | 打6m | 打6s | 打7m | 打7s | 打8p | 打8s | 打9s | 打白 | 打南
101,101,2,过,过
102,102,3,过,过
103,103,0,过,过
104,104,2,打1p,打1p | 打4m | 打4s | 打5m | 打5s | 打5s | 打6m | 打6s | 打7p | 打7s | 打8s | 打白
105,105,3,过,过
106,106,0,过,过
107,107,1,过,过
108,108,3,打2m,打1p | 打2m | 打4p | 打5m | 打5p | 打5s | 打6p | 打7p | 打7s | 打9s | 打东 | 打白
109,109,0,过,过
110,110,1,过,过
111,111,2,过,过
112,112,0,打2p,打2p | 打5m | 打5s | 打6s | 打8m | 打8s | 打9m | 打9p | 打9s | 打北 | 打南 | 打西
113,113,1,过,"PON 2p consumed=[2p,2p] from P0 | 过"
114,114,2,过,过
115,115,3,过,过
116,116,1,打1m,打1m | 打2p | 打4s | 打6m | 打6s | 打7m | 打7s | 打8p | 打8s | 打9s | 打南
117,117,2,过,过
118,118,3,过,过
119,119,0,过,过
120,120,2,打4m,打4m | 打4s | 打5m | 打5s | 打5s | 打6m | 打6s | 打7p | 打7s | 打8s | 打北 | 打白
121,121,3,过,过
122,122,0,过,过
123,123,1,过,过
124,124,3,打1p,打1p | 打4p | 打5m | 打5p | 打5s | 打6p | 打7m | 打7p | 打7s | 打9s | 打东 | 打白
125,125,0,过,过
126,126,1,过,过
127,127,2,过,过
128,128,0,打6s,打5m | 打5s | 打6s | 打7p | 打8m | 打8s | 打9m | 打9p | 打9s | 打北 | 打南 | 打西
129,129,1,过,"CHI 6s consumed=[7s,8s] from P0 | 过"
130,130,2,过,过
131,131,3,过,过
132,132,1,打4s,打2p | 打4s | 打6m | 打6s | 打7m | 打7s | 打8p | 打8s | 打9s | 打南
133,133,2,过,"CHI 4s consumed=[5s,6s] from P1 | 过"
134,134,3,过,过
135,135,0,过,过
136,136,2,打4s,打4m | 打4s | 打5m | 打5s | 打5s | 打6m | 打6s | 打7p | 打7s | 打8s | 打北 | 打白
137,137,3,过,过
138,138,0,过,过
139,139,1,过,过
140,140,3,打白,打4p | 打5m | 打5p | 打5s | 打6p | 打7m | 打7p | 打7s | 打9s | 打东 | 打白
141,141,0,过,过
142,142,1,过,过
143,143,2,过,过
144,144,0,打5m,打5m | 打5s | 打7p | 打8m | 打8s | 打9m | 打9p | 打9s | 打北 | 打南 | 打西
145,145,1,过,"CHI 5m consumed=[6m,7m] from P0 | 过"
146,146,2,过,过
147,147,3,过,过
148,148,1,打2p,打2p | 打3s | 打6m | 打6s | 打7m | 打7s | 打8p | 打8s | 打9s | 打南
149,149,2,过,过
150,150,3,过,过
151,151,0,过,过
152,152,2,打白,打4m | 打5m | 打5s | 打5s | 打6m | 打6s | 打7p | 打7s | 打8s | 打东 | 打北 | 打白
153,153,3,过,过
154,154,0,过,过
155,155,1,过,过
156,156,3,打4p,打4p | 打5m | 打5p | 打5s | 打6p | 打6s | 打7m | 打7p | 打7s | 打9s | 打东
157,157,0,过,过
158,158,1,过,过
159,159,2,过,过
160,160,0,打1m,打1m | 打5s | 打7p | 打8m | 打8s | 打9m | 打9p | 打9s | 打北 | 打南 | 打西
161,161,1,过,过
162,162,2,过,过
163,163,3,过,过
164,164,1,打3s,打2p | 打3s | 打5p | 打6m | 打6s | 打7m | 打7s | 打8p | 打8s | 打9s | 打南
165,165,2,过,过
166,166,3,过,过
167,167,0,过,过
168,168,2,打4m,打4m | 打5m | 打5s | 打5s | 打6m | 打6s | 打7p | 打7s | 打8s | 打9s | 打东 | 打北
169,169,3,过,过
170,170,0,过,过
171,171,1,过,过
172,172,3,打4p,打4p | 打5m | 打5p | 打5s | 打6p | 打6s | 打7m | 打7p | 打7s | 打9s | 打东 | 打西
173,173,0,过,过
174,174,1,过,过
175,175,2,过,过
176,176,0,打4s,打4s | 打5s | 打7p | 打8m | 打8s | 打9m | 打9p | 打9s | 打北 | 打南 | 打西
177,177,1,过,过
178,178,2,过,过
179,179,3,过,过
180,180,1,打2p,打1m | 打2p | 打5p | 打6m | 打6s | 打7m | 打7s | 打8p | 打8s | 打9s | 打南
181,181,2,过,过
182,182,3,过,过
183,183,0,过,过
184,184,2,打东,打4m | 打5m | 打5s | 打5s | 打6m | 打6s | 打7p | 打7s | 打8s | 打9p | 打9s | 打东 | 打北
185,185,3,"PON 东 consumed=[东,东] from P2","PON 东 consumed=[东,东] from P2 | 过"
186,186,3,打9s,打5m | 打5p | 打5s | 打6p | 打6s | 打7m | 打7p | 打7s | 打9s | 打西
187,187,0,过,过
188,188,1,过,过
189,189,2,过,过
190,190,0,打5s,打5p | 打5s | 打7p | 打8m | 打8s | 打9m | 打9p | 打9s | 打北 | 打南 | 打西
