decision,step_id,actor,selected,legal_actions
0,0,0,打1m,打1m | 打1p | 打1s | 打2m | 打3p | 打4m | 打7p | 打8m | 打发 | 打南 | 打西
1,1,1,过,过
2,2,2,过,过
3,3,3,过,过
4,4,1,打2s,打2p | 打2s | 打3m | 打3p | 打4p | 打4s | 打5p | 打5s | 打6m | 打8m | 打8p | 打南
5,5,2,过,过
6,6,3,过,过
7,7,0,过,过
8,8,2,打1s,打1s | 打2p | 打4p | 打5m | 打5s | 打5s | 打6s | 打7m | 打7s | 打8p | 打9s | 打北 | 打白
9,9,3,过,过
10,10,0,过,过
11,11,1,过,过
12,12,3,打北,打1p | 打2m | 打2s | 打3m | 打4m | 打5m | 打6p | 打6s | 打7p | 打中 | 打发 | 打北
13,13,0,过,过
14,14,1,过,过
15,15,2,过,过
16,16,0,打1p,打1p | 打1s | 打2m | 打3p | 打4m | 打7p | 打8m | 打中 | 打发 | 打南 | 打西
17,17,1,"CHI 1p consumed=[2p,3p] from P0","CHI 1p consumed=[2p,3p] from P0 | 过"
18,18,1,打南,打3m | 打4s | 打5p | 打5s | 打6m | 打8m | 打8p | 打南
19,19,2,过,过
20,20,3,过,过
21,21,0,过,过
22,22,2,打北,打2p | 打4p | 打5m | 打5s | 打5s | 打6m | 打6s | 打7m | 打7s | 打8p | 打9s | 打北 | 打白
23,23,3,过,过
24,24,0,过,过
25,25,1,过,过
26,26,3,打2m,打1p | 打2m | 打2s | 打3m | 打4m | 打5m | 打6p | 打6s | 打7p | 打中 | 打发
27,27,0,过,"PON 2m consumed=[2m,2m] from P3 | 过"
28,28,1,过,过
29,29,2,过,过
30,30,0,打2m,打1s | 打2m | 打3p | 打4m | 打6m | 打7p | 打8m | 打中 | 打发 | 打南 | 打西
31,31,1,过,过
32,32,2,过,过
33,33,3,过,过
34,34,1,打发,打3m | 打4p | 打4s | 打5p | 打5s | 打6m | 打8m | 打8p | 打发
35,35,2,过,过
36,36,3,过,过
37,37,0,"PON 发 consumed=[发,发] from P1","PON 发 consumed=[发,发] from P1 | 过"
38,38,0,打南,打1s | 打2m | 打3p | 打4m | 打6m | 打7p | 打8m | 打中 | 打南 | 打西
39,39,1,过,过
40,40,2,过,过
41,41,3,过,过
42,42,1,打8p,打3m | 打4p | 打4s | 打5p | 打5p | 打5s | 打6m | 打8m | 打8p
43,43,2,过,"PON 8p consumed=[8p,8p] from P1 | 过"
44,44,3,过,过
45,45,0,过,过
46,46,2,打9s,打2p | 打4m | 打4p | 打5m | 打5s | 打5s | 打6m | 打6s | 打7m | 打7s | 打8p | 打9s | 打白
47,47,3,过,过
48,48,0,过,过
49,49,1,过,过
50,50,3,打1p,打1p | 打2s | 打3m | 打3s | 打4m | 打5m | 打6p | 打6s | 打7p | 打中 | 打发
51,51,0,过,过
52,52,1,过,过
53,53,2,过,过
54,54,0,打2m,打1s | 打2m | 打3p | 打4m | 打6m | 打7p | 打8m | 打9m | 打中 | 打西
55,55,1,过,过
56,56,2,过,过
57,57,3,过,过
58,58,1,打4p,打3m | 打4p | 打4s | 打5p | 打5p | 打5s | 打6m | 打8m
59,59,2,过,过
60,60,3,过,过
61,61,0,过,过
62,62,2,打4m,打2p | 打4m | 打4p | 打5m | 打5s | 打5s | 打6m | 打6s | 打7m | 打7s | 打8p | 打白
63,63,3,"CHI 4m consumed=[3m,5m] from P2","CHI 4m consumed=[3m,5m] from P2 | 过"
64,64,3,打1p,打1p | 打2s | 打3m | 打3s | 打6p | 打6s | 打7p | 打中 | 打发
65,65,0,过,过
66,66,1,过,过
67,67,2,过,过
68,68,0,打中,打1s | 打2m | 打3p | 打4m | 打6m | 打7p | 打8m | 打9m | 打中 | 打西
69,69,1,过,过
70,70,2,过,过
71,71,3,过,过
72,72,1,打3m,打3m | 打3p | 打4p | 打4s | 打5p | 打5p | 打5s | 打6m | 打8m
73,73,2,过,过
74,74,3,过,"PON 3m consumed=[3m,3m] from P1 | 过"
75,75,0,过,过
