config_id,seed,rule_kl_coef,entropy_coef,lr,opponent_mode,iterations,rollout_episodes,eval_episodes,approx_kl,clip_fraction,entropy,rule_kl,rule_agreement,neural_delta_abs_mean,neural_delta_abs_max,top1_action_changed_rate,train_rank_pt,train_fourth_rate,train_deal_in_rate,eval_rank_pt,eval_mean_rank,eval_fourth_rate,eval_deal_in_rate,eval_win_rate,illegal_action_rate,fallback_rate,forced_terminal_missed
10,21260425,0.0,0.01,0.0001,rule_prior_greedy,3,2,2,3.914658527892634e-12,0.0,1.4285800457000732,1.47069147971024e-08,1.0,0.00010743126040324569,0.00039524471503682435,0.0,-0.25,0.5,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
11,21360425,0.0,0.01,0.0003,rule_prior_greedy,3,2,2,5.036844274997065e-10,0.0,1.5630097389221191,-3.1904860975373595e-08,1.0,0.0016526073450222611,0.003482153872027993,0.0,-1.5,1.0,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
12,21460425,0.001,0.0,3e-05,rule_prior_greedy,3,2,2,8.335267697411053e-13,0.0,1.5877025127410889,-4.625346861075741e-08,1.0,9.410305210622028e-05,0.00014264596393331885,0.0,-0.25,0.5,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
13,21560425,0.001,0.0,0.0001,rule_prior_greedy,3,2,2,5.752104695333493e-11,0.0,1.4033185243606567,-2.0581104820394103e-08,1.0,0.0004666801542043686,0.0009247239795513451,0.0,-0.5,0.5,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
14,21660425,0.001,0.0,0.0003,rule_prior_greedy,3,2,2,4.2861679483419124e-11,0.0,1.466827392578125,-1.240671232416446e-09,1.0,0.00038231341750361025,0.0009464790928177536,0.0,-0.5,0.5,0.0,0.75,1.5,0.0,0.0,0.5,0.0,0.0,0
15,21760425,0.001,0.001,3e-05,rule_prior_greedy,3,2,2,4.532882044976788e-13,0.0,1.4862844944000244,-8.02312882797196e-09,1.0,8.151507063303143e-05,0.00014071051555220038,0.0,-0.5,0.5,0.0,0.75,1.5,0.0,0.0,0.5,0.0,0.0,0
16,21860425,0.001,0.001,0.0001,rule_prior_greedy,3,2,2,5.157976476488635e-12,0.0,1.3337788581848145,-7.75522668305939e-09,1.0,8.493188943248242e-05,0.00023150102060753852,0.0,0.5,0.0,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
17,21960425,0.001,0.001,0.0003,rule_prior_greedy,3,2,2,1.8064398935035975e-11,0.0,1.3859832286834717,-1.527670967504946e-08,1.0,0.0007499397033825517,0.0012540202587842941,0.0,-0.25,0.5,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
18,22060425,0.001,0.005,3e-05,rule_prior_greedy,3,2,2,9.428806476904916e-13,0.0,1.402048945426941,4.832884314964758e-09,1.0,9.236921323463321e-05,0.00018282129894942045,0.0,0.75,0.0,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
19,22160425,0.001,0.005,0.0001,rule_prior_greedy,3,2,2,3.005181867243856e-11,0.0,1.5789614915847778,-1.9871924106240613e-09,1.0,0.00017166859470307827,0.0004983805119991302,0.0,-0.5,0.5,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0
20,22260425,0.001,0.005,0.0003,rule_prior_greedy,3,2,2,4.131056885459117e-10,0.0,1.3768036365509033,4.626502736471139e-09,1.0,0.0002760195638984442,0.000905665336176753,0.0,-1.5,1.0,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
21,22360425,0.001,0.01,3e-05,rule_prior_greedy,3,2,2,1.6211158934339998e-12,0.0,1.4841883182525635,-3.353462929567286e-08,1.0,3.057156573049724e-05,9.399563714396209e-05,0.0,-0.25,0.5,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,0
22,22460425,0.001,0.01,0.0001,rule_prior_greedy,3,2,2,5.281700857923122e-12,0.0,1.4737486839294434,-2.3971566065483785e-08,1.0,0.00047125539276748896,0.0005930962506681681,0.0,-1.5,1.0,0.0,0.75,1.5,0.0,0.0,0.5,0.0,0.0,0
23,22560425,0.001,0.01,0.0003,rule_prior_greedy,3,2,2,9.888899699106446e-10,0.0,1.4600143432617188,-3.702336659472394e-09,1.0,0.001568643725477159,0.003078668611124158,0.0,-0.5,0.5,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,0
24,22660425,0.01,0.0,3e-05,rule_prior_greedy,3,2,2,1.1470190032156213e-12,0.0,1.5243253707885742,-1.7459711898482055e-08,1.0,3.171806747559458e-05,0.00012863482697866857,0.0,0.75,0.0,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
25,22760425,0.01,0.0,0.0001,rule_prior_greedy,3,2,2,4.953679393765453e-12,0.0,1.5337144136428833,-1.7970535282074707e-08,1.0,0.00013684666191693395,0.0002712426648940891,0.0,1.0,0.0,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
26,22860425,0.01,0.0,0.0003,rule_prior_greedy,3,2,2,1.133148991305788e-10,0.0,1.526048183441162,-7.424461045957287e-09,1.0,0.001618867856450379,0.002211514860391617,0.0,0.75,0.0,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
27,22960425,0.01,0.001,3e-05,rule_prior_greedy,3,2,2,1.8094118868147713e-12,0.0,1.3990898132324219,-1.612130873240858e-08,1.0,4.080784856341779e-05,9.665190009400249e-05,0.0,-0.5,0.5,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0
28,23060425,0.01,0.001,0.0001,rule_prior_greedy,3,2,2,6.172201638676711e-11,0.0,1.482274055480957,4.102298944985705e-09,1.0,0.00037142966175451875,0.0007385070202872157,0.0,-1.5,1.0,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
29,23160425,0.01,0.001,0.0003,rule_prior_greedy,3,2,2,8.898258518907909e-11,0.0,1.4685771465301514,-6.864127044536872e-10,1.0,0.0008258278830908239,0.0014810439897701144,0.0,-1.5,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0
30,23260425,0.01,0.005,3e-05,rule_prior_greedy,3,2,2,4.1267401822142613e-13,0.0,1.4293664693832397,-2.0088547714181004e-08,1.0,2.3170534404926002e-05,7.01016397215426e-05,0.0,-0.25,0.5,0.0,0.75,1.5,0.0,0.0,0.5,0.0,0.0,0
31,23360425,0.01,0.005,0.0001,rule_prior_greedy,3,2,2,9.73164691192574e-12,0.0,1.340844750404358,-7.31166416301221e-09,1.0,0.00026123266434296966,0.0005507831228896976,0.0,-0.5,0.5,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0
32,23460425,0.01,0.005,0.0003,rule_prior_greedy,3,2,2,4.921356031029056e-11,0.0,1.2184592485427856,1.4990011010240778e-08,1.0,0.0004044717352371663,0.0007818618323653936,0.0,1.0,0.0,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,0
33,23560425,0.01,0.01,3e-05,rule_prior_greedy,3,2,2,3.2440001206113234e-13,0.0,1.3563646078109741,1.4031551920368202e-08,1.0,2.6060943127959035e-05,8.0645433627069e-05,0.0,-0.25,0.5,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
34,23660425,0.01,0.01,0.0001,rule_prior_greedy,3,2,2,3.8371896805833305e-12,0.0,1.564598560333252,-1.8153590630731742e-08,1.0,6.700730591546744e-05,0.0002171751402784139,0.0,-0.25,0.5,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
35,23760425,0.01,0.01,0.0003,rule_prior_greedy,3,2,2,6.120118301033983e-11,0.0,1.467685341835022,1.61249751329251e-08,1.0,0.0008800506475381553,0.001279474119655788,0.0,-0.25,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
36,23860425,0.02,0.0,3e-05,rule_prior_greedy,3,2,2,1.4323596562310081e-12,0.0,1.5385175943374634,-1.0654334303694668e-08,1.0,1.9767046978813596e-05,6.36338590993546e-05,0.0,0.75,0.0,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
37,23960425,0.02,0.0,0.0001,rule_prior_greedy,3,2,2,1.0925645804737982e-11,0.0,1.4421449899673462,1.136134741841488e-08,1.0,0.00038936949567869306,0.0006422980804927647,0.0,0.75,0.0,0.0,-1.5,4.0,1.0,0.0,0.0,0.0,0.0,0
38,24060425,0.02,0.0,0.0003,rule_prior_greedy,3,2,2,3.4537608883944415e-10,0.0,1.4030234813690186,3.041942475690007e-09,1.0,0.00021952958195470273,0.001177923521026969,0.0,-0.25,0.5,0.0,0.75,1.5,0.0,0.0,0.5,0.0,0.0,0
39,24160425,0.02,0.001,3e-05,rule_prior_greedy,3,2,2,1.0339876876800172e-13,0.0,1.420320987701416,4.0745362639427185e-10,1.0,6.529418169520795e-05,0.00012192186113679782,0.0,0.75,0.0,0.0,-1.5,4.0,1.0,0.0,0.0,0.0,0.0,0
40,24260425,0.02,0.001,0.0001,rule_prior_greedy,3,2,2,8.13499267948714e-12,0.0,1.4619685411453247,-8.24938251042795e-09,1.0,0.0001055774773703888,0.0003884689067490399,0.0,-0.5,0.5,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0
41,24360425,0.02,0.001,0.0003,rule_prior_greedy,3,2,2,2.632240536648567e-10,0.0,1.509622573852539,-1.8499784815162457e-08,1.0,0.0014714599819853902,0.002334707183763385,0.0,-0.25,0.5,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,0
42,24460425,0.02,0.005,3e-05,rule_prior_greedy,3,2,2,2.3748939013273906e-12,0.0,1.3561495542526245,-3.7388012685823924e-08,1.0,0.00011777086183428764,0.00017883953114505857,0.0,-0.5,0.5,0.0,-1.5,4.0,1.0,0.0,0.0,0.0,0.0,0
43,24560425,0.02,0.005,0.0001,rule_prior_greedy,3,2,2,6.540126513271405e-12,0.0,1.5553338527679443,-3.680427695940125e-08,1.0,9.422309085493907e-05,0.0002583241439424455,0.0,-0.25,0.5,0.0,-1.5,4.0,1.0,0.0,0.0,0.0,0.0,0
44,24660425,0.02,0.005,0.0003,rule_prior_greedy,3,2,2,1.1137601257926733e-10,0.0,1.5624665021896362,-4.831625322054833e-09,1.0,0.00033128316863439977,0.0008204367477446795,0.0,-1.5,1.0,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
45,24760425,0.02,0.01,3e-05,rule_prior_greedy,3,2,2,2.2652619797308704e-12,0.0,1.372969627380371,-1.6372546651766129e-09,1.0,2.9306482247193344e-05,7.158114021876827e-05,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0
46,24860425,0.02,0.01,0.0001,rule_prior_greedy,3,2,2,6.398923925454714e-12,0.0,1.4639972448349,-3.1532202626749495e-08,1.0,9.083648910745978e-05,0.0002869334421120584,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
47,24960425,0.02,0.01,0.0003,rule_prior_greedy,3,2,2,5.727088803197944e-10,0.0,1.4772571325302124,3.5979121904006206e-09,1.0,0.001407149131409824,0.002461944008246064,0.0,-1.5,1.0,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
48,25060425,0.05,0.0,3e-05,rule_prior_greedy,3,2,2,1.4269099140110098e-12,0.0,1.5259767770767212,-3.089053279836662e-08,1.0,2.3005193725111894e-05,8.872662874637172e-05,0.0,-0.25,0.5,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
49,25160425,0.05,0.0,0.0001,rule_prior_greedy,3,2,2,7.029383325418692e-11,0.0,1.530449390411377,-1.867520138532086e-09,1.0,0.0004472770378924906,0.0006933124386705458,0.0,-0.25,0.5,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0
50,25260425,0.05,0.0,0.0003,rule_prior_greedy,3,2,2,1.3038820023680842e-10,0.0,1.4773814678192139,-1.8507520849198045e-08,1.0,0.000723407487384975,0.0015996417496353388,0.0,-1.5,1.0,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
51,25360425,0.05,0.001,3e-05,rule_prior_greedy,3,2,2,7.550997045517593e-13,0.0,1.4894636869430542,-2.448649638608913e-08,1.0,3.836834366666153e-05,9.899968426907435e-05,0.0,0.5,0.0,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
52,25460425,0.05,0.001,0.0001,rule_prior_greedy,3,2,2,7.909500311653606e-12,0.0,1.3844122886657715,5.813584724734255e-09,1.0,0.00019896971934940666,0.0003879204159602523,0.0,-0.25,0.5,0.0,-1.5,4.0,1.0,0.0,0.0,0.0,0.0,0
53,25560425,0.05,0.001,0.0003,rule_prior_greedy,3,2,2,2.425207777656535e-11,0.0,1.4598321914672852,-1.864712828592019e-08,1.0,0.0003158755716867745,0.000686199520714581,0.0,0.75,0.0,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
54,25660425,0.05,0.005,3e-05,rule_prior_greedy,3,2,2,2.47966252565901e-13,0.0,1.5172113180160522,-1.9581571919502494e-08,1.0,5.8001238357974216e-05,9.883537131827325e-05,0.0,-1.5,1.0,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
55,25760425,0.05,0.005,0.0001,rule_prior_greedy,3,2,2,2.0661168088909054e-12,0.0,1.3780059814453125,-4.258444619154034e-08,1.0,0.00018525990890339017,0.00031720910919830203,0.0,0.75,0.0,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
56,25860425,0.05,0.005,0.0003,rule_prior_greedy,3,2,2,3.074802079616745e-10,0.0,1.3329335451126099,2.5403467773799093e-08,1.0,0.0004222423303872347,0.0013073320733383298,0.0,0.75,0.0,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
57,25960425,0.05,0.01,3e-05,rule_prior_greedy,3,2,2,4.884426196838376e-13,0.0,1.3849925994873047,-4.633136541087879e-09,1.0,2.5287077733082697e-05,6.40682628727518e-05,0.0,-0.25,0.5,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0
58,26060425,0.05,0.01,0.0001,rule_prior_greedy,3,2,2,2.1907508793161945e-11,0.0,1.409320592880249,-2.2489610174147856e-08,1.0,0.0002535074600018561,0.00039118583663366735,0.0,-0.25,0.5,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0
59,26160425,0.05,0.01,0.0003,rule_prior_greedy,3,2,2,4.934561786962277e-11,0.0,1.4370468854904175,-8.178883126319647e-10,1.0,0.0005105863092467189,0.000928384717553854,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0
60,26260425,0.0,0.0,3e-05,rulebase,3,2,2,1.2802259252708836e-13,0.0,1.3677520751953125,1.230590385148389e-08,1.0,2.8498734536697157e-05,7.705501047894359e-05,0.0,-0.25,0.5,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,0
61,26360425,0.0,0.0,0.0001,rulebase,3,2,2,1.4643594496710488e-12,0.0,1.339221715927124,-1.2503793556106757e-08,1.0,0.00016222079284489155,0.00043209997238591313,0.0,1.0,0.0,0.0,-1.5,4.0,1.0,0.0,0.0,0.0,0.0,0
62,26460425,0.0,0.0,0.0003,rulebase,3,2,2,1.1802739341426616e-10,0.0,1.360758662223816,1.2476698785235385e-08,1.0,0.0006965096690692008,0.0014363373629748821,0.0,-1.5,1.0,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
63,26560425,0.0,0.001,3e-05,rulebase,3,2,2,4.058182284140399e-13,0.0,1.2740259170532227,3.2835518748441928e-09,1.0,3.188188566127792e-05,6.881122681079432e-05,0.0,-0.5,0.5,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
64,26660425,0.0,0.001,0.0001,rulebase,3,2,2,7.646312402687094e-12,0.0,1.3469547033309937,2.026102396968099e-09,1.0,0.0004738845454994589,0.0007905884413048625,0.0,-1.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
65,26760425,0.0,0.001,0.0003,rulebase,3,2,2,4.374556272779273e-12,0.0,1.4297586679458618,-1.4423844341138192e-08,1.0,0.00032953944173641503,0.000678650161717087,0.0,-0.5,0.5,0.0,-1.5,4.0,1.0,0.0,0.0,0.0,0.0,0
66,26860425,0.0,0.005,3e-05,rulebase,3,2,2,1.9740194721895588e-12,0.0,1.5142066478729248,4.658417207537013e-09,1.0,2.7156460419064388e-05,7.583331898786128e-05,0.0,1.0,0.0,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
67,26960425,0.0,0.005,0.0001,rulebase,3,2,2,2.4444073067758643e-12,0.0,1.4203073978424072,-1.709275609940164e-09,1.0,0.0001225440646521747,0.0002744909725151956,0.0,-1.5,1.0,0.0,0.75,1.5,0.0,0.0,0.5,0.0,0.0,0
68,27060425,0.0,0.005,0.0003,rulebase,3,2,2,8.073859636414937e-11,0.0,1.3943523168563843,-1.5261358399243363e-08,1.0,0.0007447550306096673,0.001073409803211689,0.0,-1.5,1.0,0.0,-1.5,4.0,1.0,0.0,0.0,0.0,0.0,0
69,27160425,0.0,0.01,3e-05,rulebase,3,2,2,1.796004425909381e-12,0.0,1.4320628643035889,-5.630020449842732e-09,1.0,0.00010385543282609433,0.00020505637803580612,0.0,-0.25,0.5,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
70,27260425,0.0,0.01,0.0001,rulebase,3,2,2,3.0592861577360964e-11,0.0,1.566547155380249,-3.415912885884609e-08,1.0,6.42594022792764e-05,0.000200305919861421,0.0,-0.25,0.5,0.0,0.75,1.5,0.0,0.0,0.5,0.0,0.0,0
71,27360425,0.0,0.01,0.0003,rulebase,3,2,2,7.844672134105224e-11,0.0,1.3474934101104736,-1.1695132862143964e-08,1.0,0.0005536004318855703,0.0009818137623369694,0.0,-1.5,1.0,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0
72,27460425,0.001,0.0,3e-05,rulebase,3,2,2,3.887317984868632e-12,0.0,1.5014071464538574,1.0233144998039734e-08,1.0,5.403066461440176e-05,0.00012204473750898615,0.0,0.75,0.0,0.0,-1.5,4.0,1.0,0.0,0.0,0.0,0.0,0
73,27560425,0.001,0.0,0.0001,rulebase,3,2,2,4.26692119137595e-11,0.0,1.4413435459136963,-1.497803481242954e-08,1.0,0.0001892875152407214,0.0004863408103119582,0.0,-0.5,0.5,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
74,27660425,0.001,0.0,0.0003,rulebase,3,2,2,1.3038272718424171e-11,0.0,1.3777813911437988,1.4707438822370023e-08,1.0,0.0003855364047922194,0.0006631006253883243,0.0,-0.25,0.5,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
75,27760425,0.001,0.001,3e-05,rulebase,3,2,2,1.2505552420428306e-13,0.0,1.5077095031738281,-5.44114477918356e-08,1.0,1.6695958038326353e-05,7.873338472563773e-05,0.0,-0.25,0.5,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
76,27860425,0.001,0.001,0.0001,rulebase,3,2,2,2.4310997659426903e-11,0.0,1.354766607284546,6.190354451263147e-09,1.0,9.880309517029673e-05,0.00042072570067830384,0.0,0.75,0.0,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0
77,27960425,0.001,0.001,0.0003,rulebase,3,2,2,6.120640799744947e-11,0.0,1.4858330488204956,-9.318825711090994e-09,1.0,0.0005157411214895546,0.0014313571155071259,0.0,-1.5,1.0,0.0,0.75,1.5,0.0,0.0,0.5,0.0,0.0,0
78,28060425,0.001,0.005,3e-05,rulebase,3,2,2,3.4772185131259903e-13,0.0,1.4166107177734375,2.3659829651023756e-08,1.0,8.109358896035701e-05,0.00015105927013792098,0.0,-0.25,0.5,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
79,28160425,0.001,0.005,0.0001,rulebase,3,2,2,2.73197436895245e-11,0.0,1.331252098083496,4.303242207015501e-08,1.0,0.00016273936489596963,0.0003861189470626414,0.0,-0.25,0.5,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
80,28260425,0.001,0.005,0.0003,rulebase,3,2,2,1.931432878216066e-12,0.0,1.4203948974609375,8.858523692367726e-09,1.0,0.0010758916614577174,0.0014821075601503253,0.0,0.5,0.0,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,0
81,28360425,0.001,0.01,3e-05,rulebase,3,2,2,1.1009095111230716e-12,0.0,1.3767122030258179,-1.4949389282037373e-08,1.0,2.4633260181872174e-05,0.00011465058196336031,0.0,1.0,0.0,0.0,-1.5,4.0,1.0,0.0,0.0,0.0,0.0,0
82,28460425,0.001,0.01,0.0001,rulebase,3,2,2,3.232356222959698e-12,0.0,1.4667105674743652,-4.9491031717252554e-08,1.0,0.0002508434117771685,0.00042775418842211366,0.0,-0.5,0.5,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
83,28560425,0.001,0.01,0.0003,rulebase,3,2,2,3.712994911531098e-10,0.0,1.3293441534042358,1.268453009295456e-09,1.0,0.0004939490463584661,0.0010799268493428826,0.0,-0.25,0.5,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,0
84,28660425,0.01,0.0,3e-05,rulebase,3,2,2,3.1476850206185736e-12,0.0,1.409472942352295,3.2087368317945675e-09,1.0,7.550164446001872e-05,0.0001396975276293233,0.0,-1.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
85,28760425,0.01,0.0,0.0001,rulebase,3,2,2,6.357163059855786e-12,0.0,1.4660115242004395,-4.2105938291570055e-08,1.0,0.00044551046448759735,0.0007358042057603598,0.0,-1.5,1.0,0.0,-0.25,2.5,0.5,0.0,0.5,0.0,0.0,0
86,28860425,0.01,0.0,0.0003,rulebase,3,2,2,1.5037113915150613e-11,0.0,1.2644113302230835,-5.880830489246591e-09,1.0,0.00035197671968489885,0.0008996326359920204,0.0,1.0,0.0,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,0
87,28960425,0.01,0.001,3e-05,rulebase,3,2,2,7.56320949878847e-13,0.0,1.4335036277770996,1.5144602238947868e-09,1.0,3.04257009702269e-05,7.302142330445349e-05,0.0,-1.5,1.0,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,0
88,29060425,0.01,0.001,0.0001,rulebase,3,2,2,1.3369911731550554e-12,0.0,1.3750568628311157,-9.704621994899298e-09,1.0,0.0003879836294800043,0.0006130426190793514,0.0,0.75,0.0,0.0,-1.5,4.0,1.0,0.0,0.0,0.0,0.0,0
89,29160425,0.01,0.001,0.0003,rulebase,3,2,2,1.6468781893763662e-10,0.0,1.5144284963607788,-1.4562778538618204e-08,1.0,0.0007282463484443724,0.001525751082226634,0.0,1.0,0.0,0.0,-0.5,3.0,0.5,0.0,0.0,0.0,0.0,0
90,29260425,0.01,0.005,3e-05,rulebase,3,2,2,1.7980431596745228e-12,0.0,1.528013825416565,-4.394407326913097e-08,1.0,2.4128798031597398e-05,7.453964644810185e-05,0.0,-0.5,0.5,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
91,29360425,0.01,0.005,0.0001,rulebase,3,2,2,1.5333156619390387e-11,0.0,1.4119243621826172,1.6679248204809483e-08,1.0,0.0005966979078948498,0.0011222800239920616,0.0,-0.25,0.5,0.0,-1.5,4.0,1.0,0.0,0.0,0.0,0.0,0
92,29460425,0.01,0.005,0.0003,rulebase,3,2,2,1.7889251191505195e-10,0.0,1.430220603942871,-1.0581657772235076e-09,1.0,0.0006615252932533622,0.0016759925056248903,0.0,0.75,0.0,0.0,0.75,1.5,0.0,0.0,0.0,0.0,0.0,0
93,29560425,0.01,0.01,3e-05,rulebase,3,2,2,2.7298005435966166e-12,0.0,1.4068984985351562,6.454505374620112e-09,1.0,5.814062387798913e-05,9.719958325149491e-05,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0
94,29660425,0.01,0.01,0.0001,rulebase,3,2,2,1.1562972801471005e-11,0.0,1.4230742454528809,-4.74837769104397e-09,1.0,0.0001398933382006362,0.000331027724314481,0.0,1.0,0.0,0.0,-0.25,2.5,0.5,0.0,0.0,0.0,0.0,0
95,29760425,0.01,0.01,0.0003,rulebase,3,2,2,1.2282061478963158e-10,0.0,1.458749771118164,-3.449324381676888e-08,1.0,0.0005065157311037183,0.0011967450845986605,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
