episode_id,step_index,actor,action_type,action_index,action_canonical_key,old_log_prob,old_value,reward,return,advantage_raw,advantage_normalized,final_rank,terminal_reward,legal_count,selected_prior_rank,selected_prior_prob,prior_top1_prob,selected_is_prior_top1,prior_top1_margin_to_second,delta_needed_to_flip_top1
16586267,0,0,0,1,0|tile=19|consumed=|from=-1|flags=0,-3.435983896255493,-0.1483050435781479,0.0,-0.9891325831413269,-0.8408275246620178,-1.2767298221588135,3,-1.5,12,3,0.03219391033053398,0.647278904914856,False,3.0,3.000999927520752
16586267,4,1,0,0,0|tile=9|consumed=|from=-1|flags=0,0.0,0.0,0.0,0.2993684709072113,0.2993684709072113,0.374346524477005,1,0.5,12,1,0.6475072503089905,0.6475072503089905,True,3.000999927520752,3.000999927520752
16586267,8,2,0,0,0|tile=9|consumed=|from=-1|flags=0,0.0,0.0,0.0,0.0,0.0,-0.05915806442499161,2,0.0,13,1,0.6275189518928528,0.6275189518928528,True,3.000999927520752,3.000999927520752
16586267,12,3,0,10,0|tile=28|consumed=|from=-1|flags=0,0.0,0.0,0.0,0.6302493810653687,0.6302493810653687,0.8534832000732422,0,1.0,11,1,0.6686112284660339,0.6686112284660339,True,3.0,3.0
16586267,16,0,0,10,0|tile=17|consumed=|from=-1|flags=0,-3.4447219371795654,-0.21032068133354187,0.0,-1.0301226377487183,-0.8198019862174988,-1.2462835311889648,3,-1.5,12,11,0.0319136343896389,0.6474446654319763,False,3.0,3.009999990463257
16586267,20,1,0,9,0|tile=33|consumed=|from=-1|flags=1,0.0,0.0,0.0,0.3151246905326843,0.3151246905326843,0.397162526845932,1,0.5,12,1,0.6473202705383301,0.6473202705383301,True,3.0,3.0
16586267,24,2,0,1,0|tile=19|consumed=|from=-1|flags=0,0.0,0.0,0.0,0.0,0.0,-0.05915806442499161,2,0.0,13,1,0.6274993419647217,0.6274993419647217,True,3.0,3.0
16586267,28,3,0,8,0|tile=8|consumed=|from=-1|flags=0,0.0,0.0,0.0,0.6634204387664795,0.6634204387664795,0.9015169739723206,0,1.0,11,1,0.6686554551124573,0.6686554551124573,True,3.0,3.0
16586267,32,0,0,3,0|tile=13|consumed=|from=-1|flags=0,-0.4023289680480957,-0.1888219267129898,0.0,-1.0744017362594604,-0.8855797648429871,-1.341533899307251,3,-1.5,11,1,0.6687661409378052,0.6687661409378052,True,3.0,3.0
16586267,36,1,0,6,0|tile=24|consumed=|from=-1|flags=0,0.0,0.0,0.0,0.33171021938323975,0.33171021938323975,0.4211794137954712,1,0.5,12,1,0.6473823189735413,0.6473823189735413,True,3.0,3.0
16586267,40,2,0,9,0|tile=25|consumed=|from=-1|flags=0,0.0,0.0,0.0,0.0,0.0,-0.05915806442499161,2,0.0,13,1,0.6273432970046997,0.6273432970046997,True,3.0,3.0
16586267,44,3,0,2,0|tile=18|consumed=|from=-1|flags=1,0.0,0.0,0.0,0.6983373165130615,0.6983373165130615,0.9520788192749023,0,1.0,11,1,0.6687882542610168,0.6687882542610168,True,3.0,3.0
16586267,48,0,0,7,0|tile=16|consumed=|from=-1|flags=0,-0.3689320981502533,-0.23827463388442993,0.0,-1.118408441543579,-0.8801337480545044,-1.3336477279663086,3,-1.5,10,1,0.6914684772491455,0.6914684772491455,True,3.0,3.0
16586267,52,1,0,10,0|tile=33|consumed=|from=-1|flags=1,0.0,0.0,0.0,0.34916865825653076,0.34916865825653076,0.4464603662490845,1,0.5,13,1,0.6273238062858582,0.6273238062858582,True,3.0,3.0
16586267,56,2,0,10,0|tile=17|consumed=|from=-1|flags=0,0.0,0.0,0.0,0.0,0.0,-0.05915806442499161,2,0.0,13,1,0.6273238062858582,0.6273238062858582,True,3.0,3.0
16586267,60,3,0,8,0|tile=8|consumed=|from=-1|flags=1,0.0,0.0,0.0,0.7350918650627136,0.7350918650627136,1.0053017139434814,0,1.0,11,1,0.6686554551124573,0.6686554551124573,True,3.0,3.0
