actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,advantage_mean,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,count,delta_clip,delta_clip_coef,delta_l2_coef,delta_support_margin_threshold,delta_support_mode,delta_support_topk,entropy_coef,iteration,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,negative_advantage_count,opponent_mode,outside_support_delta_mode,pilot_config_id,positive_advantage_count,ratio_mode,rerun_config_id,return_mean,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_prior_rank,source_config_id,terminal_reward_mean,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold,zero_advantage_count
0.75,all,3,0.39560449201809733,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,19,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.001,3,rulebase,zero,0,16,tempered_current_logits,0,0.16730442721592753,0.001,0.25,keqingrl_rule_score_scale_v1,11,93,0.3157894736842105,4,0.0,0.75,0
0.75,all,3,0.49987997859716415,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,4,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.001,0,rulebase,zero,0,4,tempered_current_logits,0,0.3405982777476311,0.001,0.25,keqingrl_rule_score_scale_v1,12,93,0.875,4,0.0,0.75,0
0.75,all,3,-0.35790814956029254,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,3,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.001,2,rulebase,zero,0,1,tempered_current_logits,0,-0.560602992773056,0.001,0.25,keqingrl_rule_score_scale_v1,13,93,-0.8333333333333334,4,0.0,0.75,0
0.75,all,3,0.4720204919576645,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,36,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.001,6,rulebase,zero,0,30,tempered_current_logits,0,0.13744514228569138,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,0.4027777777777778,4,0.0,0.75,0
0.75,all,3,0.5098967331907024,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,23,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.001,3,rulebase,zero,0,20,tempered_current_logits,0,0.18866698443889618,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,0.43478260869565216,4,0.0,0.75,0
0.75,all,3,0.30877518475055693,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,25,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.001,6,rulebase,zero,0,19,tempered_current_logits,0,0.037471878528594973,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,0.22,4,0.0,0.75,0
0.75,all,3,0.4235641770064831,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,20,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.001,3,rulebase,zero,0,17,tempered_current_logits,0,0.127440881729126,0.001,0.25,keqingrl_rule_score_scale_v1,4,93,0.375,4,0.0,0.75,0
0.75,all,3,0.27744363248348236,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,14,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.001,4,rulebase,zero,0,10,tempered_current_logits,0,-0.04575804727418082,0.001,0.25,keqingrl_rule_score_scale_v1,5,93,0.10714285714285714,4,0.0,0.75,0
0.75,all,3,0.18057865592149588,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,13,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.001,4,rulebase,zero,0,9,tempered_current_logits,0,-0.13480963386022127,0.001,0.25,keqingrl_rule_score_scale_v1,6,93,0.038461538461538464,4,0.0,0.75,0
0.75,all,3,0.7085234501532146,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,14,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.001,1,rulebase,zero,0,13,tempered_current_logits,0,0.35508255447660175,0.001,0.25,keqingrl_rule_score_scale_v1,7,93,0.5357142857142857,4,0.0,0.75,0
