config_id,rerun_config_id,source_config_id,source_report,config_key,config_key_label,iteration,seed,rule_kl_coef,entropy_coef,lr,opponent_mode,approx_kl,clip_fraction,entropy,rule_kl,rule_agreement,neural_delta_abs_mean,neural_delta_abs_max,top1_action_changed_rate,rank_pt,fourth_rate,learner_win_rate,learner_deal_in_rate,learner_call_rate,learner_riichi_rate,deal_in_rate,batch_size,episode_count,illegal_action_rate_fail_closed,fallback_rate_fail_closed,forced_terminal_missed_fail_closed,illegal_attempt_count,fallback_policy_count,forced_terminal_preempt_count,forced_terminal_missed_count,autopilot_terminal_count,rulebase_fallback_count,rulebase_chosen_missing_count,rulebase_chosen_not_found_count,rulebase_batch_unsupported_count,illegal_action_rate,fallback_rate,forced_terminal_missed
2,2,84,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.0,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0/lr=3e-05,0,20460425,0.01,0.0,3e-05,rulebase,0.0,0.0,1.3988173007965088,-5.351216358917554e-09,1.0,3.735058271558955e-05,9.040524309966713e-05,0.0,-0.28125,0.4375,0.0,0.0625,0.0,0.0,0.0625,227,16,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0
2,2,84,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.0,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0/lr=3e-05,1,20470425,0.01,0.0,3e-05,rulebase,1.5917855141628356e-12,0.0,1.4307135343551636,-1.443776920240225e-08,1.0,5.865112689207308e-05,0.00016634046914987266,0.0,0.03125,0.3125,0.0,0.0625,0.0,0.0,0.0625,225,16,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0
2,2,84,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.0,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0/lr=3e-05,2,20480425,0.01,0.0,3e-05,rulebase,6.5310235518312165e-12,0.0,1.3916535377502441,-4.298346567566114e-09,1.0,9.389147453475744e-05,0.00021661535720340908,0.0,0.125,0.3125,0.125,0.125,0.0,0.0,0.125,226,16,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0
2,2,84,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.0,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0/lr=3e-05,3,20490425,0.01,0.0,3e-05,rulebase,1.0857328057445326e-11,0.0,1.3850183486938477,-9.690240609927514e-09,1.0,0.00010447734530316666,0.0002453978231642395,0.0,-0.40625,0.5,0.0,0.125,0.0,0.0,0.125,200,16,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0
2,2,84,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.0,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0/lr=3e-05,4,20500425,0.01,0.0,3e-05,rulebase,1.5883775197900185e-11,0.0,1.399092674255371,6.9861494367273735e-09,1.0,0.00013188758748583496,0.0002664332278072834,0.0,-0.375,0.5,0.0,0.1875,0.0,0.0,0.1875,222,16,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0
3,3,8,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.005,""lr"":0.0003,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.0}",rule_prior_greedy/rule_kl=0/entropy=0.005/lr=0.0003,0,20560425,0.0,0.005,0.0003,rule_prior_greedy,0.0,0.0,1.3845611810684204,-8.801292472604416e-10,1.0,0.00013830652460455894,0.00043483154149726033,0.0,-0.125,0.375,0.0,0.125,0.0,0.0,0.125,219,16,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0
3,3,8,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.005,""lr"":0.0003,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.0}",rule_prior_greedy/rule_kl=0/entropy=0.005/lr=0.0003,1,20570425,0.0,0.005,0.0003,rule_prior_greedy,7.508749177986829e-11,0.0,1.4121545553207397,-6.2450076221409745e-09,1.0,0.00021138376905582845,0.000956328003667295,0.0,0.03125,0.375,0.0,0.0625,0.0,0.0,0.0625,250,16,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0
3,3,8,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.005,""lr"":0.0003,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.0}",rule_prior_greedy/rule_kl=0/entropy=0.005/lr=0.0003,2,20580425,0.0,0.005,0.0003,rule_prior_greedy,6.990339557200187e-11,0.0,1.4349390268325806,-1.3418943289877916e-08,1.0,0.0001359946618322283,0.0005647841026075184,0.0,0.09375,0.3125,0.0625,0.0625,0.0,0.0,0.0625,215,16,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0
3,3,8,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.005,""lr"":0.0003,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.0}",rule_prior_greedy/rule_kl=0/entropy=0.005/lr=0.0003,3,20590425,0.0,0.005,0.0003,rule_prior_greedy,7.93870039150768e-11,0.0,1.3663387298583984,-1.1848378278500604e-08,1.0,0.00015583695494569838,0.0005298999603837729,0.0,0.0625,0.3125,0.0625,0.125,0.0,0.0,0.125,212,16,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0
3,3,8,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.005,""lr"":0.0003,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.0}",rule_prior_greedy/rule_kl=0/entropy=0.005/lr=0.0003,4,20600425,0.0,0.005,0.0003,rule_prior_greedy,9.594058880679768e-11,0.0,1.428065538406372,-1.355707190953126e-08,1.0,0.00019320109277032316,0.0008971052593551576,0.0,0.0,0.3125,0.0,0.1875,0.0,0.0,0.1875,224,16,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0
