config_id,rerun_config_id,source_config_id,source_report,config_key,config_key_label,seed,train_seed_base,repeat_id,eval_seed_registry_id,eval_seed_count,eval_seed_hash,rule_kl_coef,entropy_coef,lr,opponent_mode,iterations,rollout_episodes,eval_episodes,approx_kl,clip_fraction,entropy,rule_kl,rule_agreement,neural_delta_abs_mean,neural_delta_abs_max,top1_action_changed_rate,train_rank_pt,train_fourth_rate,train_learner_win_rate,train_learner_deal_in_rate,train_learner_call_rate,train_learner_riichi_rate,train_deal_in_rate,eval_rank_pt,eval_mean_rank,eval_fourth_rate,eval_learner_win_rate,eval_learner_deal_in_rate,eval_learner_call_rate,eval_learner_riichi_rate,eval_deal_in_rate,eval_win_rate,illegal_action_rate_fail_closed,fallback_rate_fail_closed,forced_terminal_missed_fail_closed,illegal_attempt_count,fallback_policy_count,forced_terminal_preempt_count,forced_terminal_missed_count,autopilot_terminal_count,rulebase_fallback_count,rulebase_chosen_missing_count,rulebase_chosen_not_found_count,rulebase_batch_unsupported_count,illegal_action_rate,fallback_rate,forced_terminal_missed,artifact_dir,config_path,checkpoint_path,checkpoint_sha256,optimizer_path,optimizer_sha256,train_metrics_path,eval_metrics_path,native_schema_path,git_commit_path
0,0,93,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,20260425,20260425,0,base=202604250000:stride=1:count=64,64,809ce4e45eb9ebe3,0.01,0.01,3e-05,rulebase,5,16,64,7.510572025415385e-12,0.0,1.437874674797058,-1.6203561159500168e-08,1.0,0.00011977656686212867,0.00021691835718229413,0.0,0.4375,0.1875,0.0,0.0625,0.0,0.0,0.0625,-0.140625,2.46875,0.40625,0.234375,0.09375,0.0,0.0,0.09375,0.234375,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/optimizer_final.pt,d1f921ff3da8e3306afc51a962c99de15dda067a373dcd3c1f03e1484d826e36,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/train_metrics.json,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/eval_metrics.json,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/native_schema.json,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/git_commit.txt
1,1,57,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.05}",rule_prior_greedy/rule_kl=0.05/entropy=0.01/lr=3e-05,20360425,20360425,0,base=202604250000:stride=1:count=64,64,809ce4e45eb9ebe3,0.05,0.01,3e-05,rule_prior_greedy,5,16,64,1.7395029102036663e-13,0.0,1.4324837923049927,-2.772172935650019e-09,1.0,0.00015027198242023587,0.0002074923540931195,0.0,-0.21875,0.4375,0.0625,0.1875,0.0,0.0,0.1875,-0.140625,2.46875,0.40625,0.234375,0.09375,0.0,0.0,0.09375,0.234375,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_001_source_57,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_001_source_57/config.json,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_001_source_57/policy_final.pt,2d5c4cc89f71d05a950c07e153da02ed7943eea80161e9f54d06530ec3c96994,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_001_source_57/optimizer_final.pt,640b4458c2bc50daed652978650edbf554b71f1e2046a54323d8a2610b04cb33,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_001_source_57/train_metrics.json,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_001_source_57/eval_metrics.json,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_001_source_57/native_schema.json,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_001_source_57/git_commit.txt
2,2,84,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.0,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0/lr=3e-05,20460425,20460425,0,base=202604250000:stride=1:count=64,64,809ce4e45eb9ebe3,0.01,0.0,3e-05,rulebase,5,16,64,1.5883775197900185e-11,0.0,1.399092674255371,6.9861494367273735e-09,1.0,0.00013188758748583496,0.0002664332278072834,0.0,-0.375,0.5,0.0,0.1875,0.0,0.0,0.1875,-0.140625,2.46875,0.40625,0.234375,0.09375,0.0,0.0,0.09375,0.234375,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_002_source_84,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_002_source_84/config.json,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_002_source_84/policy_final.pt,d19031dc8d7ffaf649d811961698102b8bb6b05c06b68f09cb090f65341923fb,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_002_source_84/optimizer_final.pt,6cc04fc9c2829fd630a0989bdd9e2bc43efa2f3777f5f1bf5d6766cffc8eae6b,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_002_source_84/train_metrics.json,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_002_source_84/eval_metrics.json,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_002_source_84/native_schema.json,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_002_source_84/git_commit.txt
3,3,8,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.005,""lr"":0.0003,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.0}",rule_prior_greedy/rule_kl=0/entropy=0.005/lr=0.0003,20560425,20560425,0,base=202604250000:stride=1:count=64,64,809ce4e45eb9ebe3,0.0,0.005,0.0003,rule_prior_greedy,5,16,64,9.594058880679768e-11,0.0,1.428065538406372,-1.355707190953126e-08,1.0,0.00019320109277032316,0.0008971052593551576,0.0,0.0,0.3125,0.0,0.1875,0.0,0.0,0.1875,-0.140625,2.46875,0.40625,0.234375,0.09375,0.0,0.0,0.09375,0.234375,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_003_source_8,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_003_source_8/config.json,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_003_source_8/policy_final.pt,09f2aa9a65639583a79695c5eca26f8361c4d60ca447cb1e037aae0a0360268a,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_003_source_8/optimizer_final.pt,dedadb42fc065b8f2d35be83ea66c339ffb7744eba082c13bbc56d29b60c8d18,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_003_source_8/train_metrics.json,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_003_source_8/eval_metrics.json,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_003_source_8/native_schema.json,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_003_source_8/git_commit.txt
