episode_id,step_index,actor,action_type,action_index,action_canonical_key,old_log_prob,old_value,reward,return,advantage_raw,advantage_normalized,final_rank,terminal_reward,legal_count,selected_prior_rank,selected_prior_prob,prior_top1_prob,selected_is_prior_top1,prior_top1_margin_to_second,delta_needed_to_flip_top1
d233ad50,80,0,0,7,0|tile=33|consumed=|from=-1|flags=0,-0.4348483383655548,-0.200321227312088,0.0,0.21738961338996887,0.4177108407020569,0.5357537865638733,1,0.5,12,1,0.6473616361618042,0.6473616361618042,True,3.0,3.0
d233ad50,84,1,0,4,0|tile=23|consumed=|from=-1|flags=0,0.0,0.0,0.0,-0.9453741312026978,-0.9453741312026978,-1.381365180015564,3,-1.5,10,1,0.6915395259857178,0.6915395259857178,True,3.0,3.0
d233ad50,88,2,0,6,0|tile=32|consumed=|from=-1|flags=1,0.0,0.0,0.0,0.0,0.0,-0.05173810198903084,2,0.0,10,1,0.6914920806884766,0.6914920806884766,True,3.0,3.0
d233ad50,92,3,0,7,0|tile=29|consumed=|from=-1|flags=0,0.0,0.0,0.0,0.6634204387664795,0.6634204387664795,0.8813335299491882,0,1.0,8,1,0.742133617401123,0.742133617401123,True,3.0,3.0
d233ad50,96,0,0,5,0|tile=5|consumed=|from=-1|flags=0,-3.407233953475952,-0.216682568192482,0.0,0.24023552238941193,0.4569180905818939,0.5908970236778259,1,0.5,11,6,0.033133141696453094,0.6688328385353088,False,3.000999927520752,3.005000114440918
d233ad50,100,1,0,9,0|tile=29|consumed=|from=-1|flags=0,0.0,0.0,0.0,-0.9951306581497192,-0.9951306581497192,-1.4513455629348755,3,-1.5,10,1,0.6914212107658386,0.6914212107658386,True,3.0,3.0
d233ad50,104,2,0,0,0|tile=18|consumed=|from=-1|flags=0,0.0,0.0,0.0,0.0,0.0,-0.05173810198903084,2,0.0,10,1,0.6916345953941345,0.6916345953941345,True,3.000999927520752,3.000999927520752
d233ad50,108,3,0,1,0|tile=10|consumed=|from=-1|flags=1,0.0,0.0,0.0,0.6983373165130615,0.6983373165130615,0.9304425716400146,0,1.0,8,1,0.7422975301742554,0.7422975301742554,True,3.0,3.0
d233ad50,112,0,0,0,0|tile=18|consumed=|from=-1|flags=0,-0.4022289216518402,-0.2668389678001404,0.0,0.2669236660003662,0.5337626338005066,0.6989755034446716,1,0.5,11,1,0.6688328385353088,0.6688328385353088,True,3.000999927520752,3.000999927520752
d233ad50,116,1,0,1,0|tile=3|consumed=|from=-1|flags=0,0.0,0.0,0.0,-1.0475059747695923,-1.0475059747695923,-1.5250091552734375,3,-1.5,10,1,0.6916107535362244,0.6916107535362244,True,3.0,3.0
d233ad50,120,2,0,0,0|tile=2|consumed=|from=-1|flags=1,0.0,0.0,0.0,0.0,0.0,-0.05173810198903084,2,0.0,10,1,0.6916345953941345,0.6916345953941345,True,3.000999927520752,3.000999927520752
d233ad50,124,3,0,1,0|tile=21|consumed=|from=-1|flags=1,0.0,0.0,0.0,0.7350918650627136,0.7350918650627136,0.9821361899375916,0,1.0,8,1,0.7422975301742554,0.7422975301742554,True,3.0,3.0
