actor,control_action_types,episode_id,events_tail_json,extra_mortal_action_ids_json,hand_json,last_discard_json,legal_action_count,legal_action_keys_json,legal_action_types_json,mismatch_kind,missing_legal_keys_json,missing_legal_types_json,mortal_mask_true_ids_json,pilot_config_id,replay_hint,source_action_ids_json,step_index
0,"PASS,RON,PON,CHI",1ff189a7,[],[42],"""""","""""",2,"[""5|tile=15|consumed=15,15|from=3|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,uv run python scripts/export_keqingrl_mjai_replay.py --candidate-summary reports/keqingrl_step39cd_penalty_full_seed_202604340000_source93/k5_coef001_diagnostic_no_quality_gate/summary.csv --source-config-ids 93 --output-dir reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/replays --episode-index 0 --seed-base 202604600000 --torch-seed 202604600000 # pilot_config_id=0,"[[41],[45]]",230
0,"PASS,RON,PON,CHI",312d6b2c,[],[42],"""""","""""",2,"[""5|tile=22|consumed=22,22|from=1|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,uv run python scripts/export_keqingrl_mjai_replay.py --candidate-summary reports/keqingrl_step39cd_penalty_full_seed_202604340000_source93/k5_coef001_diagnostic_no_quality_gate/summary.csv --source-config-ids 93 --output-dir reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/replays --episode-index 0 --seed-base 202604600000 --torch-seed 202604600000 # pilot_config_id=0,"[[41],[45]]",87
0,"PASS,RON,PON,CHI",312d6b2c,[],[42],"""""","""""",2,"[""5|tile=17|consumed=17,17|from=1|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,uv run python scripts/export_keqingrl_mjai_replay.py --candidate-summary reports/keqingrl_step39cd_penalty_full_seed_202604340000_source93/k5_coef001_diagnostic_no_quality_gate/summary.csv --source-config-ids 93 --output-dir reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/replays --episode-index 0 --seed-base 202604600000 --torch-seed 202604600000 # pilot_config_id=0,"[[41],[45]]",241
0,"PASS,RON,PON,CHI",a4bd3698,[],[42],"""""","""""",2,"[""5|tile=31|consumed=31,31|from=1|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,uv run python scripts/export_keqingrl_mjai_replay.py --candidate-summary reports/keqingrl_step39cd_penalty_full_seed_202604340000_source93/k5_coef001_diagnostic_no_quality_gate/summary.csv --source-config-ids 93 --output-dir reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/replays --episode-index 0 --seed-base 202604600000 --torch-seed 202604600000 # pilot_config_id=0,"[[41],[45]]",103
0,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",b64e42d0,[],[44],"""""","""""",13,"[""0|tile=0|consumed=|from=-1|flags=0"",""0|tile=18|consumed=|from=-1|flags=0"",""0|tile=10|consumed=|from=-1|flags=0"",""0|tile=19|consumed=|from=-1|flags=0"",""0|tile=4|consumed=|from=-1|flags=0"",""0|tile=24|consumed=|from=-1|flags=0"",""0|tile=8|consumed=|from=-1|flags=0"",""0|tile=17|consumed=|from=-1|flags=1"",""0|tile=33|consumed=|from=-1|flags=0"",""0|tile=32|consumed=|from=-1|flags=0"",""0|tile=30|consumed=|from=-1|flags=0"",""0|tile=31|consumed=|from=-1|flags=0"",""0|tile=29|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[0,4,8,10,17,18,19,24,29,30,31,32,33,44]",0,uv run python scripts/export_keqingrl_mjai_replay.py --candidate-summary reports/keqingrl_step39cd_penalty_full_seed_202604340000_source93/k5_coef001_diagnostic_no_quality_gate/summary.csv --source-config-ids 93 --output-dir reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/replays --episode-index 0 --seed-base 202604600000 --torch-seed 202604600000 # pilot_config_id=0,"[[0],[18],[10],[19],[4,34],[24],[8],[17],[33],[32],[30],[31],[29]]",0
