seed_base,iteration,top1_changed,tempered_kl,tempered_clip,untempered_clip,delta_abs_max,recovery_extra_epochs,recovery_attempted_epochs,recovery_rejected_epochs,recovery_stop_reason,recovery_pre_top1_changed
202604340000,0,0.01304347813129425,0.012405510991811752,0.20000000298023224,0.35217392444610596,0.9938598871231079,4,4,0,budget_exhausted,0.0
202604340000,1,0.004975124262273312,6.964025794968737e-15,0.0,0.0,0.8690167665481567,0,0,4,base_rejected_unstable_or_overmove,0.3034825921058655
202604340000,2,0.23694778978824615,0.011657060123980045,0.15662650763988495,0.3734939694404602,1.017188549041748,0,0,0,not_needed,0.23694778978824615
202604350000,0,0.0,0.002013499615713954,0.004219409078359604,0.05485232174396515,0.36297333240509033,4,4,0,budget_exhausted,0.0
202604350000,1,0.05857740715146065,0.01341194100677967,0.2092050164937973,0.3221757411956787,0.8345401883125305,0,0,0,not_needed,0.05857740715146065
202604350000,2,0.1388888955116272,0.010962430387735367,0.19907407462596893,0.30092594027519226,1.3598647117614746,0,0,0,not_needed,0.1388888955116272
202604360000,0,0.009009009227156639,0.008004273287951946,0.12162162363529205,0.20270270109176636,0.8256927132606506,4,4,0,budget_exhausted,0.0
202604360000,1,0.0,0.010033681988716125,0.14646464586257935,0.20202019810676575,0.647458553314209,4,4,0,budget_exhausted,0.0
202604360000,2,0.043478261679410934,0.0072684031911194324,0.09486165642738342,0.21739129722118378,0.6337113380432129,4,4,0,target_reached,0.0
202604370000,0,0.0,0.008441794663667679,0.12037037312984467,0.2777777910232544,0.8543322682380676,4,4,0,budget_exhausted,0.0
202604370000,1,0.0833333358168602,0.008341047912836075,0.1111111119389534,0.329365074634552,1.248867392539978,0,0,0,not_needed,0.0833333358168602
202604370000,2,0.12204724550247192,0.009589072316884995,0.13779526948928833,0.24803149700164795,0.9345284104347229,0,0,0,not_needed,0.12204724550247192
