config_label,seed_base,rule_kl_coef,delta_l2_coef,iterations,rollout_episodes,eval_episodes,rollout_games,eval_games,total_games,elapsed_seconds,pass,movement_pass,stability_pass,eval_sanity_pass,top1_changed,effective_margin_to_flip,non_top1_positive_advantage_count,tempered_kl,tempered_clip,untempered_kl,untempered_clip,delta_abs_mean,delta_abs_max,eval_fourth,learner_deal_in,total_recovery_extra_epochs,total_recovery_attempted_epochs,total_recovery_rejected_epochs,recovery_stop_reasons,report_path
adaptive_gate_registry2_rulekl0.005_l20.001_extra4,202604340000,0.005,0.001,3,16,16,48,16,64,181.42,True,True,True,True,0.23694778978824615,0.38761207461357117,183,0.011657060123980045,0.15662650763988495,0.024356285110116005,0.3734939694404602,0.30429261922836304,1.017188549041748,0.4375,0.125,4,4,4,"budget_exhausted,base_rejected_unstable_or_overmove,not_needed",reports/keqingrl_step38c_scale025_adaptive_recovery_gate_registry2_20260426_source93/gate_seed_202604340000/summary.md
adaptive_gate_registry2_rulekl0.005_l20.001_extra4,202604350000,0.005,0.001,3,16,16,48,16,64,181.93,True,True,True,True,0.1388888955116272,0.4197363555431366,139,0.010962430387735367,0.19907407462596893,0.021053548902273178,0.30092594027519226,0.2730337083339691,1.3598647117614746,0.4375,0.125,4,4,0,"budget_exhausted,not_needed,not_needed",reports/keqingrl_step38c_scale025_adaptive_recovery_gate_registry2_20260426_source93/gate_seed_202604350000/summary.md
adaptive_gate_registry2_rulekl0.005_l20.001_extra4,202604360000,0.005,0.001,3,16,16,48,16,64,182.74,True,True,True,True,0.043478261679410934,0.4899071455001831,126,0.0072684031911194324,0.09486165642738342,0.012862256728112698,0.21739129722118378,0.18100053071975708,0.6337113380432129,0.25,0.0,12,12,0,"budget_exhausted,budget_exhausted,target_reached",reports/keqingrl_step38c_scale025_adaptive_recovery_gate_registry2_20260426_source93/gate_seed_202604360000/summary.md
adaptive_gate_registry2_rulekl0.005_l20.001_extra4,202604370000,0.005,0.001,3,16,16,48,16,64,182.65,True,True,True,True,0.12204724550247192,0.4349012076854706,190,0.009589072316884995,0.13779526948928833,0.017448274418711662,0.24803149700164795,0.3089729845523834,0.9345284104347229,0.375,0.125,4,4,0,"budget_exhausted,not_needed,not_needed",reports/keqingrl_step38c_scale025_adaptive_recovery_gate_registry2_20260426_source93/gate_seed_202604370000/summary.md
