lr,target_update_epochs,epoch,post_approx_kl_vs_old,post_ratio_mean,post_ratio_std,post_ratio_min,post_ratio_max,post_clip_fraction,neural_delta_abs_mean,neural_delta_abs_max,top1_action_changed_rate,rule_agreement,selected_action_logit_change_mean,prior_top1_logit_change_mean,positive_adv_selected_logit_change_mean,negative_adv_selected_logit_change_mean
3e-05,1,1,6.529263796295481e-10,0.9999896287918091,3.460409789113328e-05,0.9998760223388672,1.0000910758972168,0.0,0.00018343493866268545,0.0009777043014764786,0.0,1.0,1.2117875485273544e-05,1.224314564751694e-05,1.2097388207621407e-05,1.1388407983758952e-05
3e-05,4,1,6.529263796295481e-10,0.9999896287918091,3.460409789113328e-05,0.9998760223388672,1.0000910758972168,0.0,0.00018343493866268545,0.0009777043014764786,0.0,1.0,1.2117875485273544e-05,1.224314564751694e-05,1.2097388207621407e-05,1.1388407983758952e-05
3e-05,4,2,6.496678195411221e-10,0.9999902844429016,3.471296076895669e-05,0.9998782277107239,1.0000890493392944,0.0,0.00017923876293934882,0.000948473927564919,0.0,1.0,1.979551052500028e-05,2.0047929865540937e-05,1.9752000298467465e-05,1.833999704103917e-05
3e-05,4,3,6.690483167481887e-10,0.9999910593032837,3.544886567397043e-05,0.9998804926872253,1.0000872611999512,0.0,0.0001775304408511147,0.0009249380673281848,0.0,1.0,2.2077379981055856e-05,2.2456370061263442e-05,2.2010979591868818e-05,1.9900198822142556e-05
3e-05,4,4,7.115169564642088e-10,0.9999917149543762,3.679008295875974e-05,0.9998825788497925,1.0000852346420288,0.0,0.00017550581833347678,0.000899214472156018,0.0,1.0,2.6881187295657583e-05,2.7387313821236603e-05,2.6784458896145225e-05,2.399804725428112e-05
3e-05,16,1,6.529263796295481e-10,0.9999896287918091,3.460409789113328e-05,0.9998760223388672,1.0000910758972168,0.0,0.00018343493866268545,0.0009777043014764786,0.0,1.0,1.2117875485273544e-05,1.224314564751694e-05,1.2097388207621407e-05,1.1388407983758952e-05
3e-05,16,2,6.496678195411221e-10,0.9999902844429016,3.471296076895669e-05,0.9998782277107239,1.0000890493392944,0.0,0.00017923876293934882,0.000948473927564919,0.0,1.0,1.979551052500028e-05,2.0047929865540937e-05,1.9752000298467465e-05,1.833999704103917e-05
3e-05,16,3,6.690483167481887e-10,0.9999910593032837,3.544886567397043e-05,0.9998804926872253,1.0000872611999512,0.0,0.0001775304408511147,0.0009249380673281848,0.0,1.0,2.2077379981055856e-05,2.2456370061263442e-05,2.2010979591868818e-05,1.9900198822142556e-05
3e-05,16,4,7.115169564642088e-10,0.9999917149543762,3.679008295875974e-05,0.9998825788497925,1.0000852346420288,0.0,0.00017550581833347678,0.000899214472156018,0.0,1.0,2.6881187295657583e-05,2.7387313821236603e-05,2.6784458896145225e-05,2.399804725428112e-05
3e-05,16,5,7.766371434847485e-10,0.999992311000824,3.8662838051095605e-05,0.9998605251312256,1.0000977516174316,0.0,0.0001746360067045316,0.0008753074798732996,0.0,1.0,3.0265306122601032e-05,3.089815436396748e-05,3.0132841857266612e-05,2.6692434403230436e-05
3e-05,16,6,8.655776095878309e-10,0.999993085861206,4.102077582501806e-05,0.9998323917388916,1.0001182556152344,0.0,0.0001739090366754681,0.0008503374992869794,0.0,1.0,3.515030039125122e-05,3.5910205042455345e-05,3.497517900541425e-05,3.0905088351573795e-05
3e-05,16,7,9.783576171429331e-10,0.9999938011169434,4.378927769721486e-05,0.9998042583465576,1.000138282775879,0.0,0.0001729428768157959,0.0008232299005612731,0.0,1.0,4.2660605686251074e-05,4.3549156544031575e-05,4.243381408741698e-05,3.775962250074372e-05
3e-05,16,8,1.1153504786420854e-09,0.9999945163726807,4.6899731387384236e-05,0.9997756481170654,1.0001587867736816,0.0,0.0001732503151288256,0.0007983359973877668,0.0,1.0,4.8506328312214464e-05,4.952499512000941e-05,4.8215515562333167e-05,4.2973253584932536e-05
3e-05,16,9,1.278047667696569e-09,0.9999951124191284,5.032281842431985e-05,0.9997463822364807,1.0001792907714844,0.0,0.00017469086742494255,0.0007756660343147814,0.0,1.0,5.274078648653813e-05,5.388830686570145e-05,5.237201548879966e-05,4.660793274524622e-05
3e-05,16,10,1.4660791469722767e-09,0.999995768070221,5.3987587307346985e-05,0.9997168183326721,1.0002002716064453,0.0,0.00017631830996833742,0.000753657310269773,0.0,1.0,5.842062455485575e-05,5.969814083073288e-05,5.7961096899816766e-05,5.171908196643926e-05
3e-05,16,11,1.6800257851556921e-09,0.9999966025352478,5.7860637753037736e-05,0.9996867775917053,1.0002212524414062,0.0,0.00017907761503010988,0.0007436526939272881,0.0,1.0,6.237942579900846e-05,6.37897101114504e-05,6.181247590575367e-05,5.51429002371151e-05
3e-05,16,12,1.9217860636189243e-09,0.9999972581863403,6.193297303980216e-05,0.9996557831764221,1.0002427101135254,0.0,0.00018212954455520958,0.0007361109019257128,0.0,1.0,6.738131196470931e-05,6.892501551192254e-05,6.668710557278246e-05,5.965394666418433e-05
3e-05,16,13,2.190069459118149e-09,0.9999979734420776,6.614728772547096e-05,0.999625027179718,1.0002641677856445,0.0,0.00018556763825472444,0.000736727612093091,0.0,1.0,7.299845310626552e-05,7.4679461249616e-05,7.215564983198419e-05,6.482508615590632e-05
3e-05,16,14,2.4873434423255958e-09,0.9999986886978149,7.05157799529843e-05,0.9995935559272766,1.00028657913208,0.0,0.00018941373855341226,0.0007384493947029114,0.0,1.0,7.915859168861061e-05,8.097530371742323e-05,7.814161654096097e-05,7.059346535243094e-05
