normalize_advantages,lr,target_update_epochs,actor_only,entropy_coef,epoch,total_loss,policy_loss,actor_grad_norm_total,policy_mlp_final_grad_norm,neural_delta_abs_mean,neural_delta_abs_max,top1_action_changed_rate
True,0.0003,16,True,0.0,1,6.971117159082496e-07,6.971117159082496e-07,0.0029169994414025213,0.002916644163054657,0.0001645954471314326,0.0006955800927244127,0.0
True,0.0003,16,True,0.0,2,-3.7669499306502985e-06,-3.7669499306502985e-06,0.002987490592324664,0.002986981950040754,0.00021538995497394353,0.0008781715296208858,0.0
True,0.0003,16,True,0.0,3,-8.507309757987969e-06,-8.507309757987969e-06,0.003145352826484038,0.003144390189297385,0.00028908360400237143,0.001249051420018077,0.0
True,0.0003,16,True,0.0,4,-1.3806632523483131e-05,-1.3806632523483131e-05,0.0033593792053799366,0.003357652159208901,0.00038136515649966896,0.0016021934570744634,0.0
True,0.0003,16,True,0.0,5,-1.9861636246787384e-05,-1.9861636246787384e-05,0.003617652131799663,0.00361483805575975,0.0004871738492511213,0.0019867715891450644,0.0
True,0.0003,16,True,0.0,6,-2.685821891645901e-05,-2.685821891645901e-05,0.00391661042067305,0.003912361912338958,0.0006097097648307681,0.002356115961447358,0.0
True,0.0003,16,True,0.0,7,-3.495044438750483e-05,-3.495044438750483e-05,0.004255085150330764,0.004248998070627219,0.0007492188597097993,0.0030028067994862795,0.0
True,0.0003,16,True,0.0,8,-4.4314660044619814e-05,-4.4314660044619814e-05,0.004633038535864934,0.004624680936985099,0.0009130925172939897,0.0038371949922293425,0.0
True,0.0003,16,True,0.0,9,-5.5100474128266796e-05,-5.5100474128266796e-05,0.005051257136379148,0.005040104431636828,0.0011031102621927857,0.004801458213478327,0.0
True,0.0003,16,True,0.0,10,-6.75237097311765e-05,-6.75237097311765e-05,0.005513463542687452,0.005498871553516212,0.0013183634728193283,0.0058839949779212475,0.0
True,0.0003,16,True,0.0,11,-8.181227167369798e-05,-8.181227167369798e-05,0.006022768148900644,0.0060039732823782424,0.0015620164340361953,0.007096868008375168,0.0
True,0.0003,16,True,0.0,12,-9.821317507885396e-05,-9.821317507885396e-05,0.006582216894914353,0.0065583713319581505,0.0018389547476544976,0.008462788537144661,0.0
True,0.0003,16,True,0.0,13,-0.00011695370631059632,-0.00011695370631059632,0.007193810949310628,0.007163921737633513,0.0021544669289141893,0.00999932549893856,0.0
True,0.0003,16,True,0.0,14,-0.00013838018639944494,-0.00013838018639944494,0.007860335848572444,0.007823154050610069,0.0025154876057058573,0.011732075363397598,0.0
True,0.0003,16,True,0.0,15,-0.00016279755800496787,-0.00016279755800496787,0.008587371829525237,0.008541322699447577,0.002928122179582715,0.0138054508715868,0.0
True,0.0003,16,True,0.0,16,-0.00019066993263550103,-0.00019066993263550103,0.009381443226226263,0.009324898136620801,0.0033942332956939936,0.016131436452269554,0.0
True,0.0003,16,True,0.001,1,-0.0014214523835107684,6.971117159082496e-07,0.002903536727542377,0.0029031819891786447,0.00016464873624499887,0.0006958954036235809,0.0
True,0.0003,16,True,0.001,2,-0.001425903639756143,-3.7701329347328283e-06,0.0029745193434689587,0.0029740112989499797,0.0002119207929354161,0.0009121441980823874,0.0
True,0.0003,16,True,0.001,3,-0.001430629170499742,-8.511766282026656e-06,0.0031326047595142477,0.0031316437101897624,0.0002916585945058614,0.0012172387214377522,0.0
