config,seeds,qualified_count,train_gate_count,fresh_gate_count,top1_mean,top1_max,fresh_mean,fresh_max,changed_rank_mean,rank_ge5_max,teacher_keep_mean,teacher_keep_min,teacher_prior_agree_mean,eval_fourth_mean,eval_deal_in_mean
"entropy<=0.8, margin>=0.2",4,2,2,2,0.1916080266237259,0.26511627435684204,0.16551843844354153,0.252136766910553,2.440060054950595,0.0,0.004039939900394529,0.0,0.6768450438976288,0.40625,0.15625
"entropy<=1, margin>=0.2",4,1,2,2,0.1817584838718176,0.2783018946647644,0.12279854901134968,0.2805429995059967,2.5430081041839516,0.0,0.2855350375175476,0.2360514998435974,0.6816936284303665,0.25,0.0625
