actor_update_dropped_positive_advantage_count,actor_update_kept_rate,actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,approx_kl,changed_action_prior_rank_mean,changed_state_prior_margin_p50,changed_to_rank_ge5_rate,checkpoint_path,checkpoint_sha256,clip_fraction,config_id,config_key,config_key_label,config_path,delta_support_margin_threshold,delta_support_mode,delta_support_topk,eval_fourth_rate,eval_learner_deal_in_rate,eval_mean_rank,eval_rank_pt,fresh_validation_gate_pass,fresh_validation_top1_action_changed_rate,low_rank_flip_penalty,low_rank_flip_penalty_coef,low_rank_flip_topk,neural_delta_abs_max,neural_delta_abs_mean,optimizer_path,optimizer_sha256,outside_support_delta_mode,rerun_config_id,rule_agreement,rule_score_scale,rule_score_scale_version,source_config_id,source_report,support_policy_mode,teacher_confidence_gate,teacher_contract_version,teacher_entropy_max,teacher_margin_min,teacher_prior_agree_min,teacher_source,teacher_target_type,teacher_temperature,teacher_topk,teacher_version,top1_action_changed_rate,topk_ranking_aux_coef,topk_ranking_aux_loss,topk_ranking_aux_mode,topk_ranking_k,topk_ranking_teacher_agreement,topk_ranking_teacher_kl,topk_ranking_teacher_margin,topk_ranking_teacher_prior_agreement,topk_ranking_teacher_rule_top1_rank,weak_margin_flip_penalty,weak_margin_flip_penalty_coef,weak_margin_threshold
0,1.0,0.75,topk,3,2.892995842884716e-10,0.0,0.0,0.0,reports/keqingrl_mortal_action_q_contract_probe_20260429_source93_step20000_bridge_fix_ckpt/checkpoint_config_000/policy_final.pt,ddfb1615c1bd261d64fce2dd93324c5a39d5e013c7a57ada17f5abbfe023a0f8,0.0,0,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",tempered_ratio_ppo_diagnostic/rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_mortal_action_q_contract_probe_20260429_source93_step20000_bridge_fix_ckpt/checkpoint_config_000/config.json,0.75,topk,3,0.125,0.0,2.0625,0.34375,True,0.0,0.0,0.0,3,0.000394713191781193,6.202045187819749e-05,reports/keqingrl_mortal_action_q_contract_probe_20260429_source93_step20000_bridge_fix_ckpt/checkpoint_config_000/optimizer_final.pt,2d218ff8823b4471929f4db79b6cdf78979e16abca2baba93025af7398dc9cd7,zero,0,1.0,0.25,keqingrl_rule_score_scale_v1,93,,support-only-topk,False,keqingrl_topk_teacher_v1,1000000000.0,0.0,0.0,mortal-action-q,topk_distribution,1.0,3,mortal_action_teacher_v1,0.0,1.0,0.9127770066261292,teacher-ce,3,0.6992031931877136,0.5871078968048096,3.7470180988311768,0.6992031931877136,1.3884462118148804,0.4788338541984558,0.0,0.75
1,0.9962894248608535,0.75,topk,3,1.189720960637075e-10,0.0,0.0,0.0,reports/keqingrl_mortal_action_q_contract_probe_20260429_source93_step20000_bridge_fix_ckpt/checkpoint_config_001/policy_final.pt,3cb4fe34229739f89a9def2327b9316277cf5bdea99e3fbe39e961213fd7e73b,0.0,1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",tempered_ratio_ppo_diagnostic/rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_mortal_action_q_contract_probe_20260429_source93_step20000_bridge_fix_ckpt/checkpoint_config_001/config.json,0.75,topk,3,0.125,0.0,2.0625,0.34375,True,0.0,0.0019414466805756092,0.0,3,0.0006653116433881223,8.528064063284546e-05,reports/keqingrl_mortal_action_q_contract_probe_20260429_source93_step20000_bridge_fix_ckpt/checkpoint_config_001/optimizer_final.pt,389b5442e730f37f86fc577c93bcd82e0b16650aa3e5e56bdff935e5dd8c7772,zero,0,1.0,0.25,keqingrl_rule_score_scale_v1,93,,support-only-topk,False,keqingrl_topk_teacher_v1,1000000000.0,0.0,0.0,mortal-action-q,topk_distribution,1.0,3,mortal_action_teacher_v1,0.0,1.0,0.9077445268630981,teacher-ce,3,0.6924778819084167,0.6004622578620911,3.860574722290039,0.6924778819084167,1.3849557638168335,0.4804350733757019,0.0,0.75
2,0.9948717948717949,0.75,topk,3,2.7548305858715594e-09,0.0,0.0,0.0,reports/keqingrl_mortal_action_q_contract_probe_20260429_source93_step20000_bridge_fix_ckpt/checkpoint_config_002/policy_final.pt,48a0b03312ecd93dfd6312cb32c162fac00e6c8b52a924b31aafb1f7dd9e9f0b,0.0,2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",tempered_ratio_ppo_diagnostic/rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_mortal_action_q_contract_probe_20260429_source93_step20000_bridge_fix_ckpt/checkpoint_config_002/config.json,0.75,topk,3,0.125,0.0,2.0625,0.34375,True,0.0,0.006707843393087387,0.0,3,0.0008268665405921638,8.795351459411904e-05,reports/keqingrl_mortal_action_q_contract_probe_20260429_source93_step20000_bridge_fix_ckpt/checkpoint_config_002/optimizer_final.pt,bfc4665aa6dde5f53c98ee7f1b42c1b397fdb951f696b469ac72111a380c57c6,zero,0,1.0,0.25,keqingrl_rule_score_scale_v1,93,,support-only-topk,False,keqingrl_topk_teacher_v1,1000000000.0,0.0,0.0,mortal-action-q,topk_distribution,1.0,3,mortal_action_teacher_v1,0.0,1.0,0.9068688154220581,teacher-ce,3,0.7052845358848572,0.5875585079193115,3.647947072982788,0.7052845358848572,1.3678861856460571,0.480415016412735,0.0,0.75
0,0.9983471074380166,0.75,topk,3,2.4038269152981684e-09,0.0,0.0,0.0,reports/keqingrl_mortal_action_q_contract_probe_20260429_source93_step20000_bridge_fix_ckpt/checkpoint_config_003/policy_final.pt,63fe612141e3b194a669e4d46ce6fde90b5daebdcd8f101c01c61b4ab2d00b15,0.0,3,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",tempered_ratio_ppo_diagnostic/rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_mortal_action_q_contract_probe_20260429_source93_step20000_bridge_fix_ckpt/checkpoint_config_003/config.json,0.75,topk,3,0.125,0.0,2.0625,0.34375,True,0.0,0.0025945897214114666,0.0,3,0.0008516912930645049,5.753329605795443e-05,reports/keqingrl_mortal_action_q_contract_probe_20260429_source93_step20000_bridge_fix_ckpt/checkpoint_config_003/optimizer_final.pt,d456388244ea7725d2fb1b0b1c7c69460e9eb83dec5332e5813928238ec15532,zero,0,1.0,0.25,keqingrl_rule_score_scale_v1,93,,support-only-topk,False,keqingrl_topk_teacher_v1,1000000000.0,0.0,0.0,mortal-action-q,topk_distribution,1.0,3,mortal_action_teacher_v1,0.0,1.0,0.9325407147407532,teacher-ce,3,0.6518218517303467,0.5899791717529297,3.570420026779175,0.6518218517303467,1.43319833278656,0.47048237919807434,0.0,0.75
